strategy_id,path,before,after
alpha223_0009,evidence_profile.metric_evidence,"[{""metric"":""residual_return_lcb90"",""value"":-0.011401,""status"":""ready"",""sample_count"":1432,""mature_dates"":12,""outcome_as_of_date"":""2026-09-01"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""date_clustered_equal_weight_residual_return_lcb90"",""z90"":1.281551565545,""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""downside_capture"",""value"":1.203804,""status"":""ready"",""sample_count"":401,""mature_dates"":12,""outcome_as_of_date"":""2026-09-01"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""cost_net_strategy_return_divided_by_benchmark_return_when_benchmark_negative"",""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""max_drawdown"",""value"":-0.006614,""status"":""ready"",""sample_count"":1432,""mature_dates"":12,""outcome_as_of_date"":""2026-09-01"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""date_clustered_equal_weight_compounded_cost_net_absolute_return"",""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""tail_loss_cvar95"",""value"":-0.132233,""status"":""ready"",""sample_count"":1432,""mature_dates"":12,""outcome_as_of_date"":""2026-09-01"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""mean_worst_five_percent_cost_net_absolute_return"",""tail_samples"":72,""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""crowding_decay"",""value"":0.017644,""status"":""ready"",""sample_count"":1432,""mature_dates"":12,""outcome_as_of_date"":""2026-09-01"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""high_overlap_quartile_minus_low_overlap_quartile_residual_return"",""production_effect"":false,""materialization_source"":""learning_target_join""}}]","[{""metric"":""residual_return_lcb90"",""value"":-0.011401,""status"":""ready"",""sample_count"":1432,""mature_dates"":12,""outcome_as_of_date"":""2026-09-02"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""date_clustered_equal_weight_residual_return_lcb90"",""z90"":1.281551565545,""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""downside_capture"",""value"":1.203804,""status"":""ready"",""sample_count"":401,""mature_dates"":12,""outcome_as_of_date"":""2026-09-02"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""cost_net_strategy_return_divided_by_benchmark_return_when_benchmark_negative"",""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""max_drawdown"",""value"":-0.006614,""status"":""ready"",""sample_count"":1432,""mature_dates"":12,""outcome_as_of_date"":""2026-09-02"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""date_clustered_equal_weight_compounded_cost_net_absolute_return"",""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""tail_loss_cvar95"",""value"":-0.132233,""status"":""ready"",""sample_count"":1432,""mature_dates"":12,""outcome_as_of_date"":""2026-09-02"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""mean_worst_five_percent_cost_net_absolute_return"",""tail_samples"":72,""production_effect"":false,""materialization_source"":""learning_target_join""}},{""metric"":""crowding_decay"",""value"":0.017644,""status"":""ready"",""sample_count"":1432,""mature_dates"":12,""outcome_as_of_date"":""2026-09-02"",""definition_version"":""strategy-evidence-metrics-v4"",""evidence"":{""semantic"":""high_overlap_quartile_minus_low_overlap_quartile_residual_return"",""production_effect"":false,""materialization_source"":""learning_target_join""}}]"
alpha223_0009,learning.avg_return_pct,-0.00006,-0.001983
alpha223_0009,learning.hit_rate,0.465496,0.440678
alpha223_0009,learning.latest_reward_date,2026-08-14,2026-08-25
alpha223_0009,learning.max_drawdown_pct,-0.031757,-0.07007
alpha223_0009,learning.reward_status_reason,reward evidence available through 2026-08-14,reward evidence available through 2026-08-25
alpha223_0009,learning.rolling_avg_return_pct,-0.00006,-0.001983
alpha223_0009,learning.rolling_date_return_lcb90,-0.002701,-0.004457
alpha223_0009,learning.rolling_date_return_mean,-0.000037,-0.002233
alpha223_0009,learning.rolling_hit_rate,0.465496,0.440678
alpha223_0009,learning.rolling_max_drawdown_pct,-0.031759,-0.070071
alpha223_0009,learning.rolling_reward_dates,14,20
alpha223_0009,learning.rolling_samples,1652,2242
alpha223_0009,learning.samples,1652,2242
alpha223_0009,promotion_gate.evidence.avg_return_pct,-0.00006,-0.001983
alpha223_0009,promotion_gate.evidence.date_return_lcb90,-0.002701,-0.004457
alpha223_0009,promotion_gate.evidence.hit_rate,0.465496,0.440678
alpha223_0009,promotion_gate.evidence.mature_dates,14,20
alpha223_0009,promotion_gate.evidence.max_drawdown_pct,-0.031759,-0.070071
alpha223_0009,promotion_gate.evidence.samples,1652,2242
