"factor_id","factor_name_zh","category","annualized_return","sharpe","max_drawdown","volatility","win_rate","total_return","benchmark_annualized","benchmark_sharpe","benchmark_mdd","annualized_alpha","sharpe_alpha","mdd_delta","avg_turnover","total_fee_pct","n_rebalances","n_underfilled_periods","run_id"
"mom_9m","9 個月動能","momentum","0.400452426679532","0.974339794870456","-0.52014071734017","0.395603698739185","0.566948130277443","2.02814363565284","0.203217916835582","1.19757618890418","-0.270685404539108","0.197234509843949","-0.22323639403372","-0.249455312801061","0.3964","0.10913","42","17","0c4d906e-29d0-41b6-8199-04666b4a0a83"
"mom_macd_trend_10","10 日 MACD 趨勢","momentum","0.370220108949255","1.04298027851625","-0.435079423396781","0.340581807984513","0.535585042219542","1.81836205179299","0.203217916835582","1.19757618890418","-0.270685404539108","0.167002192113673","-0.154595910387927","-0.164394018857672","0.5651","0.15748","42","7","f4872636-aa54-4a07-9740-b59c64603b9f"
"mom_vol_adj_12m","波動調整 12 月報酬","momentum","0.334983271063299","0.835807773325417","-0.449219250427013","0.38284313842905","0.556091676718938","1.58687608404492","0.203217916835582","1.19757618890418","-0.270685404539108","0.131765354227716","-0.361768415578759","-0.178533845887904","0.3794","0.10349","42","16","6025e4f7-deeb-42ff-a2b4-ffac8853c078"
"mom_rsi_14","14 日 RSI","momentum","0.28834546547691","0.912492824412467","-0.378390679717433","0.299559030124879","0.531966224366707","1.3012905042174","0.203217916835582","1.19757618890418","-0.270685404539108","0.0851275486413277","-0.28508336449171","-0.107705275178325","0.9705","0.25959","42","26","6156316b-4716-450f-8b6a-62ac6793aae3"
"mom_ma50_200_ratio","MA50/MA200 比","momentum","0.266738980942764","0.644124231128297","-0.577034846275783","0.390823646708335","0.558504221954162","1.17674760640486","0.203217916835582","1.19757618890418","-0.270685404539108","0.0635210641071815","-0.55345195777588","-0.306349441736675","0.4105","0.11308","42","16","bcd95ada-02c9-45c0-b58f-9b888f4c40e5"
"mom_12m_1m","12-1 月動能（Jegadeesh-Titman）","momentum","0.263377792610388","0.672074378603485","-0.452614890446407","0.369568905641807","0.558504221954162","1.15780463935224","0.203217916835582","1.19757618890418","-0.270685404539108","0.0601598757748056","-0.525501810300692","-0.181929485907299","0.327","0.08915","42","14","34fb488d-978c-40dd-9b13-0077c86bb073"
"mom_close_to_52w_high","收盤價 / 52 週高點","momentum","0.195016266437021","0.885823074824742","-0.28107443774969","0.203219211096569","0.533172496984318","0.796947109473751","0.203217916835582","1.19757618890418","-0.270685404539108","-0.00820165039856136","-0.311753114079434","-0.0103890332105813","0.8883","0.23014","42","15","f39ac0c6-8e55-4af1-8f69-8fae2c42bb9f"
"mom_hl52","52 週高低位置","momentum","0.185712137070948","0.824638294281654","-0.303377846381749","0.207014564148584","0.529553679131484","0.751331251964364","0.203217916835582","1.19757618890418","-0.270685404539108","-0.0175057797646339","-0.372937894622522","-0.032692441842641","0.9026","0.23443","42","15","bbb7b2c6-5f12-44d6-b531-dc8edd63a98a"
"mom_reversal_6m","6 個月反轉","momentum","0.0604822800058775","0.175116907500294","-0.358963285296482","0.259725235302029","0.494571773220748","0.213104301635479","0.203217916835582","1.19757618890418","-0.270685404539108","-0.142735636829705","-1.02245928140388","-0.0882778807573739","0.5926","0.16273","42","7","b917d207-bbdd-4611-ae1e-2509d0768a4a"
"mom_reversal_1m","1 個月反轉","momentum","-0.0528836114051214","-0.260025766304036","-0.459018029161256","0.261064941255661","0.515078407720145","-0.163676081380607","0.203217916835582","1.19757618890418","-0.270685404539108","-0.256101528240704","-1.45760195520821","-0.188332624622147","0.9661","0.26822","42","3","e1583ad4-87bf-489f-906a-1a3449476e06"
