strategy_id,name,alpha_bucket,family_id,variant_id,status_today,runtime_pool_status,daily_match_status,missing_evidence,strict_match_count,near_match_count,static_pool_quota,adaptive_pool_quota,static_cost_budget,adaptive_cost_budget,static_max_ml_share,adaptive_max_ml_share,adaptive_policy_reason,adaptive_policy_quality_score,adaptive_policy_demand_score,adaptive_policy_crowding_score,adaptive_policy_uniqueness_score,quota,l1_attribution_count,final160_attribution_count,l4_buy5_attribution_count,final_symbols,buy_symbols
alpha223_0009,Alpha223 0009 cash-change gap broker-flow,smart_money_accumulation,ALPHA223_CASH_GAP_BROKER_FLOW,alpha223_0009_cash_gap_broker_flow_v1,active,ready,strict_match,,163,0,10,14,18,25,0.22,0.155,adaptive_from_daily_breadth_portfolio_metrics_similarity_and_active_strategy_count,0.688,1.207,0,1,14,81,81,3,1216;1402;1560;1590;1710;1810;2327;2337;2344;2368;2376;2382;2404;2408;2425;2458;2467;2472;2478;2492;2501;2520;2542;2609;2618;2633;2645;2855;3016;3028;3033;3034;3035;3037;3045;3147;3227;3346;3357;3406;3413;3481;3532;3583;3596;3673;4722;4763;4958;5269;5328;5347;5469;5471;5483;5536;6121;6173;6409;6446;6488;6505;6672;6691;6757;6770;6781;6831;8016;8033;8042;8046;8069;8464;8926;8932;8936;9914;9921;9946;9958,4958;8033;8936
alpha223_0109,Alpha223 0109 quality order-block turnover,trend_following,ALPHA223_QUALITY_TURNOVER,alpha223_0109_ebitda_turnover_orderblock_v1,active,ready,strict_match,,211,0,14,20,18,25,0.22,0.155,adaptive_from_daily_breadth_portfolio_metrics_similarity_and_active_strategy_count,0.688,1.275,0,1,20,101,101,3,1301;1303;1326;1560;1708;1714;1815;2303;2327;2337;2344;2351;2363;2368;2375;2376;2377;2379;2382;2404;2408;2409;2449;2458;2467;2472;2476;2478;2481;2483;2484;2492;2634;2855;3006;3016;3026;3033;3034;3035;3037;3090;3189;3227;3236;3357;3374;3406;3450;3481;3583;3673;4763;4958;5269;5314;5328;5347;5371;5425;5434;5483;5536;6127;6138;6139;6175;6182;6197;6208;6239;6257;6271;6274;6278;6409;6435;6472;6548;6584;6658;6672;6691;6719;6770;6781;6831;8016;8021;8042;8046;8054;8081;8096;8261;8454;8926;8932;8936;8996;9958,4958;5371;8936
alpha223_0166,Alpha223 0166 expense profit volume thrust,trend_following,ALPHA223_EXPENSE_PROFIT_THRUST,alpha223_0166_vstd_expense_profit_emv_v1,active,ready,strict_match,,270,0,12,17,18,25,0.22,0.155,adaptive_from_daily_breadth_portfolio_metrics_similarity_and_active_strategy_count,0.688,1.341,0,1,17,126,126,2,1216;1301;1303;1326;1402;1560;1590;1708;1736;1810;1815;2303;2327;2337;2344;2351;2368;2375;2376;2377;2379;2382;2404;2406;2408;2441;2449;2458;2467;2472;2476;2492;2501;2520;2527;2542;2609;2610;2618;2645;2855;2887;2890;3006;3014;3026;3028;3033;3034;3035;3037;3044;3045;3090;3147;3189;3227;3290;3374;3406;3413;3450;3481;3583;3596;3673;3711;4532;4763;4958;5269;5314;5347;5425;5434;5469;5471;5483;5536;6121;6138;6139;6173;6191;6196;6197;6208;6213;6239;6257;6271;6274;6278;6409;6435;6446;6472;6488;6505;6525;6548;6584;6658;6672;6691;6719;6753;6757;6770;6781;7712;8016;8021;8046;8069;8081;8261;8383;8454;8464;8926;8996;9914;9945;9946;9958,2406;4958
alpha223_0248,Alpha223 0248 squeeze cash-flow breakout,breakout_vol_expansion,ALPHA223_BREAKOUT_CASH_FLOW,alpha223_0248_klow_cashflow_squeeze_v1,active,ready,strict_match,,107,0,14,19,18,24,0.22,0.155,adaptive_from_daily_breadth_portfolio_metrics_similarity_and_active_strategy_count,0.688,1.1,0,1,19,77,77,2,1301;1303;1402;1714;2303;2327;2337;2344;2368;2375;2377;2379;2404;2408;2409;2458;2472;2478;2481;2492;2501;2520;2527;2542;2609;2618;2634;2855;3006;3016;3026;3034;3035;3037;3044;3090;3189;3290;3374;3406;3450;3481;3532;3673;3711;4958;5328;5347;5371;5425;5434;5483;5536;6173;6182;6196;6257;6271;6409;6446;6472;6488;6505;6672;6691;6719;6757;6770;8042;8046;8069;8261;8926;8996;9921;9945;9946,4958;5371
alpha223_0283,Alpha223 0283 OCF noncurrent-assets order-block,breakout_vol_expansion,ALPHA223_CASHFLOW_ASSET_TURNOVER,alpha223_0283_ocf_noncurrent_orderblock_v1,active,ready,strict_match,,188,0,12,17,18,25,0.22,0.155,adaptive_from_daily_breadth_portfolio_metrics_similarity_and_active_strategy_count,0.688,1.245,0,1,17,101,101,3,1216;1301;1303;1402;1560;1590;1708;1736;1815;2303;2327;2337;2344;2363;2368;2375;2377;2379;2404;2408;2409;2441;2449;2458;2467;2472;2476;2481;2492;2501;2520;2527;2542;2609;2610;2618;2633;2634;2645;2855;3006;3034;3035;3037;3044;3045;3090;3189;3227;3357;3374;3406;3450;3481;3532;3583;3596;3673;3711;4707;4763;4958;5269;5347;5371;5425;5434;5483;5536;6121;6173;6182;6196;6197;6208;6239;6257;6271;6278;6409;6446;6472;6488;6505;6548;6757;6770;6781;8016;8046;8054;8069;8081;8454;8464;8926;8936;9914;9921;9945;9958,4958;5371;8936
alpha_miner_pymoo_nsga3_novelty_0193,Pymoo NSGA-III novelty 0193 sentiment margin flow,defensive_accumulation,SMART_MONEY_ACCUMULATION,us_sentiment_margin_balance_v1,active,ready,strict_match,,216,0,16,20,18,25,0.2,0.146,adaptive_from_daily_breadth_portfolio_metrics_similarity_and_active_strategy_count,0.648,1.281,0,1,20,86,86,5,1301;1303;1326;1402;1708;1710;1802;1810;1815;2303;2327;2337;2344;2351;2363;2375;2377;2406;2408;2409;2425;2441;2449;2458;2472;2476;2481;2484;2610;2618;2634;2887;3006;3016;3026;3033;3035;3037;3189;3236;3290;3374;3450;3481;3673;3711;4532;4707;4722;4763;4958;5314;5328;5347;5371;5425;5464;5469;5483;6139;6175;6182;6191;6197;6213;6239;6257;6271;6274;6278;6446;6505;6548;6672;6719;6753;6770;8033;8046;8054;8069;8261;8932;8936;9945;9958,2406;4958;5371;8033;8936
defensive_accumulation_seed_v1,Defensive accumulation seed,defensive_accumulation,SMART_MONEY_ACCUMULATION,institutional_accumulation_v1,active,ready,strict_match,,165,0,16,20,20,27,0.24,0.16,adaptive_from_daily_breadth_portfolio_metrics_similarity_and_active_strategy_count,0.688,1.21,0,1,20,80,80,2,1216;1301;1326;1560;1590;1710;1736;1802;1815;2351;2404;2409;2449;2458;2467;2472;2483;2484;2527;2610;2618;2633;2634;2645;2890;3014;3016;3028;3037;3045;3189;3227;3346;3413;3583;3596;4532;4707;4722;5269;5314;5328;5347;5434;5464;5469;5483;5536;6121;6139;6191;6196;6213;6239;6271;6274;6278;6409;6446;6505;6525;6584;6658;6672;6691;6753;6757;6781;6831;7712;8016;8033;8046;8069;8261;8383;8464;8936;9914;9921,8033;8936
stock_tech_s01_55d_trend_volume_breakout_v1,S1 55d trend volume breakout,breakout_vol_expansion,TREND_RECLAIM_CONTINUATION,s01_55d_trend_volume_breakout_v1,active,ready,strict_match,,11,0,10,11,12,11,0,0.191,adaptive_from_daily_breadth_portfolio_metrics_similarity_and_active_strategy_count,0.688,0.57,0,1,11,11,11,1,2472;3037;3189;3583;4707;4958;6213;6435;6446;6658;6672,4958
stock_tech_s02_52w_dual_momentum_v1,S2 52w dual momentum,trend_following,TREND_RECLAIM_CONTINUATION,s02_52w_dual_momentum_v1,active,ready,strict_match,,38,0,10,13,12,15,0,0.191,adaptive_from_daily_breadth_portfolio_metrics_similarity_and_active_strategy_count,0.688,0.848,0,1,13,38,38,2,1303;1802;2327;2351;2375;2406;2441;2449;2472;2484;3026;3037;3189;3236;3481;3532;3711;4542;4722;4958;5328;5464;5536;6127;6139;6173;6175;6182;6196;6213;6257;6435;6672;8021;8042;8046;8096;8996,2406;4958
stock_tech_s04_ma_deduct_turn_breakout_v1,S4 MA deduct turn breakout,trend_following,TREND_RECLAIM_CONTINUATION,s04_ma_deduct_turn_breakout_v1,active,ready,strict_match,,10,0,10,10,12,10,0,0.191,adaptive_from_daily_breadth_portfolio_metrics_similarity_and_active_strategy_count,0.688,0.55,0,1,10,10,10,1,2303;2327;2379;2472;3147;3189;4958;6435;6658;8454,4958
