symbol,name,daily_rank,daily_score,signal,confidence,has_buy_signal,recommendation_lane,eligible_for_ml,eligible_for_pending_buy,alpha_engine,alpha_selected,eligible_for_sparse,alpha_selection_reason,sparse_input_blocked_reason,expected_return,expected_return_source,allocation_candidate_pool_size,alpha_bucket,allocation_quota,strategy_count,strategy_ids
2610,華航,1,60.3,POTENTIAL_BUY,0.6155,0,tradable,1,1,sparse_tangent_inverse_risk,0,1,positive_edge_but_zero_weight_due_to_better_alternative,,0.003344,ml_forecast_pct_plus_market_heat_factor,118,defensive_accumulation,5,5,alpha_miner_pymoo_nsga3_novelty_0193;alpha223_0166;alpha223_0283;defensive_accumulation_seed_v1;trend_quality_breakout_fused_v1
6753,龍德造船,2,58.7,POTENTIAL_BUY,0.597,0,tradable,1,1,sparse_tangent_inverse_risk,0,1,positive_edge_but_zero_weight_due_to_better_alternative,,0.00155138,ml_forecast_pct_plus_market_heat_factor,118,defensive_accumulation,5,4,alpha_miner_pymoo_nsga3_novelty_0193;alpha223_0166;defensive_accumulation_seed_v1;trend_quality_breakout_fused_v1
9946,三發地產,3,57.7,POTENTIAL_BUY,0.5967,0,tradable,1,1,sparse_tangent_inverse_risk,0,1,positive_edge_but_zero_weight_due_to_better_alternative,,0.00096892,ml_forecast_pct_plus_market_heat_factor,118,defensive_accumulation,5,3,alpha223_0009;alpha223_0166;alpha223_0248
9914,美利達,4,57,POTENTIAL_BUY,0.6012,0,tradable,1,1,sparse_tangent_inverse_risk,0,1,positive_edge_but_zero_weight_due_to_better_alternative,,0.003344,ml_forecast_pct_plus_market_heat_factor,118,defensive_accumulation,5,4,alpha223_0009;alpha223_0166;alpha223_0283;defensive_accumulation_seed_v1
6505,台塑化,5,56.3,HOLD,0.629,0,tradable,1,1,sparse_tangent_inverse_risk,0,0,not_eligible_for_sparse_input,negative_or_below_min_forecast,-0.00119292,ml_forecast_pct_plus_market_heat_factor,118,defensive_accumulation,5,6,alpha_miner_pymoo_nsga3_novelty_0193;alpha223_0009;alpha223_0166;alpha223_0248;alpha223_0283;defensive_accumulation_seed_v1
8383,千附,6,57.7,POTENTIAL_BUY,0.6424,0,tradable,1,1,sparse_tangent_inverse_risk,0,1,positive_edge_but_zero_weight_due_to_better_alternative,,0.00874354,ml_forecast_pct_plus_market_heat_factor,118,trend_following,2,3,alpha223_0166;defensive_accumulation_seed_v1;trend_quality_breakout_fused_v1
1815,富喬,7,57.6,POTENTIAL_BUY,0.9749,0,tradable,1,1,sparse_tangent_inverse_risk,0,1,positive_edge_but_zero_weight_due_to_better_alternative,,0.00474377,ml_forecast_pct_plus_market_heat_factor,118,trend_following,2,6,alpha_miner_pymoo_nsga3_novelty_0193;alpha223_0109;alpha223_0166;alpha223_0283;defensive_accumulation_seed_v1;trend_quality_breakout_fused_v1
2887,台新新光金,8,59.8,POTENTIAL_BUY,0.6062,0,tradable,1,1,sparse_tangent_inverse_risk,0,1,positive_edge_but_zero_weight_due_to_better_alternative,,0.00277354,ml_forecast_pct_plus_market_heat_factor,118,breakout_vol_expansion,2,3,alpha_miner_pymoo_nsga3_novelty_0193;alpha223_0166;trend_quality_breakout_fused_v1
8016,矽創,9,57.6,HOLD,0.6969,0,tradable,1,1,sparse_tangent_inverse_risk,0,0,not_eligible_for_sparse_input,negative_or_below_min_forecast,-0.00381331,ml_forecast_pct_plus_market_heat_factor,118,breakout_vol_expansion,2,7,alpha223_0009;alpha223_0109;alpha223_0166;alpha223_0283;defensive_accumulation_seed_v1;stock_tech_s06_nr7_inside_bar_breakout_v1;trend_quality_breakout_fused_v1
2382,廣達,10,36.4,POTENTIAL_BUY,0.5343,0,tradable,1,1,sparse_tangent_inverse_risk,0,1,positive_edge_but_zero_weight_due_to_better_alternative,,0.00317554,ml_forecast_pct_plus_market_heat_factor,118,mean_reversion,1,3,alpha223_0009;alpha223_0109;alpha223_0166
6435,大中,11,40.1,HOLD,,0,tradable,1,1,sparse_tangent_inverse_risk,0,0,preserved_screener_seed_non_buy,ml_filter_preserved_non_buy,,,,,,7,alpha223_0109;alpha223_0166;stock_tech_s01_55d_trend_volume_breakout_v1;stock_tech_s02_52w_dual_momentum_v1;stock_tech_s04_ma_deduct_turn_breakout_v1;stock_tech_s06_nr7_inside_bar_breakout_v1;trend_quality_breakout_fused_v1
5314,世紀*,12,56.5,POTENTIAL_BUY,0.8608,0,tradable,1,1,sparse_tangent_inverse_risk,0,1,positive_edge_but_zero_weight_due_to_better_alternative,,0.00698415,ml_forecast_pct_plus_market_heat_factor,118,trend_following,2,5,alpha_miner_pymoo_nsga3_novelty_0193;alpha223_0109;alpha223_0166;defensive_accumulation_seed_v1;trend_quality_breakout_fused_v1
2618,長榮航,13,56.1,POTENTIAL_BUY,0.6042,0,tradable,1,1,sparse_tangent_inverse_risk,0,1,positive_edge_but_zero_weight_due_to_better_alternative,,0.00303662,ml_forecast_pct_plus_market_heat_factor,118,defensive_accumulation,5,7,alpha_miner_pymoo_nsga3_novelty_0193;alpha223_0009;alpha223_0166;alpha223_0248;alpha223_0283;defensive_accumulation_seed_v1;trend_quality_breakout_fused_v1
