symbol,name,funnel_rank,funnel_score,reason_code,strategy_count,strategy_ids,research_strategy_ids
2472,立隆電,1,42.8275,selected_for_l1_breadth_seed,12,alpha_miner_pymoo_nsga3_novelty_0193;alpha223_0009;alpha223_0109;alpha223_0166;alpha223_0248;alpha223_0283;defensive_accumulation_seed_v1;stock_tech_s01_55d_trend_volume_breakout_v1;stock_tech_s02_52w_dual_momentum_v1;stock_tech_s04_ma_deduct_turn_breakout_v1;stock_tech_s06_nr7_inside_bar_breakout_v1;trend_quality_breakout_fused_v1,alpha_miner_pymoo_nsga3_novelty_0187
6672,騰輝電子-KY,2,40.8275,selected_for_l1_breadth_seed,10,alpha_miner_pymoo_nsga3_novelty_0193;alpha223_0009;alpha223_0109;alpha223_0166;alpha223_0248;defensive_accumulation_seed_v1;stock_tech_s01_55d_trend_volume_breakout_v1;stock_tech_s02_52w_dual_momentum_v1;stock_tech_s06_nr7_inside_bar_breakout_v1;trend_quality_breakout_fused_v1,alpha_miner_pymoo_nsga3_novelty_0187
6446,藥華藥,3,43,selected_for_l1_breadth_seed,9,alpha_miner_pymoo_nsga3_novelty_0193;alpha223_0009;alpha223_0166;alpha223_0248;alpha223_0283;defensive_accumulation_seed_v1;stock_tech_s01_55d_trend_volume_breakout_v1;stock_tech_s06_nr7_inside_bar_breakout_v1;trend_quality_breakout_fused_v1,
8046,南電,4,40.6275,selected_for_l1_breadth_seed,9,alpha_miner_pymoo_nsga3_novelty_0193;alpha223_0009;alpha223_0109;alpha223_0166;alpha223_0248;alpha223_0283;defensive_accumulation_seed_v1;stock_tech_s02_52w_dual_momentum_v1;trend_quality_breakout_fused_v1,alpha_miner_pymoo_nsga3_novelty_0187
5434,崇越,5,42.5,selected_for_l1_breadth_seed,7,alpha223_0109;alpha223_0166;alpha223_0248;alpha223_0283;defensive_accumulation_seed_v1;stock_tech_s06_nr7_inside_bar_breakout_v1;trend_quality_breakout_fused_v1,finlab_ai_skill_quality_trend_v1
4958,臻鼎-KY,6,25.9275,selected_for_l1_breadth_seed,11,alpha_miner_pymoo_nsga3_novelty_0193;alpha223_0009;alpha223_0109;alpha223_0166;alpha223_0248;alpha223_0283;stock_tech_s01_55d_trend_volume_breakout_v1;stock_tech_s02_52w_dual_momentum_v1;stock_tech_s04_ma_deduct_turn_breakout_v1;stock_tech_s06_nr7_inside_bar_breakout_v1;trend_quality_breakout_fused_v1,
3189,景碩,7,26,selected_for_l1_breadth_seed,10,alpha_miner_pymoo_nsga3_novelty_0193;alpha223_0109;alpha223_0166;alpha223_0248;alpha223_0283;defensive_accumulation_seed_v1;stock_tech_s01_55d_trend_volume_breakout_v1;stock_tech_s02_52w_dual_momentum_v1;stock_tech_s04_ma_deduct_turn_breakout_v1;trend_quality_breakout_fused_v1,alpha_miner_pymoo_nsga3_novelty_0187
8016,矽創,8,32.88825,selected_for_l1_breadth_seed,7,alpha223_0009;alpha223_0109;alpha223_0166;alpha223_0283;defensive_accumulation_seed_v1;stock_tech_s06_nr7_inside_bar_breakout_v1;trend_quality_breakout_fused_v1,finlab_ai_skill_quality_trend_v1
5536,聖暉*,9,40.8,selected_for_l1_breadth_seed,8,alpha223_0009;alpha223_0109;alpha223_0166;alpha223_0248;alpha223_0283;defensive_accumulation_seed_v1;stock_tech_s02_52w_dual_momentum_v1;trend_quality_breakout_fused_v1,
6435,大中,10,18.8,selected_for_l1_breadth_seed,7,alpha223_0109;alpha223_0166;stock_tech_s01_55d_trend_volume_breakout_v1;stock_tech_s02_52w_dual_momentum_v1;stock_tech_s04_ma_deduct_turn_breakout_v1;stock_tech_s06_nr7_inside_bar_breakout_v1;trend_quality_breakout_fused_v1,finlab_ai_skill_quality_trend_v1
