strategy_id,strategy_status,matched,reason_code,rows,symbols,avg_match_score,first_created,last_created
alpha223_0009,active,1,strategy_spec_matched,163,163,0.5812553251533743,2026-07-01T01:36:38.909Z,2026-07-01T01:42:19.455Z
alpha223_0009,active,0,strategy_spec_no_match,639,639,,2026-07-01T01:36:38.909Z,2026-07-01T01:42:19.455Z
alpha223_0109,active,1,strategy_spec_matched,211,211,0.5670351753554502,2026-07-01T01:36:38.909Z,2026-07-01T01:41:51.695Z
alpha223_0109,active,0,strategy_spec_no_match,591,591,,2026-07-01T01:36:38.909Z,2026-07-01T01:42:19.455Z
alpha223_0166,active,1,strategy_spec_matched,270,270,0.5812013777777778,2026-07-01T01:36:38.909Z,2026-07-01T01:42:19.455Z
alpha223_0166,active,0,strategy_spec_no_match,532,532,,2026-07-01T01:36:38.909Z,2026-07-01T01:42:19.455Z
alpha223_0248,active,1,strategy_spec_matched,107,107,0.5782938130841121,2026-07-01T01:36:38.909Z,2026-07-01T01:41:51.695Z
alpha223_0248,active,0,strategy_spec_no_match,695,695,,2026-07-01T01:36:38.909Z,2026-07-01T01:42:19.455Z
alpha223_0283,active,1,strategy_spec_matched,188,188,0.5667547180851064,2026-07-01T01:36:38.909Z,2026-07-01T01:42:19.455Z
alpha223_0283,active,0,strategy_spec_no_match,614,614,,2026-07-01T01:36:38.909Z,2026-07-01T01:42:19.455Z
alpha_miner_pymoo_nsga3_novelty_0081,candidate,1,strategy_spec_matched,7,7,0.6453231428571428,2026-07-01T01:36:38.909Z,2026-07-01T01:41:51.695Z
alpha_miner_pymoo_nsga3_novelty_0081,candidate,0,strategy_spec_no_match,795,795,,2026-07-01T01:36:38.909Z,2026-07-01T01:42:19.455Z
alpha_miner_pymoo_nsga3_novelty_0187,candidate,1,strategy_spec_matched,163,163,0.5672177116564416,2026-07-01T01:36:38.909Z,2026-07-01T01:41:51.695Z
alpha_miner_pymoo_nsga3_novelty_0187,candidate,0,strategy_spec_no_match,639,639,,2026-07-01T01:36:38.909Z,2026-07-01T01:42:19.455Z
alpha_miner_pymoo_nsga3_novelty_0193,active,1,strategy_spec_matched,216,216,0.5795330046296296,2026-07-01T01:36:38.909Z,2026-07-01T01:41:51.695Z
alpha_miner_pymoo_nsga3_novelty_0193,active,0,strategy_spec_no_match,586,586,,2026-07-01T01:36:38.909Z,2026-07-01T01:42:19.455Z
defensive_accumulation_seed_v1,active,1,strategy_spec_matched,165,165,0.6938315272727272,2026-07-01T01:36:38.909Z,2026-07-01T01:41:51.695Z
defensive_accumulation_seed_v1,active,0,strategy_spec_no_match,637,637,,2026-07-01T01:36:38.909Z,2026-07-01T01:42:19.455Z
finlab_ai_skill_quality_trend_v1,candidate,1,strategy_spec_matched,42,42,0.6753662857142857,2026-07-01T01:36:38.909Z,2026-07-01T01:41:51.695Z
finlab_ai_skill_quality_trend_v1,candidate,0,strategy_spec_no_match,760,760,,2026-07-01T01:36:38.909Z,2026-07-01T01:42:19.455Z
finlab_ai_skill_revenue_revision_breakout_v1,candidate,1,strategy_spec_matched,10,10,0.7062212999999999,2026-07-01T01:36:38.909Z,2026-07-01T01:39:36.136Z
finlab_ai_skill_revenue_revision_breakout_v1,candidate,0,strategy_spec_no_match,792,792,,2026-07-01T01:36:38.909Z,2026-07-01T01:42:19.455Z
finlab_ai_skill_reversion_value_v1,candidate,1,strategy_spec_matched,72,72,0.5451256666666667,2026-07-01T01:36:38.909Z,2026-07-01T01:41:51.695Z
finlab_ai_skill_reversion_value_v1,candidate,0,strategy_spec_no_match,730,730,,2026-07-01T01:36:38.909Z,2026-07-01T01:42:19.455Z
stock_tech_s01_55d_trend_volume_breakout_v1,active,1,strategy_spec_matched,11,11,0.7525774545454545,2026-07-01T01:36:38.909Z,2026-07-01T01:37:19.412Z
stock_tech_s01_55d_trend_volume_breakout_v1,active,0,strategy_spec_no_match,791,791,,2026-07-01T01:36:38.909Z,2026-07-01T01:42:19.455Z
stock_tech_s02_52w_dual_momentum_v1,active,1,strategy_spec_matched,38,38,0.6527434736842105,2026-07-01T01:36:38.909Z,2026-07-01T01:37:19.412Z
stock_tech_s02_52w_dual_momentum_v1,active,0,strategy_spec_no_match,764,764,,2026-07-01T01:36:38.909Z,2026-07-01T01:42:19.455Z
stock_tech_s03_vcp_contraction_breakout_v1,candidate,0,strategy_spec_no_match,802,802,,2026-07-01T01:36:38.909Z,2026-07-01T01:42:19.455Z
stock_tech_s04_ma_deduct_turn_breakout_v1,active,1,strategy_spec_matched,10,10,0.6166508,2026-07-01T01:36:38.909Z,2026-07-01T01:37:19.412Z
stock_tech_s04_ma_deduct_turn_breakout_v1,active,0,strategy_spec_no_match,792,792,,2026-07-01T01:36:38.909Z,2026-07-01T01:42:19.455Z
