basis,strategy_a,strategy_b,a_count,b_count,intersection,union,jaccard,corr_phi
final_selection_160_attribution,alpha223_0166,alpha223_0283,126,101,88,139,0.6331,0.268
final_selection_160_attribution,alpha223_0109,trend_quality_breakout_fused_v1,101,110,78,133,0.5865,0.2393
final_selection_160_attribution,alpha223_0248,alpha223_0283,77,101,64,114,0.5614,0.3991
final_selection_160_attribution,alpha223_0166,trend_quality_breakout_fused_v1,126,110,84,152,0.5526,-0.0865
final_selection_160_attribution,alpha223_0109,alpha223_0166,101,126,79,148,0.5338,-0.017
final_selection_160_attribution,alpha_miner_pymoo_nsga3_novelty_0193,trend_quality_breakout_fused_v1,86,110,67,129,0.5194,0.213
final_selection_160_attribution,alpha223_0109,alpha223_0283,101,101,69,133,0.5188,0.1408
final_selection_160_attribution,stock_tech_s01_55d_trend_volume_breakout_v1,stock_tech_s06_nr7_inside_bar_breakout_v1,11,10,7,14,0.5,0.6441
final_selection_160_attribution,alpha223_0109,alpha_miner_pymoo_nsga3_novelty_0193,101,86,61,126,0.4841,0.1744
final_selection_160_attribution,alpha223_0248,trend_quality_breakout_fused_v1,77,110,60,127,0.4724,0.1906
final_selection_160_attribution,alpha223_0166,alpha223_0248,126,77,65,138,0.471,0.1334
final_selection_160_attribution,alpha223_0009,alpha223_0283,81,101,58,124,0.4677,0.178
final_selection_160_attribution,alpha223_0109,alpha223_0248,101,77,56,122,0.459,0.1917
final_selection_160_attribution,alpha223_0009,alpha223_0166,81,126,65,142,0.4577,0.0371
final_selection_160_attribution,alpha223_0283,trend_quality_breakout_fused_v1,101,110,65,146,0.4452,-0.124
final_selection_160_attribution,alpha223_0166,alpha_miner_pymoo_nsga3_novelty_0193,126,86,65,147,0.4422,-0.0835
final_selection_160_attribution,alpha223_0166,defensive_accumulation_seed_v1,126,80,63,143,0.4406,0
final_selection_160_attribution,alpha223_0283,alpha_miner_pymoo_nsga3_novelty_0193,101,86,55,132,0.4167,0.0185
final_selection_160_attribution,alpha223_0009,alpha223_0248,81,77,45,113,0.3982,0.1506
final_selection_160_attribution,alpha223_0248,alpha_miner_pymoo_nsga3_novelty_0193,77,86,46,117,0.3932,0.1157
final_selection_160_attribution,alpha223_0009,defensive_accumulation_seed_v1,81,80,44,117,0.3761,0.0875
final_selection_160_attribution,defensive_accumulation_seed_v1,trend_quality_breakout_fused_v1,80,110,51,139,0.3669,-0.1079
final_selection_160_attribution,alpha223_0283,defensive_accumulation_seed_v1,101,80,47,134,0.3507,-0.0907
final_selection_160_attribution,alpha_miner_pymoo_nsga3_novelty_0193,defensive_accumulation_seed_v1,86,80,42,124,0.3387,-0.0251
final_selection_160_attribution,alpha223_0009,alpha223_0109,81,101,46,136,0.3382,-0.133
final_selection_160_attribution,stock_tech_s01_55d_trend_volume_breakout_v1,stock_tech_s04_ma_deduct_turn_breakout_v1,11,10,5,16,0.3125,0.4401
final_selection_160_attribution,alpha223_0009,trend_quality_breakout_fused_v1,81,110,45,146,0.3082,-0.2882
final_selection_160_attribution,alpha223_0109,defensive_accumulation_seed_v1,101,80,42,139,0.3022,-0.2202
final_selection_160_attribution,stock_tech_s02_52w_dual_momentum_v1,trend_quality_breakout_fused_v1,38,110,33,115,0.287,0.2178
final_selection_160_attribution,alpha_miner_pymoo_nsga3_novelty_0193,stock_tech_s02_52w_dual_momentum_v1,86,38,27,97,0.2784,0.1937
final_selection_160_attribution,alpha223_0009,alpha_miner_pymoo_nsga3_novelty_0193,81,86,34,133,0.2556,-0.2391
final_selection_160_attribution,stock_tech_s04_ma_deduct_turn_breakout_v1,stock_tech_s06_nr7_inside_bar_breakout_v1,10,10,4,16,0.25,0.36
final_selection_160_attribution,alpha223_0109,stock_tech_s02_52w_dual_momentum_v1,101,38,27,112,0.2411,0.0917
final_selection_160_attribution,alpha223_0248,stock_tech_s02_52w_dual_momentum_v1,77,38,21,94,0.2234,0.0797
final_selection_160_attribution,alpha223_0248,defensive_accumulation_seed_v1,77,80,28,129,0.2171,-0.2627
final_selection_160_attribution,alpha223_0166,stock_tech_s02_52w_dual_momentum_v1,126,38,25,139,0.1799,-0.1768
