source,feature,family,decision
current_106,return_1d,price_technical_engineered,keep_current_contract
current_106,return_3d,price_technical_engineered,keep_current_contract
current_106,return_5d,price_technical_engineered,keep_current_contract
current_106,return_10d,price_technical_engineered,keep_current_contract
current_106,volatility_5d,price_technical_engineered,keep_current_contract
current_106,volatility_20d,price_technical_engineered,keep_current_contract
current_106,rsi14,price_technical_engineered,keep_current_contract
current_106,macdHist,price_technical_engineered,keep_current_contract
current_106,bb_position,price_technical_engineered,keep_current_contract
current_106,vol_ratio_5d,other,keep_current_contract
current_106,vol_ratio_20d,other,keep_current_contract
current_106,ma20_bias,price_technical_engineered,keep_current_contract
current_106,ma60_bias,price_technical_engineered,keep_current_contract
current_106,institutional_net,chip_margin_flow,keep_current_contract
current_106,chip_5d,chip_margin_flow,keep_current_contract
current_106,foreign_5d,chip_margin_flow,keep_current_contract
current_106,sentiment,sentiment,keep_current_contract
current_106,sentiment_3d,sentiment,keep_current_contract
current_106,has_sentiment,sentiment,keep_current_contract
current_106,atr14,price_technical_engineered,keep_current_contract
current_106,market_risk_score,market_global_regime,keep_current_contract
current_106,market_risk_level,market_global_regime,keep_current_contract
current_106,market_return_1d,market_global_regime,keep_current_contract
current_106,market_return_5d,market_global_regime,keep_current_contract
current_106,market_bias_20d,market_global_regime,keep_current_contract
current_106,stock_vs_market,market_global_regime,keep_current_contract
current_106,linear_factor,price_technical_engineered,keep_current_contract
current_106,rsi5_dulling,price_technical_engineered,keep_current_contract
current_106,keltner_position,price_technical_engineered,keep_current_contract
current_106,us_sox_return,market_global_regime,keep_current_contract
current_106,us_gspc_return,market_global_regime,keep_current_contract
current_106,us_dxy_return,market_global_regime,keep_current_contract
current_106,us_hy_spread,market_global_regime,keep_current_contract
current_106,us_hy_spread_chg,market_global_regime,keep_current_contract
current_106,us_vix,market_global_regime,keep_current_contract
current_106,us_sentiment_score,market_global_regime,keep_current_contract
current_106,advance_ratio,market_global_regime,keep_current_contract
current_106,bull_alignment_pct,market_global_regime,keep_current_contract
current_106,revenue_yoy,fundamental_revenue,keep_current_contract
current_106,margin_balance,chip_margin_flow,keep_current_contract
current_106,short_ratio,chip_margin_flow,keep_current_contract
current_106,margin_change_5d,chip_margin_flow,keep_current_contract
current_106,retail_pct,chip_margin_flow,keep_current_contract
current_106,margin_ratio,chip_margin_flow,keep_current_contract
current_106,margin_change_5d_ts,chip_margin_flow,keep_current_contract
current_106,short_change_5d,chip_margin_flow,keep_current_contract
current_106,short_squeeze_proxy,chip_margin_flow,keep_current_contract
current_106,vwap_bias,price_technical_engineered,keep_current_contract
current_106,vwap_5d,price_technical_engineered,keep_current_contract
current_106,vwap_bias_5d,price_technical_engineered,keep_current_contract
current_106,dealer_5d,chip_margin_flow,keep_current_contract
current_106,dealer_ratio_5d,chip_margin_flow,keep_current_contract
current_106,foreign_consecutive_sell,chip_margin_flow,keep_current_contract
current_106,foreign_net_5d_market,chip_margin_flow,keep_current_contract
current_106,limit_down_count,price_technical_engineered,keep_current_contract
current_106,limit_down_pct,price_technical_engineered,keep_current_contract
current_106,adl_value,price_technical_engineered,keep_current_contract
current_106,adl_trend_numeric,price_technical_engineered,keep_current_contract
current_106,ma5_bias,price_technical_engineered,keep_current_contract
current_106,ma10_bias,price_technical_engineered,keep_current_contract
current_106,bb_upper_raw,price_technical_engineered,keep_current_contract
current_106,bb_lower_raw,price_technical_engineered,keep_current_contract
current_106,KMID,price_technical_engineered,keep_current_contract
current_106,KLEN,price_technical_engineered,keep_current_contract
current_106,KMID2,price_technical_engineered,keep_current_contract
current_106,KUP,price_technical_engineered,keep_current_contract
current_106,KUP2,price_technical_engineered,keep_current_contract
current_106,KLOW,price_technical_engineered,keep_current_contract
current_106,KLOW2,price_technical_engineered,keep_current_contract
current_106,KSFT,price_technical_engineered,keep_current_contract
current_106,KSFT2,price_technical_engineered,keep_current_contract
current_106,IMAX_20,price_technical_engineered,keep_current_contract
current_106,IMIN_20,price_technical_engineered,keep_current_contract
current_106,IMXD_20,price_technical_engineered,keep_current_contract
current_106,BETA_20,price_technical_engineered,keep_current_contract
current_106,RSQR_20,price_technical_engineered,keep_current_contract
current_106,RESI_20,price_technical_engineered,keep_current_contract
current_106,CORR_10,price_technical_engineered,keep_current_contract
current_106,CORD_10,price_technical_engineered,keep_current_contract
current_106,BETA_5,price_technical_engineered,keep_current_contract
current_106,RSQR_5,price_technical_engineered,keep_current_contract
current_106,RESI_5,price_technical_engineered,keep_current_contract
current_106,BETA_10,price_technical_engineered,keep_current_contract
current_106,RSQR_10,price_technical_engineered,keep_current_contract
current_106,RESI_10,price_technical_engineered,keep_current_contract
current_106,BETA_60,price_technical_engineered,keep_current_contract
current_106,RSQR_60,price_technical_engineered,keep_current_contract
current_106,RESI_60,price_technical_engineered,keep_current_contract
current_106,CNTP_5,price_technical_engineered,keep_current_contract
current_106,CNTN_5,price_technical_engineered,keep_current_contract
current_106,CNTD_5,price_technical_engineered,keep_current_contract
current_106,CNTP_10,price_technical_engineered,keep_current_contract
current_106,CNTN_10,price_technical_engineered,keep_current_contract
current_106,CNTD_10,price_technical_engineered,keep_current_contract
current_106,CNTP_20,price_technical_engineered,keep_current_contract
current_106,CNTN_20,price_technical_engineered,keep_current_contract
current_106,CNTD_20,price_technical_engineered,keep_current_contract
current_106,VSTD_10,price_technical_engineered,keep_current_contract
current_106,VSTD_20,price_technical_engineered,keep_current_contract
current_106,WVMA,price_technical_engineered,keep_current_contract
current_106,sector_encoded,sector_metadata,keep_current_contract
current_106,market_cap_bucket,sector_metadata,keep_current_contract
current_106,avg_volume_bucket,sector_metadata,keep_current_contract
current_106,sector_peer_return_1d,sector_metadata,keep_current_contract
current_106,sector_peer_return_5d,sector_metadata,keep_current_contract
current_106,stock_vs_sector,sector_metadata,keep_current_contract
