api_key,market,namespace,field,group,adoption_priority,adoption_mode,dataset_lane,quality_gate,replaces_twse_tpex_primary,stockvision_use
price:成交股數,tw,price,成交股數,price / OHLCV,P0,replace,daily_price,"20_30_day_parity, split_adjustment, missing_rate",True,"daily price, adjusted price, liquidity, backtest base panel"
price:成交筆數,tw,price,成交筆數,price / OHLCV,P0,replace,daily_price,"20_30_day_parity, split_adjustment, missing_rate",True,"daily price, adjusted price, liquidity, backtest base panel"
price:成交金額,tw,price,成交金額,price / OHLCV,P0,replace,daily_price,"20_30_day_parity, split_adjustment, missing_rate",True,"daily price, adjusted price, liquidity, backtest base panel"
price:收盤價,tw,price,收盤價,price / OHLCV,P0,replace,daily_price,"20_30_day_parity, split_adjustment, missing_rate",True,"daily price, adjusted price, liquidity, backtest base panel"
price:開盤價,tw,price,開盤價,price / OHLCV,P0,replace,daily_price,"20_30_day_parity, split_adjustment, missing_rate",True,"daily price, adjusted price, liquidity, backtest base panel"
price:最低價,tw,price,最低價,price / OHLCV,P0,replace,daily_price,"20_30_day_parity, split_adjustment, missing_rate",True,"daily price, adjusted price, liquidity, backtest base panel"
price:最高價,tw,price,最高價,price / OHLCV,P0,replace,daily_price,"20_30_day_parity, split_adjustment, missing_rate",True,"daily price, adjusted price, liquidity, backtest base panel"
price:最後揭示買價,tw,price,最後揭示買價,price / OHLCV,P0,replace,daily_price,"20_30_day_parity, split_adjustment, missing_rate",True,"daily price, adjusted price, liquidity, backtest base panel"
price:最後揭示賣價,tw,price,最後揭示賣價,price / OHLCV,P0,replace,daily_price,"20_30_day_parity, split_adjustment, missing_rate",True,"daily price, adjusted price, liquidity, backtest base panel"
price:最後揭示買量,tw,price,最後揭示買量,price / OHLCV,P0,replace,daily_price,"20_30_day_parity, split_adjustment, missing_rate",True,"daily price, adjusted price, liquidity, backtest base panel"
price:最後揭示賣量,tw,price,最後揭示賣量,price / OHLCV,P0,replace,daily_price,"20_30_day_parity, split_adjustment, missing_rate",True,"daily price, adjusted price, liquidity, backtest base panel"
etl:adj_open,tw,etl,adj_open,price / OHLCV,P0,replace,daily_price,"20_30_day_parity, split_adjustment, missing_rate",True,"daily price, adjusted price, liquidity, backtest base panel"
etl:adj_close,tw,etl,adj_close,price / OHLCV,P0,replace,daily_price,"20_30_day_parity, split_adjustment, missing_rate",True,"daily price, adjusted price, liquidity, backtest base panel"
etl:adj_high,tw,etl,adj_high,price / OHLCV,P0,replace,daily_price,"20_30_day_parity, split_adjustment, missing_rate",True,"daily price, adjusted price, liquidity, backtest base panel"
etl:adj_low,tw,etl,adj_low,price / OHLCV,P0,replace,daily_price,"20_30_day_parity, split_adjustment, missing_rate",True,"daily price, adjusted price, liquidity, backtest base panel"
monthly_revenue:當月營收,tw,monthly_revenue,當月營收,monthly revenue,P0,replace,revenue,"announcement_date_alignment, restatement_check",True,"revenue momentum, revenue-price double momentum, announcement freshness checks"
monthly_revenue:上月營收,tw,monthly_revenue,上月營收,monthly revenue,P0,replace,revenue,"announcement_date_alignment, restatement_check",True,"revenue momentum, revenue-price double momentum, announcement freshness checks"
monthly_revenue:去年當月營收,tw,monthly_revenue,去年當月營收,monthly revenue,P0,replace,revenue,"announcement_date_alignment, restatement_check",True,"revenue momentum, revenue-price double momentum, announcement freshness checks"
monthly_revenue:上月比較增減(%),tw,monthly_revenue,上月比較增減(%),monthly revenue,P0,replace,revenue,"announcement_date_alignment, restatement_check",True,"revenue momentum, revenue-price double momentum, announcement freshness checks"
monthly_revenue:去年同月增減(%),tw,monthly_revenue,去年同月增減(%),monthly revenue,P0,replace,revenue,"announcement_date_alignment, restatement_check",True,"revenue momentum, revenue-price double momentum, announcement freshness checks"
monthly_revenue:當月累計營收,tw,monthly_revenue,當月累計營收,monthly revenue,P0,replace,revenue,"announcement_date_alignment, restatement_check",True,"revenue momentum, revenue-price double momentum, announcement freshness checks"
monthly_revenue:去年累計營收,tw,monthly_revenue,去年累計營收,monthly revenue,P0,replace,revenue,"announcement_date_alignment, restatement_check",True,"revenue momentum, revenue-price double momentum, announcement freshness checks"
monthly_revenue:前期比較增減(%),tw,monthly_revenue,前期比較增減(%),monthly revenue,P0,replace,revenue,"announcement_date_alignment, restatement_check",True,"revenue momentum, revenue-price double momentum, announcement freshness checks"
fundamental_features:營業利益,tw,fundamental_features,營業利益,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:EBITDA,tw,fundamental_features,EBITDA,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:營運現金流,tw,fundamental_features,營運現金流,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:歸屬母公司淨利,tw,fundamental_features,歸屬母公司淨利,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:折舊,tw,fundamental_features,折舊,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:流動資產,tw,fundamental_features,流動資產,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:流動負債,tw,fundamental_features,流動負債,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:取得不動產廠房及設備,tw,fundamental_features,取得不動產廠房及設備,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:經常稅後淨利,tw,fundamental_features,經常稅後淨利,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:ROA稅後息前,tw,fundamental_features,ROA稅後息前,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:ROA綜合損益,tw,fundamental_features,ROA綜合損益,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:ROE稅後,tw,fundamental_features,ROE稅後,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:ROE綜合損益,tw,fundamental_features,ROE綜合損益,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:稅前息前折舊前淨利率,tw,fundamental_features,稅前息前折舊前淨利率,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:營業毛利率,tw,fundamental_features,營業毛利率,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:營業利益率,tw,fundamental_features,營業利益率,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:稅前淨利率,tw,fundamental_features,稅前淨利率,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:稅後淨利率,tw,fundamental_features,稅後淨利率,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:業外收支營收率,tw,fundamental_features,業外收支營收率,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:貝里比率,tw,fundamental_features,貝里比率,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:營業費用率,tw,fundamental_features,營業費用率,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:推銷費用率,tw,fundamental_features,推銷費用率,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:管理費用率,tw,fundamental_features,管理費用率,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:研究發展費用率,tw,fundamental_features,研究發展費用率,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:現金流量比率,tw,fundamental_features,現金流量比率,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:稅率,tw,fundamental_features,稅率,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
fundamental_features:每股營業額,tw,fundamental_features,每股營業額,fundamentals,P0,augment,fundamental_factor_diversity,"report_date_availability, no_lookahead, sector_normalization",True,"quality, value, growth, profitability, balance-sheet factors"
