universe,feature_id,source,category,monthly_sharpe,cagr,max_drawdown,coverage,nearest_ml106_feature,nearest_abs_rank_corr,overlap_tier,action,decision
strategy95_vs_ml106,l1_bbBandwidthPct,stockvision_l1,l1_signal,0.8111671035415022,0.2581690348360681,-0.37395649218906424,,KLEN,0.5959180308267602,medium_related_0_4_0_8,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,l1_bestFvgStrength,stockvision_l1,l1_signal,0.8621606092076173,0.22072000497616395,-0.43575370868060626,,ma5_bias,0.4377957698172054,medium_related_0_4_0_8,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,l1_bestOrderBlockStrength,stockvision_l1,l1_signal,0.7267270117603629,0.19517829744639892,-0.3869671022841906,,return_1d,0.8296635476515916,high_duplicate_ge_0_8,dedupe_or_keep_as_alias,dedupe_or_keep_as_alias
strategy95_vs_ml106,l1_bosBullish,stockvision_l1,l1_signal,0.7045782888724512,0.17162817296048094,-0.33474138483264426,,bb_position,0.34183706180786144,low_novel_lt_0_4,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,l1_brokerConcentration,stockvision_l1,l1_signal,1.0879448112873897,0.2412580376394189,-0.12199953176301293,,return_1d,0.5565778675876174,medium_related_0_4_0_8,keep_but_cluster_with_ml_neighbor,keep_but_cluster_with_ml_neighbor
strategy95_vs_ml106,l1_brokerCount,stockvision_l1,l1_signal,-0.2328641806973774,-0.007382988729009665,-0.18051310455056135,,sentiment,0.7671604081610365,medium_related_0_4_0_8,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,l1_brokerNetAmount5d,stockvision_l1,l1_signal,1.5373269992968763,0.5359888894284226,-0.13587906321826781,,chip_5d,0.49470245400300444,medium_related_0_4_0_8,keep_but_cluster_with_ml_neighbor,keep_but_cluster_with_ml_neighbor
strategy95_vs_ml106,l1_chochBullish,stockvision_l1,l1_signal,0.015348571101190329,0.01644974243909081,-0.1697384952176756,,return_1d,0.2787945926617755,low_novel_lt_0_4,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,l1_closeAboveMa60Pct,stockvision_l1,l1_signal,1.067961044854322,0.3440435366918029,-0.401804020127302,,BETA_60,0.7838344356715108,medium_related_0_4_0_8,keep_but_cluster_with_ml_neighbor,keep_but_cluster_with_ml_neighbor
strategy95_vs_ml106,l1_dealerNet5d,stockvision_l1,l1_signal,0.9663586985555359,0.28759869154607864,-0.20927158948899727,,dealer_5d,0.9895535315735161,high_duplicate_ge_0_8,dedupe_or_keep_as_alias,dedupe_or_keep_as_alias
strategy95_vs_ml106,l1_diTrend,stockvision_l1,l1_signal,0.6174369249706447,0.15262365115076904,-0.28865735159885164,,keltner_position,0.8119909301722285,high_duplicate_ge_0_8,dedupe_or_keep_as_alias,dedupe_or_keep_as_alias
strategy95_vs_ml106,l1_displacementPct,stockvision_l1,l1_signal,0.6970229370663152,0.19916545716124046,-0.41802488006106453,,return_1d,0.8325779071555237,high_duplicate_ge_0_8,dedupe_or_keep_as_alias,dedupe_or_keep_as_alias
strategy95_vs_ml106,l1_eps,stockvision_l1,l1_signal,1.3845698183864072,0.40860573862387484,-0.11674979841497535,,bb_lower_raw,0.6914059217426676,medium_related_0_4_0_8,keep_but_cluster_with_ml_neighbor,keep_but_cluster_with_ml_neighbor
strategy95_vs_ml106,l1_foreignTrustNet5d,stockvision_l1,l1_signal,1.1059848574008482,0.2778934779102269,-0.1854507422089472,,chip_5d,0.7178817238345216,medium_related_0_4_0_8,keep_but_cluster_with_ml_neighbor,keep_but_cluster_with_ml_neighbor
strategy95_vs_ml106,l1_liquiditySweepBullish,stockvision_l1,l1_signal,-0.1536342879135669,0.0004600562407381936,-0.15875703931722862,,IMIN_20,0.16659661369826137,low_novel_lt_0_4,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,l1_macdHist,stockvision_l1,l1_signal,1.1774862330876956,0.3453814958387902,-0.27315797770802974,,macdHist,0.9927766666882388,high_duplicate_ge_0_8,dedupe_or_keep_as_alias,dedupe_or_keep_as_alias
strategy95_vs_ml106,l1_monthlyRevenueMoM,stockvision_l1,l1_signal,0.8110513446759969,0.1763540220515194,-0.26102921807569235,,BETA_20,0.1349519412700503,low_novel_lt_0_4,candidate_add_to_shared_pool,selected_for_canonical114
strategy95_vs_ml106,l1_monthlyRevenueYoY,stockvision_l1,l1_signal,0.29907959319454097,0.06930578083942396,-0.420342003431565,,atr14,0.19582269214518014,low_novel_lt_0_4,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,l1_return20d,stockvision_l1,l1_signal,0.9887146507623726,0.3375485600178736,-0.35376549742919805,,BETA_20,0.8792724664099762,high_duplicate_ge_0_8,dedupe_or_keep_as_alias,dedupe_or_keep_as_alias
strategy95_vs_ml106,l1_revenueGrowthYoY,stockvision_l1,l1_signal,1.0425263126340159,0.23100948133828192,-0.23880146019956772,,atr14,0.18203234428723875,low_novel_lt_0_4,candidate_add_to_shared_pool,selected_for_canonical114
strategy95_vs_ml106,l1_roe,stockvision_l1,l1_signal,1.1161568721072126,0.2579724372223331,-0.2526233467640566,,bb_lower_raw,0.5736858947838348,medium_related_0_4_0_8,keep_but_cluster_with_ml_neighbor,keep_but_cluster_with_ml_neighbor
strategy95_vs_ml106,l1_sectorFlowCore,stockvision_l1,l1_signal,0.5652181263630363,0.13771475972224922,-0.3375022281473006,,BETA_20,0.21419709422419705,low_novel_lt_0_4,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,l1_sectorRsMomentum,stockvision_l1,l1_signal,0.40874300189475765,0.0993444492738027,-0.2808946203511986,,RESI_60,0.2420664049552377,low_novel_lt_0_4,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,l1_sectorRsRatio,stockvision_l1,l1_signal,0.6504335362888203,0.17180979648353167,-0.20556435180998212,,BETA_20,0.29265120894891294,low_novel_lt_0_4,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,l1_sectorTurnoverShareDelta,stockvision_l1,l1_signal,0.9917632013181301,0.3127320120090402,-0.26047602392305613,,vol_ratio_20d,0.1295867444913366,low_novel_lt_0_4,candidate_add_to_shared_pool,selected_for_canonical114
strategy95_vs_ml106,l1_smcBiasBearish,stockvision_l1,l1_signal,-0.3582680611264985,-0.026272108172855524,-0.24588176207141688,,keltner_position,0.7192005331249034,medium_related_0_4_0_8,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,l1_smcBullishScore,stockvision_l1,l1_signal,0.6122549707943886,0.15461711495692287,-0.3955482743982903,,return_1d,0.8231868660699817,high_duplicate_ge_0_8,dedupe_or_keep_as_alias,dedupe_or_keep_as_alias
strategy95_vs_ml106,l1_smcNetScore,stockvision_l1,l1_signal,0.691110936044398,0.17633597643335297,-0.34998328865962214,,bb_position,0.6868714942377556,medium_related_0_4_0_8,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,l1_squeezeMomentum,stockvision_l1,l1_signal,1.188171267230388,0.3906774443259633,-0.2912762303621763,,keltner_position,0.8321332196172305,high_duplicate_ge_0_8,dedupe_or_keep_as_alias,dedupe_or_keep_as_alias
strategy95_vs_ml106,l1_squeezeRelease,stockvision_l1,l1_signal,0.1320163249176404,0.029339244609447812,-0.25110551977135387,,RSQR_5,0.07494465589526432,low_novel_lt_0_4,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,l1_volumeExpansion20,stockvision_l1,l1_signal,0.298814288574921,0.06909922643270439,-0.2635652773901642,,vol_ratio_20d,0.5384971612540156,medium_related_0_4_0_8,watch_or_strategy_only,watch_or_strategy_only
strategy95_vs_ml106,l1_volumeMomentumDivergence132710,stockvision_l1,l1_signal,1.078882463302884,0.3074725540938874,-0.2974471905913657,,vol_ratio_20d,0.3147536889523992,low_novel_lt_0_4,candidate_add_to_shared_pool,selected_for_canonical114
strategy95_vs_ml106,liq_amihud_21d,alphabuilderstw,volatility,1.389453776642602,0.42296855225624563,-0.20473979659687314,,VSTD_20,0.7678303012502202,medium_related_0_4_0_8,keep_but_cluster_with_ml_neighbor,keep_but_cluster_with_ml_neighbor
strategy95_vs_ml106,mom_12m_1m,alphabuilderstw,momentum,0.9160370129142429,0.29879493958237147,-0.25733987660329893,,atr14,0.3160386373306422,low_novel_lt_0_4,candidate_add_to_shared_pool,selected_for_canonical114
strategy95_vs_ml106,mom_9m,alphabuilderstw,momentum,1.1693406421677548,0.4147093054117248,-0.34427272296801537,,BETA_60,0.46416063121149725,medium_related_0_4_0_8,keep_but_cluster_with_ml_neighbor,keep_but_cluster_with_ml_neighbor
strategy95_vs_ml106,mom_close_to_52w_high,alphabuilderstw,momentum,1.197084833838478,0.2675524819928632,-0.23903821719133767,,BETA_60,0.5199344835863662,medium_related_0_4_0_8,keep_but_cluster_with_ml_neighbor,keep_but_cluster_with_ml_neighbor
strategy95_vs_ml106,mom_hl52,alphabuilderstw,momentum,1.5289672019025116,0.4028287727256945,-0.26652248227267306,,BETA_60,0.6059725805691121,medium_related_0_4_0_8,keep_but_cluster_with_ml_neighbor,keep_but_cluster_with_ml_neighbor
strategy95_vs_ml106,mom_ma50_200_ratio,alphabuilderstw,momentum,1.152921352619967,0.33822672840206036,-0.40857744267535434,,BETA_60,0.47774504551906755,medium_related_0_4_0_8,keep_but_cluster_with_ml_neighbor,keep_but_cluster_with_ml_neighbor
strategy95_vs_ml106,mom_macd_trend_10,alphabuilderstw,momentum,1.4511224098652704,0.505871526589152,-0.24251694478596542,,BETA_60,0.7535222482621335,medium_related_0_4_0_8,keep_but_cluster_with_ml_neighbor,keep_but_cluster_with_ml_neighbor
strategy95_vs_ml106,mom_reversal_1m,alphabuilderstw,momentum,1.0945167853227635,0.32617486216654656,-0.2520266081982223,,BETA_20,0.8504360426556363,high_duplicate_ge_0_8,dedupe_or_keep_as_alias,dedupe_or_keep_as_alias
strategy95_vs_ml106,mom_reversal_6m,alphabuilderstw,momentum,1.2480471019436454,0.40353876361628194,-0.32679083735846615,,BETA_60,0.5792697485404481,medium_related_0_4_0_8,keep_but_cluster_with_ml_neighbor,keep_but_cluster_with_ml_neighbor
