feature_id,origin_pool,category,selector_role,recommended_status,materializer_status,quality_score,monthly_sharpe,cagr,max_drawdown,mean_ic_5d,coverage,nearest_feature,nearest_abs_rank_corr,nearest_rank_corr,duplicate_level,high_duplicate_cluster_id,high_duplicate_cluster_leader,related_cluster_id,related_cluster_leader,preferred_feature_id,similarity_status
chip_5d,ml106,chip_margin_flow,core_prior,keep_candidate,materialized,0.517989,0.8587894339174001,0.2439313920824555,-0.3426538194333647,0.0021503877079820403,0.8490103270223752,foreign_5d,0.89755361,0.89755361,high_duplicate,11,foreign_5d,1,size_log_mktcap,foreign_5d,measured
dealer_ratio_5d,ml106,chip_margin_flow,core_prior,keep_candidate,materialized,0.629925,0.8832378493725097,0.18074375127123044,-0.11700189622202894,0.004156387343389379,0.8490103270223752,vola_cv_90d,0.02827942,0.02827942,independent_candidate,28,dealer_ratio_5d,7,dealer_ratio_5d,dealer_ratio_5d,measured
foreign_5d,ml106,chip_margin_flow,core_prior,keep_candidate,materialized,0.565683,0.9002877246825243,0.25113361524038624,-0.3264120588582371,0.009623744365891683,0.8490103270223752,chip_5d,0.89755361,0.89755361,high_duplicate,11,foreign_5d,1,size_log_mktcap,foreign_5d,measured
institutional_net,ml106,chip_margin_flow,core_prior,keep_candidate,materialized,0.55749,0.8028180421474613,0.19221564028716132,-0.2974005564647485,0.01461553179441758,0.8490103270223752,l1_brokerConcentration,0.54979062,-0.54979062,related_cluster,29,institutional_net,1,size_log_mktcap,institutional_net,measured
short_squeeze_proxy,ml106,chip_margin_flow,core_prior,keep_candidate,materialized,0.316955,0.19159094695940046,0.03578813339659637,-0.4432393622213532,-0.019598569352920783,0.8490103270223752,tech_wma_10_pos,0.44978006,0.44978006,related_cluster,59,short_squeeze_proxy,1,size_log_mktcap,short_squeeze_proxy,measured
tech_bullish_streak_5,strategy95,event,core_prior,keep_candidate,materialized,0.561755,0.627464809272618,0.11745406563638427,-0.19946566022387324,-0.013881285033494234,1.0,tech_psy_12,0.60902452,-0.60902452,related_cluster,62,tech_bullish_streak_5,1,size_log_mktcap,tech_bullish_streak_5,measured
tech_disposal_active,strategy95,event,core_prior,keep_candidate,materialized,0.278705,0.22335009573275666,0.04711580003232285,-0.46121354860711583,-0.003577431567739164,1.0,tech_limit_up_streak_10,0.203079,0.203079,independent_candidate,63,tech_disposal_active,17,tech_disposal_active,tech_disposal_active,measured
tech_gap_down,strategy95,event,core_prior,keep_candidate,materialized,0.376824,-0.13270302829605743,0.0031807753869328437,-0.1522391503479512,0.0059718123397527936,1.0,vol_money_flow_5d,0.17117661,-0.17117661,independent_candidate,65,tech_gap_down,18,tech_gap_down,tech_gap_down,measured
tech_gap_up,strategy95,event,core_prior,keep_candidate,materialized,0.494759,0.5839469258395621,0.12280510767649733,-0.2632860921532625,-0.0070815097748843535,1.0,l1_bestFvgStrength,0.32892124,0.32892124,independent_candidate,66,tech_gap_up,19,tech_gap_up,tech_gap_up,measured
tech_limit_down_count_10,strategy95,event,core_prior,keep_candidate,materialized,0.381763,0.48916228194607214,0.14123231593221242,-0.46414766693940523,0.0075002017321804445,1.0,tech_locked_open_down_10,0.41853407,0.41853407,related_cluster,68,tech_limit_down_count_10,5,tech_locked_open_down_10,tech_limit_down_count_10,measured
tech_limit_up_streak_10,strategy95,event,core_prior,keep_candidate,materialized,0.550931,0.6727689530063008,0.19598680087708042,-0.3761747692549413,0.026331679708559236,1.0,vola_realized_1m,0.41915468,0.41915468,related_cluster,69,tech_limit_up_streak_10,1,size_log_mktcap,tech_limit_up_streak_10,measured
tech_locked_open_down_10,strategy95,event,core_prior,keep_candidate,materialized,0.394292,0.09526026195054785,0.02328998020436579,-0.219070377861193,0.007954923747138052,1.0,tech_limit_down_count_10,0.41853407,0.41853407,related_cluster,70,tech_locked_open_down_10,5,tech_locked_open_down_10,tech_locked_open_down_10,measured
tech_locked_open_up_10,strategy95,event,core_prior,keep_candidate,materialized,0.559595,0.673262592113276,0.13671178997798816,-0.1729674037731911,0.00483954471717201,1.0,tech_limit_up_streak_10,0.25680193,-0.25680193,independent_candidate,71,tech_locked_open_up_10,21,tech_locked_open_up_10,tech_locked_open_up_10,measured
l1_brokerConcentration,strategy95,l1_signal,core_prior,keep_candidate,materialized,0.686398,1.0879448112873897,0.2412580376394189,-0.12199953176301293,0.0032956692587014958,0.8485880398671096,KMID,0.5535491,-0.5535491,related_cluster,32,l1_brokerConcentration,1,size_log_mktcap,l1_brokerConcentration,measured
l1_brokerNetAmount5d,strategy95,l1_signal,core_prior,keep_candidate,materialized,0.882018,1.5373269992968763,0.5359888894284226,-0.13587906321826781,-0.007521262249676595,0.8431543449545691,l1_foreignTrustNet5d,0.61163406,0.61163406,related_cluster,33,l1_brokerNetAmount5d,1,size_log_mktcap,l1_brokerNetAmount5d,measured
l1_eps,strategy95,l1_signal,core_prior,keep_candidate,materialized,0.962658,1.3845698183864072,0.40860573862387484,-0.11674979841497535,0.04367495258230366,0.9356022095024616,l1_roe,0.92258585,0.92258585,high_duplicate,12,l1_eps,1,size_log_mktcap,l1_eps,measured
l1_foreignTrustNet5d,strategy95,l1_signal,core_prior,keep_candidate,materialized,0.673401,1.1059848574008482,0.2778934779102269,-0.1854507422089472,0.00019532907842735887,1.0,chip_5d,0.71788172,0.71788172,related_cluster,36,l1_foreignTrustNet5d,1,size_log_mktcap,l1_foreignTrustNet5d,measured
l1_macdHist,strategy95,l1_signal,core_prior,keep_candidate,materialized,0.740857,1.1774862330876956,0.3453814958387902,-0.27315797770802974,-0.021495125567087565,0.947664411800024,RESI_60,0.75004186,0.75004186,related_cluster,38,l1_macdHist,1,size_log_mktcap,l1_macdHist,measured
l1_monthlyRevenueMoM,strategy95,l1_signal,core_prior,keep_candidate,materialized,0.547978,0.8110513446759969,0.1763540220515194,-0.26102921807569235,0.005117606036915116,0.9602069407196894,l1_monthlyRevenueYoY,0.26350888,0.26350888,independent_candidate,39,l1_monthlyRevenueMoM,12,l1_monthlyRevenueMoM,l1_monthlyRevenueMoM,measured
l1_monthlyRevenueYoY,strategy95,l1_signal,core_prior,keep_candidate,materialized,0.393745,0.29907959319454097,0.06930578083942396,-0.420342003431565,0.024659111490249887,0.959682584157227,l1_revenueGrowthYoY,0.45682097,0.45682097,related_cluster,40,l1_monthlyRevenueYoY,4,l1_revenueGrowthYoY,l1_monthlyRevenueYoY,measured
l1_revenueGrowthYoY,strategy95,l1_signal,core_prior,keep_candidate,materialized,0.637974,1.0425263126340159,0.23100948133828192,-0.23880146019956772,0.009590999114419211,0.9201497017972221,l1_monthlyRevenueYoY,0.45682097,0.45682097,related_cluster,41,l1_revenueGrowthYoY,4,l1_revenueGrowthYoY,l1_revenueGrowthYoY,measured
l1_squeezeMomentum,strategy95,l1_signal,core_prior,keep_candidate,materialized,0.761104,1.188171267230388,0.3906774443259633,-0.2912762303621763,-0.026841176628363144,0.8289877116439178,tech_bias_20,0.88986507,-0.88986507,high_duplicate,1,mom_macd_trend_10,1,size_log_mktcap,mom_macd_trend_10,measured
l1_volumeExpansion20,strategy95,l1_signal,core_prior,keep_candidate,materialized,0.440886,0.298814288574921,0.06909922643270439,-0.2635652773901642,-0.016374917308569815,0.8472741464195653,vol_signal_5d,0.71732213,0.71732213,related_cluster,49,l1_volumeExpansion20,1,size_log_mktcap,l1_volumeExpansion20,measured
mom_close_to_52w_high,strategy95,momentum,core_prior,keep_candidate,materialized,0.735808,1.197084833838478,0.2675524819928632,-0.23903821719133767,0.029051965857742987,0.7389965176319897,mom_hl52,0.77006742,0.77006742,related_cluster,56,mom_close_to_52w_high,1,size_log_mktcap,mom_close_to_52w_high,measured
mom_hl52,strategy95,momentum,core_prior,keep_candidate,materialized,0.756675,1.5289672019025116,0.4028287727256945,-0.26652248227267306,0.008560041936923373,0.7389965176319897,mom_9m,0.81732635,0.81732635,high_duplicate,2,mom_hl52,1,size_log_mktcap,mom_hl52,measured
mom_macd_trend_10,strategy95,momentum,core_prior,keep_candidate,materialized,0.811056,1.4511224098652704,0.505871526589152,-0.24251694478596542,-0.004295178043695222,0.947664411800024,tech_dma_10_50,0.97671504,0.97671504,high_duplicate,1,mom_macd_trend_10,1,size_log_mktcap,mom_macd_trend_10,measured
vol_ratio_20d,ml106,other,core_prior,keep_candidate,materialized,0.561174,0.5170388258047534,0.07479976644787434,-0.1327605812792646,-0.017806319744645544,0.8490103270223752,tech_volume_ratio_5,0.73758706,0.73758706,related_cluster,85,vol_ratio_20d,1,size_log_mktcap,vol_ratio_20d,measured
CNTD_20,ml106,price_technical,core_prior,keep_candidate,materialized,0.597642,0.9807318275518376,0.2472665278244479,-0.25629887146885666,0.004253655684398926,0.8490103270223752,CNTN_20,0.90523873,-0.90523873,high_duplicate,3,CNTP_20,1,size_log_mktcap,CNTP_20,measured
CNTD_5,ml106,price_technical,core_prior,keep_candidate,materialized,0.467588,0.378086729955027,0.08408231135822009,-0.2488282857699201,-0.015763585566174253,0.8490103270223752,CNTN_5,0.93383406,-0.93383406,high_duplicate,4,CNTP_5,1,size_log_mktcap,CNTP_5,measured
CNTP_20,ml106,price_technical,core_prior,keep_candidate,materialized,0.633563,1.0992342163780773,0.30592841961204087,-0.25390602450591016,-0.0009401601331177432,0.8490103270223752,CNTD_20,0.89818446,0.89818446,high_duplicate,3,CNTP_20,1,size_log_mktcap,CNTP_20,measured
CNTP_5,ml106,price_technical,core_prior,keep_candidate,materialized,0.498057,0.4516561437953129,0.10359945980000251,-0.24810551995961228,-0.01804951616020741,0.8490103270223752,CNTD_5,0.93015669,0.93015669,high_duplicate,4,CNTP_5,1,size_log_mktcap,CNTP_5,measured
CORD_10,ml106,price_technical,core_prior,keep_candidate,materialized,0.514538,0.27099576495451244,0.05274356967883698,-0.22975608455038365,-0.034071551312261125,0.8490103270223752,CORR_10,0.67455997,0.67455997,related_cluster,15,CORD_10,1,size_log_mktcap,CORD_10,measured
CORR_10,ml106,price_technical,core_prior,keep_candidate,materialized,0.544819,0.40596350747411103,0.06300348314960735,-0.215631511160006,-0.032580537176863884,0.8490103270223752,CORD_10,0.67455997,0.67455997,related_cluster,16,CORR_10,1,size_log_mktcap,CORR_10,measured
IMIN_20,ml106,price_technical,core_prior,keep_candidate,materialized,0.503059,0.6028733454001812,0.10600118711279816,-0.18265483538954708,0.0022061193201845897,0.8490103270223752,IMXD_20,0.76739708,-0.76739708,related_cluster,17,IMIN_20,1,size_log_mktcap,IMIN_20,measured
