feature_id,origin_pool,category,selector_role,recommended_status,materializer_status,materialization_ready,duplicate_level,nearest_feature,nearest_abs_rank_corr,preferred_feature_id,high_duplicate_cluster_id,related_cluster_id,priority,allowed_transforms,feature_selection_entry,activation_state
l1_bbBandwidthPct,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,True,high_duplicate,tech_ma_convergence,0.86924211,tech_ma_convergence,5,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
l1_bestFvgStrength,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,True,related_cluster,return_3d,0.43269872,l1_bestFvgStrength,30,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
l1_bestOrderBlockStrength,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,True,high_duplicate,l1_displacementPct,0.98322094,l1_bestOrderBlockStrength,6,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
l1_bosBullish,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,True,independent_candidate,l1_smcBullishScore,0.38750653,l1_bosBullish,31,8,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
l1_brokerConcentration,strategy95,l1_signal,core_prior,keep_candidate,materialized,True,related_cluster,KMID,0.5535491,l1_brokerConcentration,32,1,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
l1_brokerNetAmount5d,strategy95,l1_signal,core_prior,keep_candidate,materialized,True,related_cluster,l1_foreignTrustNet5d,0.61163406,l1_brokerNetAmount5d,33,1,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
l1_chochBullish,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,True,independent_candidate,l1_smcBullishScore,0.39796054,l1_chochBullish,34,9,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
l1_diTrend,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,True,high_duplicate,tech_keltner_pos_20,0.8474573,mom_macd_trend_10,1,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
l1_displacementPct,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,True,high_duplicate,l1_bestOrderBlockStrength,0.98322094,l1_bestOrderBlockStrength,6,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
l1_eps,strategy95,l1_signal,core_prior,keep_candidate,materialized,True,high_duplicate,l1_roe,0.92258585,l1_eps,12,1,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
l1_foreignTrustNet5d,strategy95,l1_signal,core_prior,keep_candidate,materialized,True,related_cluster,chip_5d,0.71788172,l1_foreignTrustNet5d,36,1,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
l1_liquiditySweepBullish,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,True,independent_candidate,l1_smcBullishScore,0.18378365,l1_liquiditySweepBullish,37,11,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
l1_monthlyRevenueMoM,strategy95,l1_signal,core_prior,keep_candidate,materialized,True,independent_candidate,l1_monthlyRevenueYoY,0.26350888,l1_monthlyRevenueMoM,39,12,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
l1_monthlyRevenueYoY,strategy95,l1_signal,core_prior,keep_candidate,materialized,True,related_cluster,l1_revenueGrowthYoY,0.45682097,l1_monthlyRevenueYoY,40,4,primary,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
l1_return20d,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,True,high_duplicate,mom_reversal_1m,0.96140612,mom_macd_trend_10,1,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
l1_roe,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,True,high_duplicate,l1_eps,0.92258585,l1_eps,12,1,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
l1_sectorFlowCore,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,True,related_cluster,l1_sectorRsRatio,0.70014045,l1_sectorFlowCore,42,2,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
l1_sectorRsMomentum,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,True,related_cluster,l1_sectorRsRatio,0.62406677,l1_sectorRsMomentum,43,2,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
l1_sectorRsRatio,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,True,related_cluster,l1_sectorFlowCore,0.70014045,l1_sectorRsRatio,44,2,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
l1_sectorTurnoverShareDelta,strategy95,l1_signal,evidence_watch,watch_not_selector,materialized,True,independent_candidate,l1_sectorRsMomentum,0.1616662,l1_sectorTurnoverShareDelta,45,13,secondary_evidence,winsorized|zscore|rank_pct|sector_neutral_zscore|lag_1d|lag_5d,candidate_pool_only,inactive_until_feature_selection_retrain_release_gate
