active_pool_status,eligible_for_ml,formal137_status,mapping_type,ml_feature,registry_feature_id,selector_role
candidate,True,formal_candidate,direct,l1_bbBandwidthPct,l1_bbBandwidthPct,evidence_watch
candidate,True,formal_candidate,direct,l1_bestFvgStrength,l1_bestFvgStrength,evidence_watch
candidate,True,formal_candidate,direct,l1_bestOrderBlockStrength,l1_bestOrderBlockStrength,evidence_watch
candidate,True,formal_candidate,direct,l1_bosBullish,l1_bosBullish,evidence_watch
candidate,True,formal_candidate,direct,l1_brokerConcentration,l1_brokerConcentration,core_prior
candidate,True,formal_candidate,direct,l1_brokerNetAmount5d,l1_brokerNetAmount5d,core_prior
candidate,True,formal_candidate,direct,l1_closeAboveMa60Pct,l1_closeAboveMa60Pct,evidence_watch
candidate,True,formal_candidate,direct,l1_dealerNet5d,l1_dealerNet5d,evidence_watch
candidate,True,formal_candidate,direct,l1_diTrend,l1_diTrend,evidence_watch
candidate,True,formal_candidate,direct,l1_displacementPct,l1_displacementPct,evidence_watch
candidate,True,formal_candidate,direct,l1_eps,l1_eps,core_prior
candidate,True,formal_candidate,direct,l1_foreignTrustNet5d,l1_foreignTrustNet5d,core_prior
candidate,True,formal_candidate,direct,l1_macdHist,l1_macdHist,core_prior
candidate,True,formal_candidate,direct,l1_monthlyRevenueMoM,l1_monthlyRevenueMoM,core_prior
candidate,True,formal_candidate,direct,l1_monthlyRevenueYoY,l1_monthlyRevenueYoY,core_prior
candidate,True,formal_candidate,direct,l1_return20d,l1_return20d,evidence_watch
candidate,True,formal_candidate,direct,l1_revenueGrowthYoY,l1_revenueGrowthYoY,core_prior
candidate,True,formal_candidate,direct,l1_roe,l1_roe,evidence_watch
candidate,True,formal_candidate,direct,l1_sectorFlowCore,l1_sectorFlowCore,evidence_watch
candidate,True,formal_candidate,direct,l1_sectorRsRatio,l1_sectorRsRatio,evidence_watch
candidate,True,formal_candidate,direct,l1_sectorTurnoverShareDelta,l1_sectorTurnoverShareDelta,evidence_watch
candidate,True,formal_candidate,direct,l1_smcBullishScore,l1_smcBullishScore,evidence_watch
candidate,True,formal_candidate,direct,l1_smcNetScore,l1_smcNetScore,evidence_watch
candidate,True,formal_candidate,direct,l1_squeezeMomentum,l1_squeezeMomentum,core_prior
candidate,True,formal_candidate,direct,l1_squeezeRelease,l1_squeezeRelease,evidence_watch
candidate,True,formal_candidate,direct,l1_volumeExpansion20,l1_volumeExpansion20,core_prior
candidate,True,formal_candidate,direct,l1_volumeMomentumDivergence132710,l1_volumeMomentumDivergence132710,evidence_watch
candidate,True,formal_candidate,direct,liq_amihud_21d,liq_amihud_21d,evidence_watch
candidate,True,formal_candidate,direct,mom_12m_1m,mom_12m_1m,evidence_watch
candidate,True,formal_candidate,direct,mom_9m,mom_9m,evidence_watch
candidate,True,formal_candidate,direct,mom_close_to_52w_high,mom_close_to_52w_high,core_prior
candidate,True,formal_candidate,direct,mom_hl52,mom_hl52,core_prior
candidate,True,formal_candidate,direct,mom_ma50_200_ratio,mom_ma50_200_ratio,evidence_watch
candidate,True,formal_candidate,direct,mom_macd_trend_10,mom_macd_trend_10,core_prior
candidate,True,formal_candidate,direct,mom_reversal_1m,mom_reversal_1m,evidence_watch
candidate,True,formal_candidate,direct,mom_reversal_6m,mom_reversal_6m,evidence_watch
candidate,True,formal_candidate,direct,mom_rsi_14,mom_rsi_14,evidence_watch
candidate,True,formal_candidate,direct,mom_vol_adj_12m,mom_vol_adj_12m,evidence_watch
candidate,True,formal_candidate,direct,size_log_mktcap,size_log_mktcap,core_prior
candidate,True,formal_candidate,direct,tech_adx_14,tech_adx_14,core_prior
candidate,True,formal_candidate,direct,tech_atr_14,tech_atr_14,core_prior
candidate,True,formal_candidate,direct,tech_bbands_pctb_20,tech_bbands_pctb_20,evidence_watch
candidate,True,formal_candidate,direct,tech_bbi,tech_bbi,evidence_watch
candidate,True,formal_candidate,direct,tech_bias_20,tech_bias_20,evidence_watch
candidate,True,formal_candidate,direct,tech_bullish_streak_5,tech_bullish_streak_5,core_prior
candidate,True,formal_candidate,direct,tech_cmo_14,tech_cmo_14,evidence_watch
candidate,True,formal_candidate,direct,tech_disposal_active,tech_disposal_active,core_prior
candidate,True,formal_candidate,direct,tech_dma_10_50,tech_dma_10_50,core_prior
candidate,True,formal_candidate,direct,tech_donchian_pos_20,tech_donchian_pos_20,evidence_watch
candidate,True,formal_candidate,direct,tech_ema_12_pos,tech_ema_12_pos,evidence_watch
candidate,True,formal_candidate,direct,tech_emv_14,tech_emv_14,core_prior
candidate,True,formal_candidate,direct,tech_gap_down,tech_gap_down,core_prior
candidate,True,formal_candidate,direct,tech_gap_up,tech_gap_up,core_prior
candidate,True,formal_candidate,direct,tech_granville_score,tech_granville_score,core_prior
candidate,True,formal_candidate,direct,tech_kd9_k,tech_kd9_k,evidence_watch
candidate,True,formal_candidate,direct,tech_kdj_j_9,tech_kdj_j_9,evidence_watch
candidate,True,formal_candidate,direct,tech_keltner_pos_20,tech_keltner_pos_20,evidence_watch
candidate,True,formal_candidate,direct,tech_limit_down_count_10,tech_limit_down_count_10,core_prior
candidate,True,formal_candidate,direct,tech_limit_up_streak_10,tech_limit_up_streak_10,core_prior
candidate,True,formal_candidate,direct,tech_locked_open_down_10,tech_locked_open_down_10,core_prior
candidate,True,formal_candidate,direct,tech_locked_open_up_10,tech_locked_open_up_10,core_prior
candidate,True,formal_candidate,direct,tech_ma_convergence,tech_ma_convergence,evidence_watch
candidate,True,formal_candidate,direct,tech_mfi_14,tech_mfi_14,evidence_watch
candidate,True,formal_candidate,direct,tech_mtm_10,tech_mtm_10,core_prior
candidate,True,formal_candidate,direct,tech_obv,tech_obv,core_prior
candidate,True,formal_candidate,direct,tech_psy_12,tech_psy_12,evidence_watch
candidate,True,formal_candidate,direct,tech_roc_10,tech_roc_10,evidence_watch
candidate,True,formal_candidate,direct,tech_sar,tech_sar,evidence_watch
candidate,True,formal_candidate,direct,tech_slow_kd_14,tech_slow_kd_14,evidence_watch
