pool,feature_id,source,category,monthly_sharpe,cagr,max_drawdown,nearest_other_feature,nearest_abs_rank_corr,overlap_tier,status_current,eligible_current,reason_code
ml106,atr14,stockvision_ml106,other,1.669697,62.11%,-14.83%,strategy95_max_corr,0.994128,high_duplicate_ge_0_8,alias,False,ml106_alias_high_overlap_to_strategy95_not_active_candidate
ml106,bb_upper_raw,stockvision_ml106,price_technical,1.444791,51.27%,-15.12%,strategy95_max_corr,0.907507,high_duplicate_ge_0_8,alias,False,ml106_alias_high_overlap_to_strategy95_not_active_candidate
ml106,vwap_5d,stockvision_ml106,price_technical,1.376625,47.62%,-14.32%,strategy95_max_corr,0.896557,high_duplicate_ge_0_8,alias,False,ml106_alias_high_overlap_to_strategy95_not_active_candidate
ml106,WVMA,stockvision_ml106,price_technical,1.339321,46.26%,-14.97%,strategy95_max_corr,0.897994,high_duplicate_ge_0_8,alias,False,ml106_alias_high_overlap_to_strategy95_not_active_candidate
ml106,bb_lower_raw,stockvision_ml106,price_technical,1.321299,46.16%,-13.46%,strategy95_max_corr,0.872051,high_duplicate_ge_0_8,alias,False,ml106_alias_high_overlap_to_strategy95_not_active_candidate
ml106,margin_balance,stockvision_ml106,price_technical,1.226963,50.64%,-21.26%,strategy95_max_corr,,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,macdHist,stockvision_ml106,price_technical,1.163388,34.14%,-27.70%,strategy95_max_corr,0.992777,high_duplicate_ge_0_8,alias,False,ml106_alias_high_overlap_to_strategy95_not_active_candidate
ml106,VSTD_10,stockvision_ml106,price_technical,1.122306,45.21%,-29.88%,strategy95_max_corr,0.758148,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,BETA_20,stockvision_ml106,price_technical,1.117169,42.56%,-30.10%,strategy95_max_corr,0.879272,high_duplicate_ge_0_8,alias,False,ml106_alias_high_overlap_to_strategy95_not_active_candidate
ml106,linear_factor,stockvision_ml106,price_technical,1.106196,18.55%,-17.40%,strategy95_max_corr,0.632098,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,CNTP_20,stockvision_ml106,price_technical,1.099234,30.59%,-25.39%,strategy95_max_corr,0.772944,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,RSQR_20,stockvision_ml106,price_technical,1.036054,19.98%,-18.16%,strategy95_max_corr,,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,VSTD_20,stockvision_ml106,price_technical,0.986393,37.78%,-38.57%,strategy95_max_corr,0.767830,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,margin_change_5d_ts,stockvision_ml106,price_technical,0.982293,17.50%,-12.93%,strategy95_max_corr,,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,CNTD_20,stockvision_ml106,price_technical,0.980732,24.73%,-25.63%,strategy95_max_corr,0.699252,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,dealer_5d,stockvision_ml106,chip_margin_flow,0.970931,28.94%,-20.93%,strategy95_max_corr,0.989554,high_duplicate_ge_0_8,alias,False,ml106_alias_high_overlap_to_strategy95_not_active_candidate
ml106,RESI_5,stockvision_ml106,price_technical,0.935718,26.43%,-36.23%,strategy95_max_corr,0.669808,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,BETA_10,stockvision_ml106,price_technical,0.912285,27.13%,-34.18%,strategy95_max_corr,0.859545,high_duplicate_ge_0_8,alias,False,ml106_alias_high_overlap_to_strategy95_not_active_candidate
ml106,foreign_5d,stockvision_ml106,chip_margin_flow,0.900288,25.11%,-32.64%,strategy95_max_corr,0.680631,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,BETA_60,stockvision_ml106,price_technical,0.896890,30.88%,-36.71%,strategy95_max_corr,0.783834,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,KMID,stockvision_ml106,price_technical,0.894774,24.83%,-33.53%,strategy95_max_corr,0.707255,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,rsi5_dulling,stockvision_ml106,price_technical,0.888052,20.60%,-27.43%,strategy95_max_corr,,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,dealer_ratio_5d,stockvision_ml106,chip_margin_flow,0.883238,18.07%,-11.70%,strategy95_max_corr,,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,rsi14,stockvision_ml106,price_technical,0.859142,23.75%,-24.00%,strategy95_max_corr,0.999393,high_duplicate_ge_0_8,alias,False,ml106_alias_high_overlap_to_strategy95_not_active_candidate
ml106,chip_5d,stockvision_ml106,chip_margin_flow,0.858789,24.39%,-34.27%,strategy95_max_corr,0.717882,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,return_1d,stockvision_ml106,price_technical,0.828110,21.24%,-25.69%,strategy95_max_corr,0.832578,high_duplicate_ge_0_8,alias,False,ml106_alias_high_overlap_to_strategy95_not_active_candidate
ml106,institutional_net,stockvision_ml106,chip_margin_flow,0.802818,19.22%,-29.74%,strategy95_max_corr,,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,RESI_20,stockvision_ml106,price_technical,0.753592,25.30%,-41.05%,strategy95_max_corr,0.769171,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,bb_position,stockvision_ml106,price_technical,0.712218,14.84%,-27.58%,strategy95_max_corr,0.999944,high_duplicate_ge_0_8,alias,False,ml106_alias_high_overlap_to_strategy95_not_active_candidate
ml106,RESI_10,stockvision_ml106,price_technical,0.696141,20.16%,-34.02%,strategy95_max_corr,0.743458,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
ml106,RSQR_60,stockvision_ml106,price_technical,0.659179,14.46%,-19.05%,strategy95_max_corr,,deduped_candidate,candidate,True,ml106_supplement_keep_after_cross_pool_dedupe
