strategy_factor,strategy_source,strategy_category,nearest_ml106_feature,nearest_abs_rank_corr,overlap_tier,strategy_best_direction,strategy_declared_direction,strategy_is_declared_direction,strategy_best_sharpe,strategy_best_cagr,strategy_best_mdd,strategy_mean_ic_5d,ml106_feature_best_direction,ml106_feature_best_sharpe,ml106_feature_best_cagr,ml106_feature_best_mdd,ml106_mean_ic_5d,action
l1_bbBandwidthPct,stockvision_l1,l1_signal,KLEN,0.5959180308267602,medium_related_0_4_0_8,high,1.0,1,0.8111671035415022,0.2581690348360681,-0.37395649218906424,-0.028956061523209484,high,0.6068693319881608,0.1705486514243293,-0.38736495329600396,-0.05044792028930972,watch_or_strategy_only
l1_bestFvgStrength,stockvision_l1,l1_signal,ma5_bias,0.4377957698172054,medium_related_0_4_0_8,high,1.0,1,0.8621606092076173,0.22072000497616395,-0.43575370868060626,-0.017576255853314408,high,0.4925909065270003,0.12352121058849597,-0.44934382764651215,-0.03868098345144716,watch_or_strategy_only
l1_bestOrderBlockStrength,stockvision_l1,l1_signal,return_1d,0.8296635476515916,high_duplicate_ge_0_8,high,1.0,1,0.7267270117603629,0.19517829744639892,-0.3869671022841906,-0.02856489232809008,high,0.8281103637579877,0.2124090819322133,-0.2568702205599628,-0.021568016119857314,dedupe_or_keep_as_alias
l1_bosBullish,stockvision_l1,l1_signal,bb_position,0.34183706180786144,low_novel_lt_0_4,high,1.0,1,0.7045782888724512,0.17162817296048094,-0.33474138483264426,-0.005600198944839038,high,0.7122178279157613,0.14837405278389437,-0.2757609317919303,-0.024891557255207197,watch_or_strategy_only
l1_brokerConcentration,stockvision_l1,l1_signal,return_1d,0.5565778675876174,medium_related_0_4_0_8,low,-1.0,1,1.0879448112873897,0.2412580376394189,-0.12199953176301293,0.0032956692587014958,high,0.8281103637579877,0.2124090819322133,-0.2568702205599628,-0.021568016119857314,keep_but_cluster_with_ml_neighbor
l1_brokerCount,stockvision_l1,l1_signal,sentiment,0.7671604081610365,medium_related_0_4_0_8,high,1.0,1,-0.2328641806973774,-0.007382988729009665,-0.18051310455056135,-0.0008362815821029688,high,-0.2328641806973774,-0.007382988729009665,-0.18051310455056135,,watch_or_strategy_only
l1_brokerNetAmount5d,stockvision_l1,l1_signal,chip_5d,0.49470245400300444,medium_related_0_4_0_8,high,1.0,1,1.5373269992968763,0.5359888894284226,-0.13587906321826781,-0.007521262249676595,high,0.8587894339174001,0.2439313920824555,-0.3426538194333647,0.0021503877079820403,keep_but_cluster_with_ml_neighbor
l1_chochBullish,stockvision_l1,l1_signal,return_1d,0.2787945926617755,low_novel_lt_0_4,low,1.0,0,0.015348571101190329,0.01644974243909081,-0.1697384952176756,-0.011856399098572544,high,0.8281103637579877,0.2124090819322133,-0.2568702205599628,-0.021568016119857314,watch_or_strategy_only
l1_closeAboveMa60Pct,stockvision_l1,l1_signal,BETA_60,0.7838344356715108,medium_related_0_4_0_8,high,1.0,1,1.067961044854322,0.3440435366918029,-0.401804020127302,-0.017697676680799728,high,0.8968900829719888,0.3087620950703849,-0.36712903584776246,0.0024759305610545326,keep_but_cluster_with_ml_neighbor
l1_dealerNet5d,stockvision_l1,l1_signal,dealer_5d,0.9895535315735161,high_duplicate_ge_0_8,high,1.0,1,0.9663586985555359,0.28759869154607864,-0.20927158948899727,-0.011429904564612464,high,0.9709308831190746,0.2894298532652284,-0.20927158948899727,-0.012381716384437259,dedupe_or_keep_as_alias
l1_diTrend,stockvision_l1,l1_signal,keltner_position,0.8119909301722285,high_duplicate_ge_0_8,high,1.0,1,0.6174369249706447,0.15262365115076904,-0.28865735159885164,-0.027199473141347547,high,0.4767437433982697,0.11077284943784549,-0.3275652444706746,-0.026209558310383026,dedupe_or_keep_as_alias
l1_displacementPct,stockvision_l1,l1_signal,return_1d,0.8325779071555237,high_duplicate_ge_0_8,high,1.0,1,0.6970229370663152,0.19916545716124046,-0.41802488006106453,-0.028612316377270106,high,0.8281103637579877,0.2124090819322133,-0.2568702205599628,-0.021568016119857314,dedupe_or_keep_as_alias
l1_eps,stockvision_l1,l1_signal,bb_lower_raw,0.6914059217426676,medium_related_0_4_0_8,high,1.0,1,1.3845698183864072,0.40860573862387484,-0.11674979841497535,0.04367495258230366,high,1.321298763700008,0.46163260808756545,-0.1346403182765623,0.015953362282694398,keep_but_cluster_with_ml_neighbor
l1_foreignTrustNet5d,stockvision_l1,l1_signal,chip_5d,0.7178817238345216,medium_related_0_4_0_8,high,1.0,1,1.1059848574008482,0.2778934779102269,-0.1854507422089472,0.00019532907842735887,high,0.8587894339174001,0.2439313920824555,-0.3426538194333647,0.0021503877079820403,keep_but_cluster_with_ml_neighbor
l1_liquiditySweepBullish,stockvision_l1,l1_signal,IMIN_20,0.16659661369826137,low_novel_lt_0_4,low,1.0,0,-0.1536342879135669,0.0004600562407381936,-0.15875703931722862,-0.0049869237405415386,high,0.6028733454001812,0.10600118711279816,-0.18265483538954708,0.0022061193201845897,watch_or_strategy_only
l1_macdHist,stockvision_l1,l1_signal,macdHist,0.9927766666882388,high_duplicate_ge_0_8,high,1.0,1,1.1774862330876956,0.3453814958387902,-0.27315797770802974,-0.021495125567087565,high,1.1633881365923053,0.3413580402574554,-0.27697274185416154,-0.022463351229758063,dedupe_or_keep_as_alias
l1_monthlyRevenueMoM,stockvision_l1,l1_signal,BETA_20,0.1349519412700503,low_novel_lt_0_4,low,1.0,0,0.8110513446759969,0.1763540220515194,-0.26102921807569235,0.005117606036915116,high,1.117169003561477,0.425641304032494,-0.301039073183064,-0.014284701210931674,candidate_add_to_shared_pool
l1_monthlyRevenueYoY,stockvision_l1,l1_signal,atr14,0.19582269214518014,low_novel_lt_0_4,low,1.0,0,0.29907959319454097,0.06930578083942396,-0.420342003431565,0.024659111490249887,high,1.6696966482004338,0.6210741648358218,-0.1482879342068143,-0.010755671697390275,watch_or_strategy_only
l1_return20d,stockvision_l1,l1_signal,BETA_20,0.8792724664099762,high_duplicate_ge_0_8,high,1.0,1,0.9887146507623726,0.3375485600178736,-0.35376549742919805,-0.022857431844817755,high,1.117169003561477,0.425641304032494,-0.301039073183064,-0.014284701210931674,dedupe_or_keep_as_alias
