feature_id,feature_ref,ok,ref_type,registry_status,runtime_signal,selector_role,source,strategy_id,threshold_path
,,True,runtime_gate,not_applicable,runtime_gate.price,,ts_bootstrap,trend_following_seed_v1,minPrice
tech_sma_20_pos,,True,registry_feature,formal_candidate,closeAboveMa20Pct,evidence_watch,ts_bootstrap,trend_following_seed_v1,minCloseAboveMa20Pct
l1_closeAboveMa60Pct,,True,registry_feature,formal_candidate,closeAboveMa60Pct,evidence_watch,ts_bootstrap,trend_following_seed_v1,minCloseAboveMa60Pct
l1_volumeExpansion20,,True,registry_feature,formal_candidate,volumeExpansion20,core_prior,ts_bootstrap,trend_following_seed_v1,minVolumeExpansion20
l1_return20d,,True,registry_feature,formal_candidate,return20d,evidence_watch,ts_bootstrap,trend_following_seed_v1,minReturn20d
l1_macdHist,,True,registry_feature,formal_candidate,technicalIndicators.macdHist,core_prior,ts_bootstrap,trend_following_seed_v1,dsl.signal
tech_adx_14,,True,registry_feature,formal_candidate,technicalIndicators.adx14,core_prior,ts_bootstrap,trend_following_seed_v1,dsl.signal
l1_diTrend,,True,registry_feature,formal_candidate,technicalIndicators.diTrend,evidence_watch,ts_bootstrap,trend_following_seed_v1,dsl.signal
,,True,runtime_gate,not_applicable,runtime_gate.price,,ts_bootstrap,breakout_vol_expansion_seed_v1,minPrice
tech_sma_20_pos,,True,registry_feature,formal_candidate,closeAboveMa20Pct,evidence_watch,ts_bootstrap,breakout_vol_expansion_seed_v1,minCloseAboveMa20Pct
l1_closeAboveMa60Pct,,True,registry_feature,formal_candidate,closeAboveMa60Pct,evidence_watch,ts_bootstrap,breakout_vol_expansion_seed_v1,minCloseAboveMa60Pct
l1_volumeExpansion20,,True,registry_feature,formal_candidate,volumeExpansion20,core_prior,ts_bootstrap,breakout_vol_expansion_seed_v1,minVolumeExpansion20
l1_return20d,,True,registry_feature,formal_candidate,return20d,evidence_watch,ts_bootstrap,breakout_vol_expansion_seed_v1,minReturn20d
l1_squeezeRelease,,True,registry_feature,formal_candidate,technicalIndicators.squeezeRelease,evidence_watch,ts_bootstrap,breakout_vol_expansion_seed_v1,dsl.signal
l1_squeezeMomentum,,True,registry_feature,formal_candidate,technicalIndicators.squeezeMomentum,core_prior,ts_bootstrap,breakout_vol_expansion_seed_v1,dsl.signal
l1_bbBandwidthPct,,True,registry_feature,formal_candidate,technicalIndicators.bbBandwidthPct,evidence_watch,ts_bootstrap,breakout_vol_expansion_seed_v1,dsl.signal
,,True,runtime_gate,not_applicable,runtime_gate.price,,ts_bootstrap,defensive_accumulation_seed_v1,minPrice
tech_sma_20_pos,,True,registry_feature,formal_candidate,closeAboveMa20Pct,evidence_watch,ts_bootstrap,defensive_accumulation_seed_v1,minCloseAboveMa20Pct
