feature_id,origin_pool,category,source_system,active_pool_status,direction_mode,direction,coverage,cagr,monthly_sharpe,monthly_sortino,max_drawdown,calmar,win_ratio,total_return,benchmark_alpha,benchmark_beta,trade_count,avg_daily_matches,latest_matches,mean_ic_5d,median_ic_5d,ic_ir_5d,ic_obs_days,nearest_ml106_feature,nearest_abs_rank_corr,max_abs_rank_corr_to_strategy95,quality_bucket,selection_note
chip_5d,ml106,chip_margin_flow,stockvision_ml106,candidate,high,1.0,0.8490103270223752,0.2439313920824555,0.8587894339174001,2.139627319261692,-0.3426538194333647,0.7118679540951391,0.441025641025641,1.0682297710297384,0.36831319620398384,2.784007790970933,410.0,10.0,10.0,0.0021503877079820403,0.00312982029505655,0.03400071676680606,825.0,,,0.7178817238345216,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
dealer_ratio_5d,ml106,chip_margin_flow,stockvision_ml106,candidate,high,1.0,0.8490103270223752,0.18074375127123044,0.8832378493725097,2.6380045188166807,-0.11700189622202894,1.5446613302315084,0.43444730077120824,0.7386914793275525,0.202349949273685,0.4836062959283234,410.0,10.0,10.0,0.004156387343389379,0.00469858721725715,0.10679403080334707,825.0,,,,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
foreign_5d,ml106,chip_margin_flow,stockvision_ml106,candidate,high,1.0,0.8490103270223752,0.25113361524038624,0.9002877246825243,2.5461565922300364,-0.3264120588582371,0.769352463858614,0.4461538461538462,1.1083661655644579,0.3582219254601101,2.3969317062030058,410.0,10.0,10.0,0.009623744365891683,0.009861867339118606,0.15760257984927006,825.0,,,0.6806311916760514,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
foreign_consecutive_sell,ml106,chip_margin_flow,stockvision_ml106,candidate,high,1.0,0.8490103270223752,-0.007382988729009665,-0.2328641806973774,-0.4700562557686208,-0.18051310455056135,-0.04089774961155634,0.4329896907216495,-0.024368989286035703,0.022051275735841022,0.6588200112580594,400.0,10.0,10.0,,,,0.0,,,0.7671604081610365,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
foreign_net_5d_market,ml106,chip_margin_flow,stockvision_ml106,candidate,high,1.0,0.8490103270223752,-0.007382988729009665,-0.2328641806973774,-0.4700562557686208,-0.18051310455056135,-0.04089774961155634,0.4329896907216495,-0.024368989286035703,0.022051275735841022,0.6588200112580594,400.0,10.0,10.0,,,,0.0,,,0.7671604081610365,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
institutional_net,ml106,chip_margin_flow,stockvision_ml106,candidate,high,1.0,0.8490103270223752,0.19221564028716132,0.8028180421474613,1.8944226136825084,-0.2974005564647485,0.6462973021939262,0.4230769230769231,0.7955705657360483,0.30949006275695323,2.6249249891769866,410.0,10.0,10.0,0.01461553179441758,0.014939201643183136,0.2228146344258815,825.0,,,,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
retail_pct,ml106,chip_margin_flow,stockvision_ml106,candidate,high,1.0,0.8490103270223752,-0.007382988729009665,-0.2328641806973774,-0.4700562557686208,-0.18051310455056135,-0.04089774961155634,0.4329896907216495,-0.024368989286035703,0.022051275735841022,0.6588200112580594,400.0,10.0,10.0,,,,0.0,,,0.7671604081610365,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
short_change_5d,ml106,chip_margin_flow,stockvision_ml106,candidate,high,1.0,0.8490103270223752,-0.007409057068620717,-0.06834086737481498,-0.11271885192548478,-0.27642518798765203,-0.02680214889629633,0.44358974358974357,-0.024454288949890546,0.06823715816461,1.6931709107628754,406.0,10.0,10.0,-0.0007099305362148987,-0.00017277395231349337,-0.012208652575936842,825.0,,,,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
short_ratio,ml106,chip_margin_flow,stockvision_ml106,candidate,high,1.0,0.8490103270223752,-0.007382988729009665,-0.2328641806973774,-0.4700562557686208,-0.18051310455056135,-0.04089774961155634,0.4329896907216495,-0.024368989286035703,0.022051275735841022,0.6588200112580594,400.0,10.0,10.0,,,,0.0,,,0.7671604081610365,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
short_squeeze_proxy,ml106,chip_margin_flow,stockvision_ml106,candidate,high,1.0,0.8490103270223752,0.03578813339659637,0.19159094695940046,0.4287023696458435,-0.4432393622213532,0.08074040584569238,0.43846153846153846,0.12419173904529046,0.16949896866104705,2.9928172351459725,410.0,10.0,10.0,-0.019598569352920783,-0.015464808038256532,-0.2557074502229472,825.0,,,,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
revenue_yoy,ml106,fundamental_revenue,stockvision_ml106,candidate,high,1.0,0.8490103270223752,-0.007382988729009665,-0.2328641806973774,-0.4700562557686208,-0.18051310455056135,-0.04089774961155634,0.4329896907216495,-0.024368989286035703,0.022051275735841022,0.6588200112580594,400.0,10.0,10.0,,,,0.0,,,0.7671604081610365,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
adl_trend_numeric,ml106,market_regime,stockvision_ml106,candidate,high,1.0,0.8490103270223752,-0.007382988729009665,-0.2328641806973774,-0.4700562557686208,-0.18051310455056135,-0.04089774961155634,0.4329896907216495,-0.024368989286035703,0.022051275735841022,0.6588200112580594,400.0,10.0,10.0,,,,0.0,,,0.7671604081610365,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
adl_value,ml106,market_regime,stockvision_ml106,candidate,high,1.0,0.8490103270223752,-0.007382988729009665,-0.2328641806973774,-0.4700562557686208,-0.18051310455056135,-0.04089774961155634,0.4329896907216495,-0.024368989286035703,0.022051275735841022,0.6588200112580594,400.0,10.0,10.0,,,,0.0,,,0.7671604081610365,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
advance_ratio,ml106,market_regime,stockvision_ml106,candidate,high,1.0,0.8490103270223752,-0.007382988729009665,-0.2328641806973774,-0.4700562557686208,-0.18051310455056135,-0.04089774961155634,0.4329896907216495,-0.024368989286035703,0.022051275735841022,0.6588200112580594,400.0,10.0,10.0,,,,0.0,,,0.7671604081610365,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
bull_alignment_pct,ml106,market_regime,stockvision_ml106,candidate,high,1.0,0.8490103270223752,-0.007382988729009665,-0.2328641806973774,-0.4700562557686208,-0.18051310455056135,-0.04089774961155634,0.4329896907216495,-0.024368989286035703,0.022051275735841022,0.6588200112580594,400.0,10.0,10.0,,,,0.0,,,0.7671604081610365,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
limit_down_count,ml106,market_regime,stockvision_ml106,candidate,high,1.0,0.8490103270223752,-0.007382988729009665,-0.2328641806973774,-0.4700562557686208,-0.18051310455056135,-0.04089774961155634,0.4329896907216495,-0.024368989286035703,0.022051275735841022,0.6588200112580594,400.0,10.0,10.0,,,,0.0,,,0.7671604081610365,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
limit_down_pct,ml106,market_regime,stockvision_ml106,candidate,high,1.0,0.8490103270223752,-0.007382988729009665,-0.2328641806973774,-0.4700562557686208,-0.18051310455056135,-0.04089774961155634,0.4329896907216495,-0.024368989286035703,0.022051275735841022,0.6588200112580594,400.0,10.0,10.0,,,,0.0,,,0.7671604081610365,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
us_dxy_return,ml106,market_regime,stockvision_ml106,candidate,high,1.0,0.8490103270223752,-0.007382988729009665,-0.2328641806973774,-0.4700562557686208,-0.18051310455056135,-0.04089774961155634,0.4329896907216495,-0.024368989286035703,0.022051275735841022,0.6588200112580594,400.0,10.0,10.0,,,,0.0,,,0.7671604081610365,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
us_gspc_return,ml106,market_regime,stockvision_ml106,candidate,high,1.0,0.8490103270223752,-0.007382988729009665,-0.2328641806973774,-0.4700562557686208,-0.18051310455056135,-0.04089774961155634,0.4329896907216495,-0.024368989286035703,0.022051275735841022,0.6588200112580594,400.0,10.0,10.0,,,,0.0,,,0.7671604081610365,candidate_after_cross_pool_dedupe,best_of_high_low_in_sample_research_only
