feature_a,feature_b,origin_a,origin_b,category_a,category_b,rank_corr,abs_rank_corr,n_obs,mean_ic_5d_a,mean_ic_5d_b,quality_score_a,quality_score_b
advance_ratio,us_sentiment_score,ml106,ml106,market_regime,market_regime,1.0,1.0,848433,,,0.261202,0.261202
mom_rsi_14,tech_cmo_14,strategy95,strategy95,momentum,technical,1.0,1.0,832442,-0.01668,-0.01668,0.584576,0.584575
tech_bias_20,tech_sma_20_pos,strategy95,strategy95,technical,technical,-0.99999999,0.99999999,828424,0.033498,-0.033498,0.562654,0.562654
KSFT,vwap_bias,ml106,ml106,price_technical,price_technical,0.99960442,0.99960442,848433,-0.022674,-0.022682,0.410922,0.432294
tech_bbi,tech_ema_12_pos,strategy95,strategy95,technical,technical,0.9963279,0.9963279,825533,-0.039385,-0.039288,0.524584,0.506474
l1_bestOrderBlockStrength,l1_displacementPct,strategy95,strategy95,l1_signal,l1_signal,0.98322055,0.98322055,843393,-0.028565,-0.028612,0.422021,0.401171
mom_macd_trend_10,tech_dma_10_50,strategy95,strategy95,momentum,technical,0.97671509,0.97671509,809959,-0.004295,-0.005591,0.771056,0.738798
l1_displacementPct,l1_smcBullishScore,strategy95,strategy95,l1_signal,l1_signal,0.97143668,0.97143668,846744,-0.028612,-0.024959,0.401171,0.365532
l1_bestOrderBlockStrength,l1_smcBullishScore,strategy95,strategy95,l1_signal,l1_signal,0.9626729,0.9626729,844893,-0.028565,-0.024959,0.422021,0.365532
ma10_bias,tech_wma_10_pos,ml106,strategy95,price_technical,technical,0.96152656,0.96152656,837073,-0.03972,-0.04109,0.0,0.469138
l1_return20d,mom_reversal_1m,strategy95,strategy95,l1_signal,momentum,-0.96140603,0.96140603,842367,-0.022858,0.022521,0.613668,0.683498
VSTD_10,VSTD_20,ml106,ml106,price_technical,price_technical,0.95268762,0.95268762,848433,-0.011198,-0.009164,0.676748,0.562399
ma10_bias,tech_ema_12_pos,ml106,strategy95,price_technical,technical,0.94414164,0.94414164,848433,-0.03972,-0.039288,0.0,0.506474
tech_bias_20,tech_ema_12_pos,strategy95,strategy95,technical,technical,-0.9399476,0.9399476,828424,0.033498,-0.039288,0.562654,0.506474
tech_ema_12_pos,tech_sma_20_pos,strategy95,strategy95,technical,technical,0.9399475,0.9399475,828424,-0.039288,-0.033498,0.506474,0.562654
tech_bbi,tech_sma_20_pos,strategy95,strategy95,technical,technical,0.93648392,0.93648392,825533,-0.039385,-0.033498,0.524584,0.562654
tech_bbi,tech_bias_20,strategy95,strategy95,technical,technical,-0.93648389,0.93648389,825533,-0.039385,0.033498,0.524584,0.562654
CNTD_5,CNTP_5,ml106,ml106,price_technical,price_technical,0.93508687,0.93508687,848433,-0.015382,-0.01805,0.427588,0.458057
CNTD_5,CNTN_5,ml106,ml106,price_technical,price_technical,-0.93496536,0.93496536,848433,-0.015382,0.010187,0.427588,0.321977
ma10_bias,tech_bbi,ml106,strategy95,price_technical,technical,0.93261904,0.93261904,825533,-0.03972,-0.039385,0.0,0.524584
tech_bbands_pctb_20,tech_keltner_pos_20,strategy95,strategy95,technical,technical,0.92855533,0.92855533,828424,-0.025125,-0.028257,0.532346,0.571981
tech_bias_20,tech_keltner_pos_20,strategy95,strategy95,technical,technical,-0.92383777,0.92383777,828424,0.033498,-0.028257,0.562654,0.571981
tech_keltner_pos_20,tech_sma_20_pos,strategy95,strategy95,technical,technical,0.9238377,0.9238377,828424,-0.028257,-0.033498,0.571981,0.562654
l1_eps,l1_roe,strategy95,strategy95,l1_signal,l1_signal,0.92258585,0.92258585,934136,0.043675,0.042663,0.922658,0.730533
tech_donchian_pos_20,tech_williams_r_14,strategy95,strategy95,technical,technical,-0.92179941,0.92179941,828424,-0.018194,0.019556,0.501319,0.556689
mom_12m_1m,mom_vol_adj_12m,strategy95,strategy95,momentum,momentum,0.91904458,0.91904458,738242,0.012758,0.009968,0.598464,0.600446
tech_mtm_10,tech_roc_10,strategy95,strategy95,technical,technical,0.91325978,0.91325978,845184,-0.023667,-0.025911,0.717752,0.584904
tech_kd9_k,tech_slow_kd_14,strategy95,strategy95,technical,technical,0.91050425,0.91050425,943891,-0.012074,-0.008467,0.558379,0.620614
tech_ema_12_pos,tech_keltner_pos_20,strategy95,strategy95,technical,technical,0.91034452,0.91034452,846288,-0.039288,-0.028257,0.506474,0.571981
tech_bbi,tech_keltner_pos_20,strategy95,strategy95,technical,technical,0.90730624,0.90730624,825533,-0.039385,-0.028257,0.524584,0.571981
tech_donchian_pos_20,tech_slow_kd_14,strategy95,strategy95,technical,technical,0.9069343,0.9069343,828424,-0.018194,-0.008467,0.501319,0.620614
CNTD_20,CNTN_20,ml106,ml106,price_technical,price_technical,-0.90423484,0.90423484,848433,0.004439,-0.009406,0.557642,0.443408
tech_ema_12_pos,tech_wma_10_pos,strategy95,strategy95,technical,technical,0.90353274,0.90353274,837073,-0.039288,-0.04109,0.506474,0.469138
tech_bbi,tech_wma_10_pos,strategy95,strategy95,technical,technical,0.90240646,0.90240646,825533,-0.039385,-0.04109,0.524584,0.469138
CNTD_20,CNTP_20,ml106,ml106,price_technical,price_technical,0.90165139,0.90165139,848433,0.004439,-0.00094,0.557642,0.593563
chip_5d,foreign_5d,ml106,ml106,chip_margin_flow,chip_margin_flow,0.89755362,0.89755362,848433,0.00215,0.009624,0.477989,0.525683
tech_bbands_pctb_20,tech_donchian_pos_20,strategy95,strategy95,technical,technical,0.89645976,0.89645976,828424,-0.025125,-0.018194,0.532346,0.501319
tech_kd9_k,tech_williams_r_14,strategy95,strategy95,technical,technical,-0.89391036,0.89391036,833309,-0.012074,0.019556,0.558379,0.556689
tech_donchian_pos_20,tech_keltner_pos_20,strategy95,strategy95,technical,technical,0.89263829,0.89263829,828424,-0.018194,-0.028257,0.501319,0.571981
tech_bbands_pctb_20,tech_bias_20,strategy95,strategy95,technical,technical,-0.89096972,0.89096972,828424,-0.025125,0.033498,0.532346,0.562654
tech_bbands_pctb_20,tech_sma_20_pos,strategy95,strategy95,technical,technical,0.89096972,0.89096972,828424,-0.025125,-0.033498,0.532346,0.562654
l1_squeezeMomentum,tech_sma_20_pos,strategy95,strategy95,l1_signal,technical,0.88986562,0.88986562,828424,-0.026841,-0.033498,0.721104,0.562654
l1_squeezeMomentum,tech_bias_20,strategy95,strategy95,l1_signal,technical,-0.88986561,0.88986561,828424,-0.026841,0.033498,0.721104,0.562654
tech_kd9_k,tech_kdj_j_9,strategy95,strategy95,technical,technical,0.88732544,0.88732544,945286,-0.012074,-0.022253,0.558379,0.435748
tech_slow_kd_14,tech_williams_r_14,strategy95,strategy95,technical,technical,-0.88538177,0.88538177,833309,-0.008467,0.019556,0.620614,0.556689
tech_bbands_pctb_20,tech_ema_12_pos,strategy95,strategy95,technical,technical,0.8837903,0.8837903,828424,-0.025125,-0.039288,0.532346,0.506474
KSFT,KSFT2,ml106,ml106,price_technical,price_technical,0.88279674,0.88279674,848433,-0.022674,-0.026349,0.410922,0.315479
KSFT2,vwap_bias,ml106,ml106,price_technical,price_technical,0.88252605,0.88252605,848433,-0.026349,-0.022682,0.315479,0.432294
tech_dma_10_50,tech_trix_12,strategy95,strategy95,technical,technical,0.88059967,0.88059967,809959,-0.005591,-0.007335,0.738798,0.714939
tech_bbands_pctb_20,tech_bbi,strategy95,strategy95,technical,technical,0.88031453,0.88031453,825533,-0.025125,-0.039385,0.532346,0.524584
tech_bias_20,tech_roc_10,strategy95,strategy95,technical,technical,-0.88017198,0.88017198,828424,0.033498,-0.025911,0.562654,0.584904
tech_roc_10,tech_sma_20_pos,strategy95,strategy95,technical,technical,0.88017196,0.88017196,828424,-0.025911,-0.033498,0.584904,0.562654
KUP,KUP2,ml106,ml106,price_technical,price_technical,0.87366577,0.87366577,848433,-0.008573,0.015143,0.379275,0.465065
l1_closeAboveMa60Pct,tech_trix_12,strategy95,strategy95,l1_signal,technical,0.87317589,0.87317589,804820,-0.017698,-0.007335,0.57949,0.714939
mom_ma50_200_ratio,mom_reversal_6m,strategy95,strategy95,momentum,momentum,-0.87284355,0.87284355,752296,0.009398,0.004861,0.551163,0.634873
tech_bbands_pctb_20,tech_williams_r_14,strategy95,strategy95,technical,technical,-0.8695028,0.8695028,828424,-0.025125,0.019556,0.532346,0.556689
l1_bbBandwidthPct,tech_ma_convergence,strategy95,strategy95,l1_signal,technical,-0.86924207,0.86924207,828424,-0.028956,0.017726,0.556929,0.608188
