feature_id,chip_5d,dealer_ratio_5d,foreign_5d,institutional_net,short_squeeze_proxy,advance_ratio,us_sentiment_score,vol_ratio_20d,BETA_60,CNTD_20,CNTD_5,CNTN_20,CNTN_5,CNTP_20,CNTP_5,CORD_10,CORR_10,IMIN_20,IMXD_20,KLEN,KLOW,KLOW2,KMID,KSFT,KSFT2,KUP,KUP2,RESI_10,RESI_20,RESI_5,RESI_60,RSQR_10,RSQR_20,RSQR_60,VSTD_10,VSTD_20,linear_factor,ma10_bias,ma60_bias,margin_balance,margin_change_5d_ts,margin_ratio,return_3d,return_5d,rsi5_dulling,volatility_20d,volatility_5d,vwap_bias,tech_bullish_streak_5,tech_disposal_active,tech_gap_down,tech_gap_up,tech_limit_down_count_10,tech_limit_up_streak_10,tech_locked_open_down_10,tech_locked_open_up_10,l1_bbBandwidthPct,l1_bestFvgStrength,l1_bestOrderBlockStrength,l1_bosBullish,l1_brokerConcentration,l1_brokerNetAmount5d,l1_closeAboveMa60Pct,l1_dealerNet5d,l1_diTrend,l1_displacementPct,l1_eps,l1_foreignTrustNet5d,l1_macdHist,l1_monthlyRevenueMoM,l1_monthlyRevenueYoY,l1_return20d,l1_revenueGrowthYoY,l1_roe,l1_sectorFlowCore,l1_sectorRsRatio,l1_sectorTurnoverShareDelta,l1_smcBullishScore,l1_smcNetScore,l1_squeezeMomentum,l1_squeezeRelease,l1_volumeExpansion20,l1_volumeMomentumDivergence132710,mom_12m_1m,mom_9m,mom_close_to_52w_high,mom_hl52,mom_ma50_200_ratio,mom_macd_trend_10,mom_reversal_1m,mom_reversal_6m,mom_rsi_14,mom_vol_adj_12m,size_log_mktcap,tech_adx_14,tech_atr_14,tech_bbands_pctb_20,tech_bbi,tech_bias_20,tech_cmo_14,tech_dma_10_50,tech_donchian_pos_20,tech_ema_12_pos,tech_emv_14,tech_granville_score,tech_kd9_k,tech_kdj_j_9,tech_keltner_pos_20,tech_ma_convergence,tech_mfi_14,tech_mtm_10,tech_obv,tech_psy_12,tech_roc_10,tech_sar,tech_slow_kd_14,tech_sma_20_pos,tech_tower_3,tech_trix_12,tech_volume_ratio_5,tech_vr_26,tech_williams_r_14,tech_wma_10_pos,val_bp,val_dp,val_ep,val_sp,liq_amihud_21d,vola_cv_90d,vola_min_130d,vola_realized_12m,vola_realized_1m,vol_chg_turnover_1y,vol_cv_volprice_20d,vol_money_flow_5d,vol_share_turnover_21d,vol_signal_5d
chip_5d,1.0,0.017393,0.897554,0.506857,0.171267,5.1e-05,5.1e-05,0.080173,-0.036589,0.169747,0.267907,-0.155712,-0.252902,0.152016,0.251932,0.148158,0.114021,0.146668,-0.171311,0.017209,0.022206,0.019067,0.133091,0.125602,0.11661,0.012955,0.000199,0.117183,0.220992,0.012447,0.286481,0.016076,0.022748,0.011748,-0.009422,-0.009731,0.0572,0.302101,0.287101,0.01248,-0.143894,0.012844,0.254377,0.348811,0.164246,-0.016306,0.016655,0.125645,0.220187,-0.015242,0.043684,0.046068,0.036456,0.014406,-0.008827,-0.006937,-0.020942,0.119129,0.137043,0.148273,-0.294492,0.494702,0.142474,0.152209,0.221763,0.136245,-0.014764,0.717882,0.283452,0.043561,0.016227,0.187543,-0.025927,-0.015129,0.04377,0.054135,0.044434,0.137706,0.227016,0.269831,0.002684,0.023304,0.030117,-0.066799,-0.016059,0.032797,0.03432,-0.096033,0.031669,-0.179654,0.019777,0.273752,-0.016527,0.006155,0.020729,0.023352,0.330465,0.301674,-0.283199,0.273752,0.053124,0.32207,0.299915,0.17295,0.023278,0.322423,0.332561,0.300812,0.013654,-0.21117,0.253671,0.128623,-0.211831,0.262865,0.250192,0.301874,0.283199,0.168979,0.08362,0.076504,0.129346,-0.339529,0.297551,0.010471,0.004611,-0.000829,0.006995,0.014557,0.0156,0.016943,0.009879,0.034402,0.028408,0.00201,-0.246458,0.013163,0.005576
dealer_ratio_5d,0.017393,1.0,0.01206,0.014228,0.007206,5.2e-05,5.2e-05,0.00274,0.015285,0.016733,0.005743,-0.018471,-0.007492,0.011585,0.003304,0.003924,0.004718,0.007461,-0.015061,-0.009315,0.000382,0.005647,0.009737,0.011962,0.010065,-0.006712,-0.003655,0.003894,0.000725,0.008082,0.007122,0.018117,-0.002461,-0.016724,-0.003616,-0.004217,0.012535,0.005622,0.009957,0.006763,-0.002135,0.006684,0.006161,0.001856,0.018958,0.007175,0.003965,0.011972,0.005497,-0.010517,8.4e-05,0.004081,0.002441,0.004036,0.012228,0.000896,-0.01013,0.008149,0.006502,0.02604,-0.007953,0.019974,0.016527,-0.00959,0.012139,0.005142,0.022026,0.011543,0.005699,0.002828,0.011921,0.01773,0.013206,0.020361,0.002414,0.005345,0.003944,0.006997,0.00909,0.012693,0.007382,0.00375,-0.003957,-0.000752,0.006012,0.026192,0.013105,0.005618,0.019242,-0.017852,-0.009099,0.015531,0.000265,-0.025162,-0.00333,-0.001311,0.013069,0.008868,-0.011604,0.015531,0.017891,0.015558,0.008975,0.0071,-0.009973,0.013239,0.007956,0.013872,-2.7e-05,-0.012936,0.010089,0.015595,-0.010608,0.011124,0.00731,0.016002,0.011604,0.010416,0.019752,0.004152,0.016221,-0.013668,0.005048,0.011748,0.012816,0.012642,0.002246,-0.003353,0.028279,0.016143,0.020483,0.014552,-0.004183,-0.006162,-0.008167,0.017997,0.006282
foreign_5d,0.897554,0.01206,1.0,0.461473,0.127066,5.1e-05,5.1e-05,0.063577,-0.027882,0.13508,0.226564,-0.123561,-0.214012,0.120269,0.212326,0.112502,0.082193,0.116775,-0.130845,0.010149,0.016588,0.01675,0.12108,0.115169,0.107117,0.010491,0.001508,0.117942,0.184446,0.024651,0.219905,0.012054,0.017806,0.007733,-0.01003,-0.007637,0.048361,0.23937,0.224883,0.011382,-0.136177,0.011027,0.219517,0.290097,0.134986,-0.028619,-0.00117,0.115187,0.183997,-0.012815,0.04098,0.040301,0.0263,0.0288,-0.011414,-0.00993,-0.020536,0.099876,0.123682,0.121956,-0.268493,0.421808,0.110744,0.058294,0.175019,0.124362,-0.013954,0.680631,0.213755,0.041783,0.015563,0.141926,-0.024286,-0.013228,0.035776,0.045667,0.036871,0.125411,0.193142,0.205839,0.002586,0.00406,0.019724,-0.052623,-0.013307,0.025447,0.028733,-0.070818,0.019364,-0.135338,0.011981,0.219841,-0.014128,0.00469,0.014135,0.021285,0.270776,0.24034,-0.220211,0.219841,0.035074,0.265082,0.238157,0.131038,0.019062,0.259149,0.275052,0.24308,0.015677,-0.167427,0.190431,0.096176,-0.172569,0.201114,0.191029,0.242011,0.220211,0.15028,0.058722,0.069134,0.100586,-0.281552,0.242042,0.008256,0.005619,-0.001071,0.00565,0.009332,0.013132,0.011067,0.007079,0.032304,0.017052,0.007548,-0.214101,0.010848,-0.014141
institutional_net,0.506857,0.014228,0.461473,1.0,0.091077,5.1e-05,5.1e-05,0.029795,-0.051793,0.09895,0.181372,-0.091861,-0.172758,0.087093,0.168428,0.058029,0.044833,0.055964,-0.055945,-0.009188,0.006169,0.013618,0.380261,0.324631,0.298109,0.057855,0.057907,0.21546,0.201687,0.278925,0.187485,-0.002174,0.015106,0.007861,-0.012362,-0.011765,0.013403,0.218348,0.179985,0.006481,-0.09207,0.022618,0.238802,0.216701,0.0988,-0.019441,-0.016998,0.324876,0.145686,-0.002714,0.04965,0.058535,0.01835,0.007683,-0.00482,-0.004261,-0.015861,0.050268,0.352261,0.134795,-0.549791,0.230257,0.068378,0.076333,0.105569,0.353841,-0.017869,0.33317,0.134059,0.022468,0.002325,0.098112,-0.017168,-0.018834,0.024008,0.029066,0.030312,0.351348,0.292324,0.165804,0.004414,-0.009355,0.004369,-0.048655,-0.02338,-1.1e-05,0.000539,-0.076157,-0.02062,-0.092698,0.030507,0.155869,-0.023232,0.013282,-0.001941,0.022581,0.227482,0.230825,-0.174951,0.155869,-0.007164,0.225626,0.219367,0.078973,0.012066,0.156051,0.200703,0.199701,0.011618,-0.094665,0.154025,0.057502,-0.131437,0.158113,0.133549,0.136084,0.174951,0.283886,0.006487,0.032331,0.058514,-0.256366,0.247759,0.015192,0.000944,-0.000444,0.009229,0.016271,0.008015,0.00595,0.003805,0.0245,-0.002862,-0.000499,-0.277012,0.012077,-0.019322
short_squeeze_proxy,0.171267,0.007206,0.127066,0.091077,1.0,8e-05,8e-05,0.200523,0.12496,0.199027,0.318829,-0.12659,-0.265831,0.240535,0.338785,0.243338,0.252726,0.118658,-0.231681,0.281403,0.146604,0.021122,0.117138,0.086797,0.100039,0.148699,0.035472,0.166476,0.349814,-0.01649,0.329651,0.105311,0.032744,0.002204,0.329254,0.302763,0.172068,0.460791,0.278614,0.256383,0.128539,-0.141307,0.287284,0.417513,0.271714,0.144259,0.217478,0.086829,0.269632,-0.027285,0.045137,0.105574,-0.011334,-0.227005,-0.002648,0.055013,0.22829,0.230728,0.231933,0.245379,-0.168549,0.25911,0.309204,0.129894,0.337258,0.214385,0.071147,0.181358,0.309861,0.041549,0.07491,0.297475,0.046818,0.062817,0.105083,0.128335,0.063401,0.200656,0.280429,0.357614,0.018427,0.265199,0.161008,0.083601,0.176575,0.152249,0.246048,0.100645,0.146939,-0.293108,-0.192302,0.322314,0.180627,-0.172278,0.106664,-0.184617,0.39908,0.438516,-0.40474,0.322314,0.155621,0.353997,0.440911,0.160875,0.068491,0.356408,0.383495,0.399831,-0.21306,-0.302354,0.344701,0.224328,-0.269289,0.374067,0.383222,0.325536,0.404741,0.220286,0.184186,0.125153,0.233679,-0.368092,0.44978,-0.091156,-0.045784,-0.041726,-0.026163,-0.223938,-0.155212,-0.103495,-0.162944,-0.235508,0.256439,-0.069974,-0.310718,-0.275967,0.261298
advance_ratio,5.1e-05,5.2e-05,5.1e-05,5.1e-05,8e-05,1.0,1.0,5.1e-05,5.1e-05,5.2e-05,5.3e-05,5.2e-05,5.4e-05,5.2e-05,5.4e-05,5.1e-05,5.1e-05,5.3e-05,5.2e-05,5.2e-05,5.2e-05,5.2e-05,5.2e-05,5.2e-05,5.2e-05,5.2e-05,5.2e-05,5.1e-05,5.1e-05,5.1e-05,5.1e-05,5.1e-05,5.1e-05,5.1e-05,5.1e-05,5.1e-05,5.1e-05,5.1e-05,5.1e-05,5.1e-05,5.2e-05,5.1e-05,5.1e-05,5.1e-05,9.6e-05,5.1e-05,5.1e-05,5.1e-05,0.048992,0.00277,0.000534,0.002768,0.007722,0.0068,0.013237,-0.005934,5e-05,9.3e-05,5.8e-05,0.008486,5.2e-05,5.1e-05,4.7e-05,-0.002657,0.014258,5.8e-05,-0.001512,0.005498,-0.000381,-0.00175,-0.014457,5.1e-05,-0.012336,-0.007005,-0.004873,0.007834,0.007278,0.024826,0.008153,5e-05,0.00473,-0.000124,3.3e-05,0.000123,4.6e-05,4.5e-05,4.5e-05,4.2e-05,0.012687,5.1e-05,4.8e-05,5.1e-05,4.5e-05,-0.000494,0.002362,0.008138,5e-05,5e-05,5e-05,5.1e-05,4.8e-05,5e-05,5.1e-05,5.1e-05,4.2e-05,0.006013,0.005527,5.1e-05,5.1e-05,-0.000261,5.1e-05,0.000181,-0.053487,5.1e-05,5.1e-05,0.006229,5e-05,0.01994,0.016066,-0.000207,0.000145,5.1e-05,5.1e-05,0.000751,0.005631,0.007548,-0.000945,5e-05,4.5e-05,4.2e-05,4.5e-05,5e-05,4.5e-05,5e-05,5.1e-05,5.1e-05,-0.000143
us_sentiment_score,5.1e-05,5.2e-05,5.1e-05,5.1e-05,8e-05,1.0,1.0,5.1e-05,5.1e-05,5.2e-05,5.3e-05,5.2e-05,5.4e-05,5.2e-05,5.4e-05,5.1e-05,5.1e-05,5.3e-05,5.2e-05,5.2e-05,5.2e-05,5.2e-05,5.2e-05,5.2e-05,5.2e-05,5.2e-05,5.2e-05,5.1e-05,5.1e-05,5.1e-05,5.1e-05,5.1e-05,5.1e-05,5.1e-05,5.1e-05,5.1e-05,5.1e-05,5.1e-05,5.1e-05,5.1e-05,5.2e-05,5.1e-05,5.1e-05,5.1e-05,9.6e-05,5.1e-05,5.1e-05,5.1e-05,0.048992,0.00277,0.000534,0.002768,0.007722,0.0068,0.013237,-0.005934,5e-05,9.3e-05,5.8e-05,0.008486,5.2e-05,5.1e-05,4.7e-05,-0.002657,0.014258,5.8e-05,-0.001512,0.005498,-0.000381,-0.00175,-0.014457,5.1e-05,-0.012336,-0.007005,-0.004873,0.007834,0.007278,0.024826,0.008153,5e-05,0.00473,-0.000124,3.3e-05,0.000123,4.6e-05,4.5e-05,4.5e-05,4.2e-05,0.012687,5.1e-05,4.8e-05,5.1e-05,4.5e-05,-0.000494,0.002362,0.008138,5e-05,5e-05,5e-05,5.1e-05,4.8e-05,5e-05,5.1e-05,5.1e-05,4.2e-05,0.006013,0.005527,5.1e-05,5.1e-05,-0.000261,5.1e-05,0.000181,-0.053487,5.1e-05,5.1e-05,0.006229,5e-05,0.01994,0.016066,-0.000207,0.000145,5.1e-05,5.1e-05,0.000751,0.005631,0.007548,-0.000945,5e-05,4.5e-05,4.2e-05,4.5e-05,5e-05,4.5e-05,5e-05,5.1e-05,5.1e-05,-0.000143
vol_ratio_20d,0.080173,0.00274,0.063577,0.029795,0.200523,5.1e-05,5.1e-05,1.0,-0.13108,0.07125,0.170421,-0.084551,-0.15884,0.045527,0.165281,0.088605,0.0726,-0.065594,-0.079368,0.291439,0.078371,-0.034568,0.095942,0.052514,0.064387,0.116294,0.008092,0.143298,0.266498,0.036602,0.235686,0.060692,-0.003113,-0.041424,-0.016965,-0.09523,-0.014948,0.271265,0.132397,-0.008426,0.148822,-0.178039,0.238785,0.262535,0.184234,-0.084255,0.19132,0.052592,0.139506,0.069076,-0.033938,0.13069,0.014904,-0.065398,-0.008965,0.016934,-0.101057,0.22152,0.2424,0.265639,-0.021173,0.109474,0.021068,0.08771,0.113642,0.199683,-0.01186,0.065131,0.2322,0.014426,-0.006521,0.07779,-0.009169,-0.011715,0.034556,0.028213,0.129587,0.196626,0.19336,0.194215,0.071598,0.538497,0.314754,-0.039864,-0.017167,0.020266,0.002091,-0.060985,-0.087325,-0.064409,0.023451,0.160757,-0.017315,0.009202,-0.075056,0.044271,0.207258,0.243679,-0.209155,0.160757,-0.072825,0.1941,0.240598,0.128533,-0.011715,0.203344,0.23671,0.172909,0.038714,-0.110321,0.189094,0.022366,-0.110249,0.210717,0.270562,0.173992,0.209155,0.25095,-0.054493,0.737587,0.01803,-0.219843,0.275592,0.013002,0.001285,0.000219,0.001774,0.053597,0.061141,0.029492,0.01754,0.111875,0.492478,0.090868,-0.232224,0.103964,0.27087
BETA_60,-0.036589,0.015285,-0.027882,-0.051793,0.12496,5.1e-05,5.1e-05,-0.13108,1.0,0.27409,0.059468,-0.207981,-0.033122,0.294855,0.080186,0.180261,0.194447,0.276768,-0.297386,0.216849,0.127599,0.027598,-0.005701,-0.010111,0.023739,0.110223,0.021824,-0.050831,-0.140466,-0.010354,-0.214753,0.017216,0.010583,-0.016324,0.267825,0.29069,0.66085,0.092501,0.208042,0.064697,-0.002556,-0.225893,-0.153208,-0.167981,0.048016,0.210118,0.089537,-0.010156,0.076419,-0.103104,0.007372,0.017924,-0.058811,-0.197323,0.028626,0.041754,0.244445,0.036125,0.043182,0.073117,-0.064257,0.077017,0.783834,0.014744,0.437442,0.054819,0.151492,0.102499,-0.203849,0.038506,0.178272,0.388889,0.062225,0.162892,0.083364,0.157964,-0.015028,0.043326,0.193309,0.217908,-0.00722,-0.056829,-0.033994,0.299814,0.464161,0.519934,0.605973,0.477745,0.753522,-0.412181,-0.57927,0.250387,0.418096,-0.128119,0.267085,-0.216685,0.20385,0.189641,-0.240773,0.250387,0.723711,0.224808,0.196536,0.100995,0.103212,0.156181,0.045722,0.360434,-0.175996,-0.277861,0.15136,0.351318,-0.181298,0.162382,0.040976,0.226225,0.240773,0.032503,0.661683,-0.040227,0.441732,-0.144013,0.064134,-0.158287,-0.036583,-0.031685,-0.050764,-0.209575,-0.132668,-0.023694,-0.051761,-0.292958,0.31099,-0.120684,-0.005438,-0.305305,0.181446
CNTD_20,0.169747,0.016733,0.13508,0.09895,0.199027,5.2e-05,5.2e-05,0.07125,0.27409,1.0,0.492507,-0.904235,-0.458051,0.901651,0.468885,0.198504,0.166679,0.456293,-0.563158,0.092141,0.091754,0.051846,0.143893,0.131571,0.156938,0.050016,0.007884,0.021617,0.01621,0.023473,0.42161,0.005953,-0.011175,0.014584,0.130287,0.101501,0.324585,0.392675,0.466493,0.027362,0.025121,-0.132648,0.184052,0.232162,0.166764,0.166983,0.15249,0.131651,0.309991,-0.082298,0.045837,0.066667,-0.013193,-0.11298,0.021409,0.046022,0.031084,0.142725,0.22206,0.195938,-0.229511,0.271273,0.513175,0.084316,0.487293,0.207879,0.134933,0.2142,0.316919,0.094298,0.12408,0.621331,0.041519,0.135714,0.159044,0.214343,0.048592,0.213678,0.448502,0.500253,-0.00472,0.156039,0.06449,0.052026,0.218309,0.357116,0.366272,0.115338,0.412703,-0.600763,-0.253712,0.568067,0.224314,-0.118639,0.153496,-0.07262,0.533601,0.501471,-0.548397,0.568067,0.424096,0.56974,0.491938,0.329858,0.046124,0.497104,0.33453,0.584414,-0.026008,-0.516701,0.403375,0.593603,-0.701737,0.445256,0.306089,0.563755,0.548397,0.221785,0.523517,0.037213,0.610354,-0.481253,0.353931,-0.060602,0.081332,0.061388,-0.008394,-0.099571,0.024357,0.024069,0.064396,-0.039643,0.195038,-0.038065,-0.259836,-0.06854,0.252459
