threshold,component_id,component_size,component_rank,feature_id,leader_feature_id,origin_pool,category,quality_score,monthly_sharpe,cagr,max_drawdown,mean_ic_5d,coverage
0.75,1,35,1,mom_macd_trend_10,mom_macd_trend_10,strategy95,momentum,0.771056,1.4511224098652704,0.505871526589152,-0.24251694478596542,-0.004295178043695222,0.947664411800024
0.75,1,35,2,tech_dma_10_50,mom_macd_trend_10,strategy95,technical,0.738798,1.3871775195061278,0.48715579247388807,-0.2540742809829164,-0.005591782171573579,0.810510146899892
0.75,1,35,3,l1_squeezeMomentum,mom_macd_trend_10,strategy95,l1_signal,0.721104,1.188171267230388,0.3906774443259633,-0.2912762303621763,-0.026841176628363144,0.8289877116439178
0.75,1,35,4,tech_mtm_10,mom_macd_trend_10,strategy95,technical,0.717752,1.15534920055515,0.3671560583085409,-0.25069716142087894,-0.023668102696947795,0.8457591161990153
0.75,1,35,5,tech_trix_12,mom_macd_trend_10,strategy95,technical,0.714939,1.195942094179933,0.4376423193309871,-0.23449129065375574,-0.007334643418841766,0.9475513349077372
0.75,1,35,6,l1_macdHist,mom_macd_trend_10,strategy95,l1_signal,0.700857,1.1774862330876956,0.3453814958387902,-0.27315797770802974,-0.021495125567087565,0.947664411800024
0.75,1,35,7,mom_reversal_1m,mom_macd_trend_10,strategy95,momentum,0.683498,1.0945167853227635,0.32617486216654656,-0.2520266081982223,0.02252116697656678,0.8443911860064844
0.75,1,35,8,tech_slow_kd_14,mom_macd_trend_10,strategy95,technical,0.620614,0.9438016326041682,0.26862202670030144,-0.19637071913224202,-0.008466635073151298,0.9445332826321899
0.75,1,35,9,l1_return20d,mom_macd_trend_10,strategy95,l1_signal,0.613668,0.9887146507623726,0.3375485600178736,-0.35376549742919805,-0.022857431844817755,0.8445212744666373
0.75,1,35,10,tech_roc_10,mom_macd_trend_10,strategy95,technical,0.584904,0.9392148828886947,0.3084463429562492,-0.38635927937256054,-0.02591106281862681,0.8457591161990153
0.75,1,35,11,mom_rsi_14,mom_macd_trend_10,strategy95,momentum,0.584576,0.8975416619857337,0.25128846984140374,-0.26615605575060464,-0.016680265262073793,0.8330084457431053
0.75,1,35,12,tech_cmo_14,mom_macd_trend_10,strategy95,technical,0.584575,0.8975416619857337,0.25128846984140374,-0.26615605575060464,-0.016679944600498108,0.8330084457431053
