strategy_id,strategy_group,name,family_id,alpha_bucket,status,elapsed_s,cagr,monthly_sharpe,max_drawdown,MOD,calmar,win_ratio,total_return,benchmark_alpha,benchmark_beta,trade_count,avg_trade_return,median_trade_return,match_days,avg_daily_positions,max_daily_positions,latest_positions,proxy_cagr,proxy_sharpe,proxy_max_drawdown,notes,reason
stock_tech_s01_55d_trend_volume_breakout_v1,technical12,S1 55d trend volume breakout,TREND_RECLAIM_CONTINUATION,breakout_vol_expansion,ok,2.35,0.4621830929523651,1.5968624342910671,-0.2387963923060675,-0.2387963923060675,1.9353882803941265,0.4779319041614123,2.5983589796538875,0.4134083045327525,0.1175403264608457,6355.0,0.0011898750319931,-0.0012005078739193,658.0,7.644578313253012,10.0,10.0,0.4931070079218145,1.6606211380644766,-0.2659985325606252,[],
stock_tech_s02_52w_dual_momentum_v1,technical12,S2 52w dual momentum,TREND_RECLAIM_CONTINUATION,trend_following,ok,0.811,0.4004948445352212,1.1665412818544985,-0.2747028385279361,-0.2747028385279361,1.4578672284895564,0.4670304683947249,2.1118005778888365,0.3385967628739452,0.1491656029991216,6617.0,-2.2553208375437324e-06,-0.0025779220779219,678.0,7.960240963855422,10.0,10.0,0.4250134392231364,1.1946411402882748,-0.2807749287496159,[],
stock_tech_s03_vcp_contraction_breakout_v1,technical12,S3 VCP contraction breakout,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,ok,0.754,0.0635113717977686,0.3366826139249262,-0.231228748571065,-0.231228748571065,0.2746571333318306,0.4374824388873279,0.2306339044831531,0.0376460389064896,0.062331785960898,3559.0,-0.0014054992989889,-0.0030895983522141,571.0,4.287951807228915,10.0,0.0,-0.130539837834142,-0.4284884043139542,-0.5791582419544162,[],
stock_tech_s04_ma_deduct_turn_breakout_v1,technical12,S4 MA deduct turn breakout,TREND_RECLAIM_CONTINUATION,trend_following,ok,0.933,0.2723319877846832,1.1184768441600614,-0.1925448775666932,-0.1925448775666932,1.414308436255313,0.4399268143931693,1.293786224881889,0.2358617870063991,0.082530585346704,4936.0,-0.0002519967803683,-0.0037974683544304,714.0,5.940963855421686,10.0,6.0,0.4787451958901321,1.4514498148814097,-0.3686145122405203,[],
stock_tech_s05_first_dry_pullback_v1,technical12,S5 first dry pullback,TREND_RECLAIM_CONTINUATION,trend_following,ok,0.7,0.0050650845598596,-0.691828728813786,-0.0236805673043953,-0.0236805673043953,0.213801742051146,0.375,0.0164984012126958,0.0051565886943078,-0.0002101724655327,64.0,0.0010429249691488,-0.0059618794326241,64.0,0.0771084337349397,1.0,0.0,0.0478252791715276,0.359968030994956,-0.2311441229448447,['S5 breakout event state is implemented; stop-to-breakeven is not represented in FinLab boolean positions.'],
stock_tech_s06_nr7_inside_bar_breakout_v1,technical12,S6 NR7 inside bar breakout,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,ok,0.69,0.1473013307573687,0.8639335521887442,-0.1372853869861576,-0.1372853869861576,1.072878950930958,0.4523704031900753,0.5848458013061,0.1403021092668851,0.0166433371361883,2258.0,0.0005754257963255,-0.0034246575342466,562.0,2.719277108433735,10.0,1.0,0.2322307870272548,0.7935875326267594,-0.4872787433391397,[],
stock_tech_s07_2b_false_break_reversal_v1,technical12,S7 2B false break reversal,TREND_RECLAIM_CONTINUATION,mean_reversion,ok,0.613,0.0006808643604141,-1.0685534116339952,-0.032515021422931,-0.032515021422931,0.020933556093959,0.4334763948497854,0.0023357890457031,-0.0007270053216901,0.0032969492915966,233.0,-0.0016932838401172,-0.0034843205574912,166.0,0.280722891566265,6.0,0.0,0.0040756773972334,0.1066079425549793,-0.2356451704582634,[],
stock_tech_s08_rsi2_bull_mean_reversion_v1,technical12,S8 RSI2 bull mean reversion,TREND_RECLAIM_CONTINUATION,mean_reversion,ok,0.845,-0.1293884466914987,-0.6812499624635424,-0.4828290575922981,-0.4828290575922981,-0.267974275603761,0.4152986377925253,-0.3792638191850443,-0.1661136351719055,0.0832930144570386,5736.0,-0.0021620126008808,-0.0044250000000001,682.0,6.898795180722892,10.0,10.0,-0.1425961387173381,-0.4395841444029478,-0.4810777572655028,[],
stock_tech_s09_three_soldiers_base_breakout_v1,technical12,S9 three soldiers base breakout,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,ok,0.77,0.0104945145775336,-0.5543028091009696,-0.0240129055211993,-0.0240129055211993,0.4368545082222735,0.5424836601307189,0.0364039196647241,0.0110167220896258,-0.0012258473209268,310.0,0.001955579885218,0.0024410344827585,231.0,0.3734939759036144,5.0,0.0,0.0408633338206207,0.3168994008989336,-0.230796302336953,[],
stock_tech_s10_island_reversal_v1,technical12,S10 island reversal,VOLATILITY_CONTRACTION_BREAKOUT,mean_reversion,ok,0.583,0.0886768492184943,0.7958111460887601,-0.0695460654007072,-0.0695460654007072,1.2748974328497982,0.5437262357414449,0.1540662387924216,0.0902619622013691,-0.002849095842518,263.0,0.0049089634576224,0.0070175438596489,88.0,0.3168674698795181,10.0,0.0,-0.06165439872811,-0.2542377855847504,-0.4474149938382251,[],
stock_tech_s11_gap_breakout_continuation_v1,technical12,S11 gap breakout continuation,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,ok,0.741,0.216924147660722,0.781102578947621,-0.31637479624207,-0.31637479624207,0.685633918687896,0.4528889954447375,0.9380417115331708,0.1630694110488738,0.1297822815418747,4175.0,-0.0001583629923621,-0.0039473684210526,623.0,5.025301204819277,10.0,4.0,0.3617793729582388,1.1055194950452831,-0.3562680184196362,[],
alpha_miner_pymoo_nsga3_novelty_0081,active_strategy_spec,Pymoo NSGA-III novelty 0081 breadth trend impulse,TREND_RECLAIM_CONTINUATION,trend_following,ok,9.197,-0.5134069428743382,-6.530505408576964,-0.9178717111452168,-0.9178717111452168,-0.5593388958951735,0.3782692595256235,-0.9165021618906388,-0.5367139463890135,0.0527428037601925,283724.0,-0.003400909334315,-0.0045358255451714,830.0,341.66506024096384,527.0,341.0,-0.3924107312903597,-2.691372404007481,-0.8172612330148685,[],
alpha_miner_pymoo_nsga3_novelty_0187,active_strategy_spec,Pymoo NSGA-III novelty 0187 revenue short trend,REVENUE_QUALITY_MOMENTUM,trend_following,ok,7.913,-0.5556947905580898,-7.480107699096379,-0.9399546828740392,-0.9399546828740392,-0.5911868825315815,0.3757551223765336,-0.9389657009631605,-0.5879198254674824,0.0729239471440989,226131.0,-0.003840998524739,-0.004425,830.0,272.30481927710844,397.0,302.0,-0.4228669517377803,-2.8174955435602214,-0.845526214211303,[],
alpha_miner_pymoo_nsga3_novelty_0193,active_strategy_spec,Pymoo NSGA-III novelty 0193 sentiment margin flow,SMART_MONEY_ACCUMULATION,defensive_accumulation,ok,12.461,0.1695427316244249,0.8716740338823412,-0.3956116794586487,-0.3956116794586487,0.4285476262484394,0.424988267437376,0.7157276798187828,0.1060351373115452,0.1437151104395327,431204.0,-0.0015143443608603,-0.0034081229673221,830.0,519.3361445783132,618.0,539.0,0.1741644938036384,0.8528363238316906,-0.3976518843375385,[],
alphabuilders_multifactor_revenue_quality_momentum_v1,active_strategy_spec,AlphaBuilders multifactor revenue quality momentum,REVENUE_QUALITY_MOMENTUM,trend_following,ok,13.709,0.1090704416820074,0.6431525835177556,-0.3684359327295544,-0.3684359327295544,0.296028350412181,0.4241971575200862,0.4288020424081653,0.0695525512532351,0.0894273834295817,497907.0,-0.0009507956606202,-0.0026137797619046,830.0,599.2915662650603,1176.0,780.0,0.1665588128610136,0.9716256389464012,-0.3454485798954652,[],
breakout_vol_expansion_seed_v1,active_strategy_spec,Breakout volume expansion seed,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,ok,5.847,-0.0916021608233113,-0.6844811873637875,-0.4773936460593214,-0.4773936460593214,-0.1918757043006097,0.3937546906829634,-0.2819088006552345,-0.1639599569339723,0.1637427581963416,186883.0,-0.0027644178677884,-0.006053087760609,830.0,224.96024096385543,738.0,243.0,0.1026763072184975,0.5942413157781083,-0.3459332316473336,[],
defensive_accumulation_seed_v1,active_strategy_spec,Defensive accumulation seed,SMART_MONEY_ACCUMULATION,defensive_accumulation,ok,14.911,-0.14182811808293,-1.309504175022366,-0.5371301938825965,-0.5371301938825965,-0.2640430183743233,0.4038408015585861,-0.409753267075693,-0.1768623755140483,0.079281103785394,447173.0,-0.0017364887890488,-0.0036297640653357,830.0,538.4831325301204,1050.0,512.0,0.0059282485763274,0.116922998542587,-0.3662623735692571,[],
finlab_ai_skill_broker_accumulation_reclaim_v1,active_strategy_spec,FinLab AI broker accumulation reclaim,SMART_MONEY_ACCUMULATION,defensive_accumulation,ok,5.403,-0.3588301184957982,-4.018645713574638,-0.8033849870818073,-0.8033849870818073,-0.4466422174218268,0.3928731217058239,-0.7839047731489597,-0.3908568433744396,0.0724751795867852,184499.0,-0.0024998333553887,-0.0044249999999997,830.0,222.21204819277108,470.0,215.0,-0.2581925847655525,-1.8690137340391373,-0.6807840992935645,[],
finlab_ai_skill_quality_trend_v1,active_strategy_spec,FinLab AI quality trend,REVENUE_QUALITY_MOMENTUM,trend_following,ok,3.077,-0.0365879256115805,-0.259333196664017,-0.4640859838229277,-0.4640859838229277,-0.0788369796053662,0.4178391495010827,-0.120570561457426,-0.0826759180801982,0.1042952579014675,92146.0,-0.0012537107773897,-0.003582915270562,830.0,110.92530120481928,383.0,137.0,0.0325974769465942,0.2701067475689152,-0.3868337280700766,[],
finlab_ai_skill_revenue_revision_breakout_v1,active_strategy_spec,FinLab AI revenue revision breakout,REVENUE_QUALITY_MOMENTUM,breakout_vol_expansion,ok,1.043,-0.0839685413971114,-0.3522610710268628,-0.5538371724979159,-0.5538371724979159,-0.1516095875661934,0.4284838577850429,-0.2608937815817919,-0.1166794480712714,0.074023455243697,9820.0,-0.0003820515436153,-0.0038749838677738,826.0,11.812048192771083,49.0,23.0,0.0012470459769611,0.1426202630571815,-0.508951979067677,[],
finlab_ai_skill_reversion_value_v1,active_strategy_spec,FinLab AI reversion value,REVENUE_QUALITY_MOMENTUM,mean_reversion,ok,9.424,-0.0549864094250686,-0.8232179566513247,-0.3559754895459689,-0.3559754895459689,-0.1544625020957999,0.4357243963608385,-0.1771207719772478,-0.0830323622969054,0.0634668539718321,343238.0,-0.0005479921810618,-0.0013793103448276,830.0,413.6012048192771,821.0,312.0,-0.0760098964393335,-0.4665521314300417,-0.3786580838074863,[],
trend_following_seed_v1,active_strategy_spec,Trend following seed,TREND_RECLAIM_CONTINUATION,trend_following,ok,10.321,-0.0333221674566378,-0.3298009921360746,-0.4242696536279222,-0.4242696536279222,-0.078538216885272,0.40194811527771,-0.1102522458386704,-0.0906917124129655,0.1298249536684504,328808.0,-0.002005177063708,-0.004425,830.0,395.7493975903615,1011.0,483.0,0.0828811737519996,0.5362251608572891,-0.3499877740507375,[],
stock_tech_s12_multitimeframe_smc_reclaim_v1,technical12,S12 multi-timeframe SMC reclaim,SMC_STRUCTURE_RECLAIM,breakout_vol_expansion,unsupported_intraday_data,,,,,,,,,,,,,,,,,,,,,,"requires completed 15m/1h/4h bars, pivot confirmation, OB/FVG state, and intraday execution; daily FinLab OHLCV is not a valid proxy"
