period,start_date,end_date,group,status,name,family_id,alpha_bucket,strategy_id,proxy_cagr,proxy_sharpe,proxy_MOD,proxy_total_return,proxy_worst_month,proxy_monthly_hit_rate,active_days,avg_positions,max_positions,latest_positions,avg_turnover,reason
2020_2022,2020-01-01,2022-12-31,candidate_stock_tech12,candidate,S1 55d trend volume breakout,TREND_RECLAIM_CONTINUATION,breakout_vol_expansion,stock_tech_s01_55d_trend_volume_breakout_v1,0.26289657024509294,0.9190124205227393,-0.25984635762469355,0.9754044878207326,-0.15221281501514905,0.5,572.0,7.185034013605442,10.0,0.0,0.03498218334953029,
2020_2022,2020-01-01,2022-12-31,candidate_stock_tech12,candidate,S2 52w dual momentum,TREND_RECLAIM_CONTINUATION,trend_following,stock_tech_s02_52w_dual_momentum_v1,0.08577927560662313,0.40913009455302946,-0.5610113875523597,0.27129453943947723,-0.20003867962399713,0.3888888888888889,525.0,6.850340136054422,10.0,0.0,0.03168880250512904,
2020_2022,2020-01-01,2022-12-31,candidate_stock_tech12,candidate,S3 VCP contraction breakout,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,stock_tech_s03_vcp_contraction_breakout_v1,-0.13037975699484416,-0.3481864816854294,-0.3965936201321084,-0.33465823589176824,-0.287747127536254,0.25,520.0,3.8639455782312924,10.0,0.0,0.08586653709102687,
2020_2022,2020-01-01,2022-12-31,candidate_stock_tech12,candidate,S4 MA deduct turn breakout,TREND_RECLAIM_CONTINUATION,trend_following,stock_tech_s04_ma_deduct_turn_breakout_v1,-0.10044683178839853,-0.17831283033895923,-0.5096105676298066,-0.2656356101146421,-0.1983954763706074,0.3888888888888889,578.0,4.677551020408163,10.0,1.0,0.10061548428895369,
2020_2022,2020-01-01,2022-12-31,candidate_stock_tech12,candidate,S5 first dry pullback,TREND_RECLAIM_CONTINUATION,trend_following,stock_tech_s05_first_dry_pullback_v1,-0.07131975566451598,-0.5724932392746617,-0.26172668238690855,-0.19410875636495917,-0.10844306306306284,0.08333333333333333,53.0,0.08435374149659863,2.0,0.0,0.014965986394557823,
2020_2022,2020-01-01,2022-12-31,candidate_stock_tech12,candidate,S6 NR7 inside bar breakout,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,stock_tech_s06_nr7_inside_bar_breakout_v1,-0.17552942506737979,-0.42904435997721624,-0.5064953898758825,-0.4304775022533326,-0.18266098592289037,0.3055555555555556,445.0,2.2095238095238097,10.0,0.0,0.09693229672821509,
2020_2022,2020-01-01,2022-12-31,candidate_stock_tech12,candidate,S7 2B false break reversal,TREND_RECLAIM_CONTINUATION,mean_reversion,stock_tech_s07_2b_false_break_reversal_v1,0.0010952708217981666,0.11669561064800968,-0.337733943054229,0.0031978941184616083,-0.19075153954330348,0.3333333333333333,172.0,0.35374149659863946,5.0,0.0,0.05585034013605443,
2020_2022,2020-01-01,2022-12-31,candidate_stock_tech12,candidate,S8 RSI2 bull mean reversion,TREND_RECLAIM_CONTINUATION,mean_reversion,stock_tech_s08_rsi2_bull_mean_reversion_v1,-0.4032095114228309,-1.6482402548243336,-0.7919899650325,-0.7781051679378748,-0.2054932171670668,0.16666666666666666,552.0,5.502040816326531,10.0,0.0,0.2794584818054206,
2020_2022,2020-01-01,2022-12-31,candidate_stock_tech12,candidate,S9 three soldiers base breakout,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,stock_tech_s09_three_soldiers_base_breakout_v1,-0.08711318692187209,-0.5823686623293954,-0.2987307085153549,-0.233434287892488,-0.0882187744458931,0.08333333333333333,117.0,0.18503401360544217,2.0,0.0,0.027210884353741496,
2020_2022,2020-01-01,2022-12-31,candidate_stock_tech12,candidate,S10 island reversal,VOLATILITY_CONTRACTION_BREAKOUT,mean_reversion,stock_tech_s10_island_reversal_v1,-0.07158619859463233,-0.36950126398166244,-0.3832839794354137,-0.19478294560023135,-0.24225086988445077,0.1111111111111111,117.0,0.47619047619047616,10.0,0.0,0.018610301263362487,
2020_2022,2020-01-01,2022-12-31,candidate_stock_tech12,candidate,S11 gap breakout continuation,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,stock_tech_s11_gap_breakout_continuation_v1,-0.07461430439960992,0.032811852588723066,-0.5149442242744156,-0.20241903460265653,-0.3387754675551904,0.4166666666666667,528.0,3.8068027210884354,10.0,0.0,0.13529532447899795,
2020_2022,2020-01-01,2022-12-31,active_strategy_spec,active,Pymoo NSGA-III novelty 0081 breadth trend impulse,TREND_RECLAIM_CONTINUATION,trend_following,alpha_miner_pymoo_nsga3_novelty_0081,-0.4209632850311791,-2.5380088414730815,-0.8010327627247339,-0.7968144601349119,-0.26709285602819044,0.25,735.0,300.77823129251703,505.0,160.0,0.7011352346890317,
2020_2022,2020-01-01,2022-12-31,active_strategy_spec,active,Pymoo NSGA-III novelty 0187 revenue short trend,REVENUE_QUALITY_MOMENTUM,trend_following,alpha_miner_pymoo_nsga3_novelty_0187,-0.46286800158163444,-2.5449372087492907,-0.8413839025414147,-0.8367939237804308,-0.2809524482705814,0.2222222222222222,735.0,226.2721088435374,351.0,175.0,0.720249385207953,
2020_2022,2020-01-01,2022-12-31,active_strategy_spec,active,Pymoo NSGA-III novelty 0193 sentiment margin flow,SMART_MONEY_ACCUMULATION,defensive_accumulation,alpha_miner_pymoo_nsga3_novelty_0193,0.023851104708721316,0.2200479351555488,-0.3708599666500051,0.0711673898037033,-0.1919888265087495,0.6111111111111112,735.0,470.72517006802724,542.0,352.0,0.04910060516425038,
2020_2022,2020-01-01,2022-12-31,active_strategy_spec,active,AlphaBuilders multifactor revenue quality momentum,REVENUE_QUALITY_MOMENTUM,trend_following,alphabuilders_multifactor_revenue_quality_momentum_v1,0.06360594522175389,0.42093357767678774,-0.3029937271041878,0.1970451710570138,-0.15948880370080898,0.6111111111111112,735.0,598.847619047619,1129.0,258.0,0.12610106016810424,
2020_2022,2020-01-01,2022-12-31,active_strategy_spec,active,Breakout volume expansion seed,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,breakout_vol_expansion_seed_v1,-0.19973374652763476,-0.9431391942345566,-0.49985835673483237,-0.47788363981793636,-0.24804004978320648,0.4722222222222222,735.0,195.465306122449,613.0,84.0,0.2853462170460022,
2020_2022,2020-01-01,2022-12-31,active_strategy_spec,active,Defensive accumulation seed,SMART_MONEY_ACCUMULATION,defensive_accumulation,defensive_accumulation_seed_v1,-0.06505531136220832,-0.3145548845286131,-0.36863456768046754,-0.178150561005464,-0.18869591978638522,0.4444444444444444,735.0,461.5238095238095,974.0,256.0,0.2869384760027312,
2020_2022,2020-01-01,2022-12-31,active_strategy_spec,active,FinLab AI broker accumulation reclaim,SMART_MONEY_ACCUMULATION,defensive_accumulation,finlab_ai_skill_broker_accumulation_reclaim_v1,-0.26915184156724536,-1.8796661063315379,-0.6037933933320239,-0.5992908976054659,-0.19467442115812317,0.3611111111111111,735.0,184.03673469387755,506.0,130.0,0.44612683367632233,
2020_2022,2020-01-01,2022-12-31,active_strategy_spec,active,FinLab AI quality trend,REVENUE_QUALITY_MOMENTUM,trend_following,finlab_ai_skill_quality_trend_v1,-0.2238046515648595,-1.18205386153777,-0.5478051698134413,-0.5223803481603688,-0.24801874795632828,0.4166666666666667,734.0,131.05850340136055,372.0,53.0,0.25401113367400907,
2020_2022,2020-01-01,2022-12-31,active_strategy_spec,active,FinLab AI revenue revision breakout,REVENUE_QUALITY_MOMENTUM,breakout_vol_expansion,finlab_ai_skill_revenue_revision_breakout_v1,-0.3799467450828248,-1.5594009875731911,-0.7784885860295482,-0.7519241095323681,-0.2968966773720564,0.3611111111111111,728.0,15.496598639455783,47.0,9.0,0.42848569341483794,
2020_2022,2020-01-01,2022-12-31,active_strategy_spec,active,FinLab AI reversion value,REVENUE_QUALITY_MOMENTUM,mean_reversion,finlab_ai_skill_reversion_value_v1,-0.11485712671096748,-0.6256245808402029,-0.3583505831278414,-0.2994233103521444,-0.163986101244341,0.4444444444444444,735.0,442.84761904761905,858.0,300.0,0.1801311403849324,
2020_2022,2020-01-01,2022-12-31,active_strategy_spec,active,Trend following seed,TREND_RECLAIM_CONTINUATION,trend_following,trend_following_seed_v1,-0.17704233942495728,-0.9268319563405236,-0.4864235793497872,-0.4335202986486305,-0.22810674643853224,0.4444444444444444,735.0,348.7591836734694,927.0,162.0,0.25071895703718594,
2023_2026,2023-01-01,2026-06-15,candidate_stock_tech12,candidate,S1 55d trend volume breakout,TREND_RECLAIM_CONTINUATION,breakout_vol_expansion,stock_tech_s01_55d_trend_volume_breakout_v1,0.4931070079218145,1.6606211380644766,-0.2659985325606252,2.7445078242923016,-0.10118818220600123,0.5952380952380952,658.0,7.644578313253012,10.0,10.0,0.029840791738382104,
2023_2026,2023-01-01,2026-06-15,candidate_stock_tech12,candidate,S2 52w dual momentum,TREND_RECLAIM_CONTINUATION,trend_following,stock_tech_s02_52w_dual_momentum_v1,0.4250134392231364,1.1946411402882748,-0.28077492874961596,2.2108937903140697,-0.10083700628185832,0.6190476190476191,678.0,7.960240963855422,10.0,10.0,0.034460699942627654,
2023_2026,2023-01-01,2026-06-15,candidate_stock_tech12,candidate,S3 VCP contraction breakout,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,stock_tech_s03_vcp_contraction_breakout_v1,-0.13053983783414203,-0.42848840431395424,-0.5791582419544162,-0.369173852850067,-0.21338758586647322,0.40476190476190477,571.0,4.287951807228915,10.0,0.0,0.08042981449607955,
2023_2026,2023-01-01,2026-06-15,candidate_stock_tech12,candidate,S4 MA deduct turn breakout,TREND_RECLAIM_CONTINUATION,trend_following,stock_tech_s04_ma_deduct_turn_breakout_v1,0.4787451958901321,1.4514498148814097,-0.36861451224052033,2.627182072245575,-0.2506678198524772,0.5952380952380952,714.0,5.940963855421686,10.0,6.0,0.09241681009753297,
2023_2026,2023-01-01,2026-06-15,candidate_stock_tech12,candidate,S5 first dry pullback,TREND_RECLAIM_CONTINUATION,trend_following,stock_tech_s05_first_dry_pullback_v1,0.04782527917152768,0.35996803099495606,-0.23114412294484477,0.16633808893937907,-0.09642196878804077,0.07142857142857142,64.0,0.07710843373493977,1.0,0.0,0.008433734939759036,
2023_2026,2023-01-01,2026-06-15,candidate_stock_tech12,candidate,S6 NR7 inside bar breakout,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,stock_tech_s06_nr7_inside_bar_breakout_v1,0.23223078702725486,0.7935875326267594,-0.4872787433391397,0.9893351671083388,-0.20867741590891997,0.47619047619047616,562.0,2.719277108433735,10.0,1.0,0.096327691719258,
2023_2026,2023-01-01,2026-06-15,candidate_stock_tech12,candidate,S7 2B false break reversal,TREND_RECLAIM_CONTINUATION,mean_reversion,stock_tech_s07_2b_false_break_reversal_v1,0.004075677397233468,0.10660794255497935,-0.2356451704582634,0.013486712725815142,-0.12276913320110816,0.3333333333333333,166.0,0.28072289156626506,6.0,0.0,0.04682730923694779,
2023_2026,2023-01-01,2026-06-15,candidate_stock_tech12,candidate,S8 RSI2 bull mean reversion,TREND_RECLAIM_CONTINUATION,mean_reversion,stock_tech_s08_rsi2_bull_mean_reversion_v1,-0.14259613871733812,-0.43958414440294785,-0.48107775726550284,-0.3975289888498853,-0.13032626880659626,0.2619047619047619,682.0,6.8987951807228916,10.0,10.0,0.28258988334289536,
2023_2026,2023-01-01,2026-06-15,candidate_stock_tech12,candidate,S9 three soldiers base breakout,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,stock_tech_s09_three_soldiers_base_breakout_v1,0.040863333820620795,0.3168994008989336,-0.23079630233695303,0.1410083086412388,-0.1375169950738917,0.3333333333333333,231.0,0.37349397590361444,5.0,0.0,0.03495983935742972,
2023_2026,2023-01-01,2026-06-15,candidate_stock_tech12,candidate,S10 island reversal,VOLATILITY_CONTRACTION_BREAKOUT,mean_reversion,stock_tech_s10_island_reversal_v1,-0.06165439872811007,-0.25423778558475046,-0.44741499383822514,-0.18908975313040177,-0.25720263888888895,0.11904761904761904,88.0,0.3168674698795181,10.0,0.0,0.011579651941097724,
2023_2026,2023-01-01,2026-06-15,candidate_stock_tech12,candidate,S11 gap breakout continuation,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,stock_tech_s11_gap_breakout_continuation_v1,0.3617793729582388,1.1055194950452831,-0.3562680184196362,1.7650361190765818,-0.1645459618254237,0.4523809523809524,623.0,5.025301204819277,10.0,4.0,0.14176898068464336,
