test_type,target_strategy_id,target_name,base_strategy_id,proxy_cagr,proxy_sharpe,proxy_MOD,proxy_total_return,note,base_strategy_name,base_group,base_alpha_bucket,base_proxy_cagr,filtered_proxy_cagr,delta_proxy_cagr,base_proxy_sharpe,filtered_proxy_sharpe,delta_proxy_sharpe,base_proxy_MOD,filtered_proxy_MOD,delta_proxy_MOD,removed_position_cells,s8_any_days
inverse_position_proxy,stock_tech_s08_rsi2_bull_mean_reversion_v1,S8 RSI2 bull mean reversion,stock_tech_s08_rsi2_bull_mean_reversion_v1,0.08528600062062441,0.43958414440294785,-0.35134277889719023,0.30939351520342284,Return sign inversion only; not a real shorting or borrow-cost simulation.,,,,,,,,,,,,,,
avoid_filter_same_symbol,stock_tech_s08_rsi2_bull_mean_reversion_v1,S8 RSI2 bull mean reversion,alpha_miner_pymoo_nsga3_novelty_0081,,,,,,Pymoo NSGA-III novelty 0081 breadth trend impulse,active_strategy_spec,trend_following,-0.39241073129035975,-0.3921633819259255,0.00024734936443426836,-2.691372404007481,-2.6900006200625866,0.0013717839448945668,-0.8172612330148685,-0.8170570761440749,0.00020415687079367029,373.0,
risk_off_half_exposure_when_s8_any,stock_tech_s08_rsi2_bull_mean_reversion_v1,S8 RSI2 bull mean reversion,alpha_miner_pymoo_nsga3_novelty_0081,,,,,,Pymoo NSGA-III novelty 0081 breadth trend impulse,active_strategy_spec,trend_following,-0.39241073129035975,-0.24831261142274097,0.14409811986761878,-2.691372404007481,-2.0907143756289828,0.6006580283784984,-0.8172612330148685,-0.6191024874161016,0.1981587455987669,,682.0
avoid_filter_same_symbol,stock_tech_s08_rsi2_bull_mean_reversion_v1,S8 RSI2 bull mean reversion,alpha_miner_pymoo_nsga3_novelty_0187,,,,,,Pymoo NSGA-III novelty 0187 revenue short trend,active_strategy_spec,trend_following,-0.4228669517377803,-0.4227083437046203,0.0001586080331600348,-2.8174955435602214,-2.8201608616372846,-0.0026653180770632723,-0.845526214211303,-0.8453566433674155,0.0001695708438875787,962.0,
risk_off_half_exposure_when_s8_any,stock_tech_s08_rsi2_bull_mean_reversion_v1,S8 RSI2 bull mean reversion,alpha_miner_pymoo_nsga3_novelty_0187,,,,,,Pymoo NSGA-III novelty 0187 revenue short trend,active_strategy_spec,trend_following,-0.4228669517377803,-0.27208209552490104,0.1507848562128793,-2.8174955435602214,-2.1916549222760104,0.6258406212842109,-0.845526214211303,-0.6586180462814971,0.1869081679298059,,682.0
avoid_filter_same_symbol,stock_tech_s08_rsi2_bull_mean_reversion_v1,S8 RSI2 bull mean reversion,alphabuilders_multifactor_revenue_quality_momentum_v1,,,,,,AlphaBuilders multifactor revenue quality momentum,active_strategy_spec,trend_following,0.1665588128610136,0.16722558474338722,0.0006667718823736291,0.9716256389464013,0.975380956934618,0.003755317988216711,-0.3454485798954652,-0.34583297180354444,-0.0003843919080792624,694.0,
risk_off_half_exposure_when_s8_any,stock_tech_s08_rsi2_bull_mean_reversion_v1,S8 RSI2 bull mean reversion,alphabuilders_multifactor_revenue_quality_momentum_v1,,,,,,AlphaBuilders multifactor revenue quality momentum,active_strategy_spec,trend_following,0.1665588128610136,0.08327795621538692,-0.08328085664562668,0.9716256389464013,0.6791664221357372,-0.2924592168106641,-0.3454485798954652,-0.284653429031818,0.060795150863647174,,682.0
avoid_filter_same_symbol,stock_tech_s08_rsi2_bull_mean_reversion_v1,S8 RSI2 bull mean reversion,breakout_vol_expansion_seed_v1,,,,,,Breakout volume expansion seed,active_strategy_spec,breakout_vol_expansion,0.10267630721849752,0.10261706619522126,-5.9241023276257465e-05,0.5942413157781083,0.5939492985087638,-0.00029201726934457994,-0.3459332316473336,-0.3459332316473338,-2.220446049250313e-16,14.0,
risk_off_half_exposure_when_s8_any,stock_tech_s08_rsi2_bull_mean_reversion_v1,S8 RSI2 bull mean reversion,breakout_vol_expansion_seed_v1,,,,,,Breakout volume expansion seed,active_strategy_spec,breakout_vol_expansion,0.10267630721849752,0.06257221211601283,-0.040104095102484694,0.5942413157781083,0.5097291919399738,-0.08451212383813456,-0.3459332316473336,-0.260474789379908,0.0854584422674256,,682.0
avoid_filter_same_symbol,stock_tech_s08_rsi2_bull_mean_reversion_v1,S8 RSI2 bull mean reversion,finlab_ai_skill_quality_trend_v1,,,,,,FinLab AI quality trend,active_strategy_spec,trend_following,0.032597476946594206,0.03292044126590343,0.00032296431930922687,0.2701067475689152,0.2718538491821964,0.0017471016132812323,-0.38683372807007665,-0.38679562482261054,3.810324746611471e-05,22.0,
