pair,left_id,right_id,return_corr,all_period_jaccard,latest_jaccard,position_phi_corr,left_alpha_bucket,right_alpha_bucket,left_family_id,right_family_id,similarity_class
BreakoutSeed vs TrendSeed,breakout_vol_expansion_seed_v1,trend_following_seed_v1,0.9873022440831696,0.568159,0.503106,0.7205263985630731,breakout_vol_expansion,trend_following,VOLATILITY_CONTRACTION_BREAKOUT,TREND_RECLAIM_CONTINUATION,severe_corr_and_jaccard
DefensiveSeed vs TrendSeed,defensive_accumulation_seed_v1,trend_following_seed_v1,0.9539629038609412,0.369182,0.405367,0.4274890566581668,defensive_accumulation,trend_following,SMART_MONEY_ACCUMULATION,TREND_RECLAIM_CONTINUATION,severe_corr_and_jaccard
AlphaBuilders vs DefensiveSeed,alphabuilders_multifactor_revenue_quality_momentum_v1,defensive_accumulation_seed_v1,0.9706859961777636,0.338691,0.435556,0.3363932249459118,trend_following,defensive_accumulation,REVENUE_QUALITY_MOMENTUM,SMART_MONEY_ACCUMULATION,severe_corr_and_jaccard
AlphaBuilders vs TrendSeed,alphabuilders_multifactor_revenue_quality_momentum_v1,trend_following_seed_v1,0.9450666952017102,0.306818,0.430351,0.3353697687485659,trend_following,trend_following,REVENUE_QUALITY_MOMENTUM,TREND_RECLAIM_CONTINUATION,severe_corr_and_jaccard
DefensiveSeed vs BrokerReclaim,defensive_accumulation_seed_v1,finlab_ai_skill_broker_accumulation_reclaim_v1,0.979400695968478,0.263158,0.238501,0.3657379160112629,defensive_accumulation,defensive_accumulation,SMART_MONEY_ACCUMULATION,SMART_MONEY_ACCUMULATION,severe_corr_and_jaccard
BrokerReclaim vs TrendSeed,finlab_ai_skill_broker_accumulation_reclaim_v1,trend_following_seed_v1,0.9413376914062146,0.2313,0.253142,0.2994440757544027,defensive_accumulation,trend_following,SMART_MONEY_ACCUMULATION,TREND_RECLAIM_CONTINUATION,watch_corr_and_jaccard
BreakoutSeed vs DefensiveSeed,breakout_vol_expansion_seed_v1,defensive_accumulation_seed_v1,0.9296253625843828,0.230136,0.241776,0.3068604772310521,breakout_vol_expansion,defensive_accumulation,VOLATILITY_CONTRACTION_BREAKOUT,SMART_MONEY_ACCUMULATION,watch_corr_and_jaccard
AM0193 vs AlphaBuilders,alpha_miner_pymoo_nsga3_novelty_0193,alphabuilders_multifactor_revenue_quality_momentum_v1,0.9794183011757898,0.222359,0.267051,0.1505471580436314,defensive_accumulation,trend_following,SMART_MONEY_ACCUMULATION,REVENUE_QUALITY_MOMENTUM,watch_corr_and_jaccard
AM0193 vs DefensiveSeed,alpha_miner_pymoo_nsga3_novelty_0193,defensive_accumulation_seed_v1,0.9658092524863358,0.208289,0.188914,0.138866254051775,defensive_accumulation,defensive_accumulation,SMART_MONEY_ACCUMULATION,SMART_MONEY_ACCUMULATION,watch_corr_and_jaccard
AM0193 vs TrendSeed,alpha_miner_pymoo_nsga3_novelty_0193,trend_following_seed_v1,0.9392945016638712,0.203686,0.21522,0.1722540184467625,defensive_accumulation,trend_following,SMART_MONEY_ACCUMULATION,TREND_RECLAIM_CONTINUATION,watch_corr_and_jaccard
AlphaBuilders vs BreakoutSeed,alphabuilders_multifactor_revenue_quality_momentum_v1,breakout_vol_expansion_seed_v1,0.9240230935249452,0.195986,0.247561,0.2493819284967564,trend_following,breakout_vol_expansion,REVENUE_QUALITY_MOMENTUM,VOLATILITY_CONTRACTION_BREAKOUT,corr_only_low_jaccard
AlphaBuilders vs BrokerReclaim,alphabuilders_multifactor_revenue_quality_momentum_v1,finlab_ai_skill_broker_accumulation_reclaim_v1,0.9667590727631912,0.173601,0.198795,0.2074054908645013,trend_following,defensive_accumulation,REVENUE_QUALITY_MOMENTUM,SMART_MONEY_ACCUMULATION,corr_only_low_jaccard
AM0193 vs BreakoutSeed,alpha_miner_pymoo_nsga3_novelty_0193,breakout_vol_expansion_seed_v1,0.9158742166905304,0.144257,0.141606,0.1446686743537174,defensive_accumulation,breakout_vol_expansion,SMART_MONEY_ACCUMULATION,VOLATILITY_CONTRACTION_BREAKOUT,corr_only_low_jaccard
BreakoutSeed vs BrokerReclaim,breakout_vol_expansion_seed_v1,finlab_ai_skill_broker_accumulation_reclaim_v1,0.9148604566506192,0.132697,0.162437,0.1481675831896508,breakout_vol_expansion,defensive_accumulation,VOLATILITY_CONTRACTION_BREAKOUT,SMART_MONEY_ACCUMULATION,corr_only_low_jaccard
AM0193 vs BrokerReclaim,alpha_miner_pymoo_nsga3_novelty_0193,finlab_ai_skill_broker_accumulation_reclaim_v1,0.9608144842679652,0.115567,0.081779,0.087381056925923,defensive_accumulation,defensive_accumulation,SMART_MONEY_ACCUMULATION,SMART_MONEY_ACCUMULATION,corr_only_low_jaccard
S1 vs S2,stock_tech_s01_55d_trend_volume_breakout_v1,stock_tech_s02_52w_dual_momentum_v1,0.6066836591280417,0.034257,0.0,0.0629521220310736,breakout_vol_expansion,trend_following,TREND_RECLAIM_CONTINUATION,TREND_RECLAIM_CONTINUATION,ok_low_overlap
S1 vs S11,stock_tech_s01_55d_trend_volume_breakout_v1,stock_tech_s11_gap_breakout_continuation_v1,0.5365976041000523,0.029668,0.076923,0.0562567366363529,breakout_vol_expansion,breakout_vol_expansion,TREND_RECLAIM_CONTINUATION,VOLATILITY_CONTRACTION_BREAKOUT,ok_low_overlap
S2 vs S11,stock_tech_s02_52w_dual_momentum_v1,stock_tech_s11_gap_breakout_continuation_v1,0.5838666667832121,0.029221,0.0,0.0555933653768789,trend_following,breakout_vol_expansion,TREND_RECLAIM_CONTINUATION,VOLATILITY_CONTRACTION_BREAKOUT,ok_low_overlap
S1 vs S6,stock_tech_s01_55d_trend_volume_breakout_v1,stock_tech_s06_nr7_inside_bar_breakout_v1,0.4468434874964808,0.019436,0.0,0.0413722063865972,breakout_vol_expansion,breakout_vol_expansion,TREND_RECLAIM_CONTINUATION,VOLATILITY_CONTRACTION_BREAKOUT,ok_low_overlap
S4 vs S11,stock_tech_s04_ma_deduct_turn_breakout_v1,stock_tech_s11_gap_breakout_continuation_v1,0.4225339176367381,0.015168,0.0,0.0275854004177159,trend_following,breakout_vol_expansion,TREND_RECLAIM_CONTINUATION,VOLATILITY_CONTRACTION_BREAKOUT,ok_low_overlap
