candidate_id,algorithm,status,factor_ids,weights,combine,complexity,novelty,turnover,fitness,deflated_sharpe_proxy,deflated_sharpe,fold_sharpes,train,validation,holdout,full,latest_matches,match_days
random_0000,random,ok,"['l1_bosBullish', 'vola_realized_1m']","[0.543309, 0.456691]",weighted_sum,2,1.0,0.7539759036144578,-4.3863661656865265,-5.134728759533336,"{'probability': 1.4009481271771543e-09, 'z_score': -5.9428026858581475, 'minimum_annualized_sharpe': 0.4848833074457409, 'daily_sharpe': -0.3186995095504634, 'skew': -1.8624892510860303, 'kurtosis': 17.90876714424278}","[-4.3164036334297515, -6.457945435856269, -5.024002861423657, -5.222535225219125, -7.61907921110219, -6.3846013924349885, -2.6985735862578357, -3.685065631973083]","{'cagr': -0.4868246440329349, 'sharpe': -5.6098765191830635, 'max_drawdown': -0.7237949599962286, 'positive_day_ratio': 0.36382536382536385}","{'cagr': -0.5176782018277792, 'sharpe': -5.0591978713726835, 'max_drawdown': -0.4991345005492426, 'positive_day_ratio': 0.3333333333333333}","{'cagr': -0.5087911936092243, 'sharpe': -3.516740561551257, 'max_drawdown': -0.3090828659449951, 'positive_day_ratio': 0.39622641509433965}","{'cagr': -0.4988643172438175, 'sharpe': -4.959170689449542, 'max_drawdown': -0.9039160126816911, 'positive_day_ratio': 0.35903614457831323}",10,830
random_0001,random,ok,"['tech_sma_20_pos', 'tech_donchian_pos_20']","[0.362708, 0.637292]",weighted_sum,2,1.0,0.704698795180723,5.278265357262817,4.06378465641252,"{'probability': 0.9995738310316036, 'z_score': 3.3352139519331794, 'minimum_annualized_sharpe': 0.5580929990982574, 'daily_sharpe': 0.26075236973725024, 'skew': -0.17816246111560924, 'kurtosis': 4.574186255881384}","[7.098235306604144, 2.7489290333378404, 7.882647093501051, 6.011017477833504, 3.464341044393526, 1.2839018645501268, 8.014989998398143, 10.427587403247243]","{'cagr': 5.927059379165192, 'sharpe': 5.5980837827822745, 'max_drawdown': -0.24759972074057235, 'positive_day_ratio': 0.6340956340956341}","{'cagr': 2.786480482728437, 'sharpe': 4.139315544573172, 'max_drawdown': -0.2748418721294922, 'positive_day_ratio': 0.6049382716049383}","{'cagr': 181.93007993587423, 'sharpe': 10.683728837450968, 'max_drawdown': -0.08972471723696418, 'positive_day_ratio': 0.7924528301886793}","{'cagr': 7.817030130610592, 'sharpe': 5.910296973153778, 'max_drawdown': -0.27484187212949196, 'positive_day_ratio': 0.6457831325301204}",10,830
optuna_tpe_0000,optuna_tpe,ok,"['liq_amihud_21d', 'l1_liquiditySweepBullish', 'tech_volume_ratio_5', 'mom_ma50_200_ratio', 'l1_bbBandwidthPct']","[0.073031, 0.370467, 0.096495, 0.427393, 0.032615]",max,5,1.0,0.025060240963855424,0.5777669277705009,0.16951424768025633,"{'probability': 0.3895864825247356, 'z_score': -0.28039696529791186, 'minimum_annualized_sharpe': 0.5321038665309955, 'daily_sharpe': 0.015436392605263935, 'skew': -0.40349095793400136, 'kurtosis': 5.400918922886731}","[3.4203584136500904, -0.21213218529720523, 1.7980083698455684, 0.33451717709679146, -1.155418869219912, -0.9438163338061974, 3.0205262637252632, 2.0475559528085148]","{'cagr': 0.310276140649947, 'sharpe': 0.9478347818803297, 'max_drawdown': -0.30947616035614256, 'positive_day_ratio': 0.5592515592515592}","{'cagr': 0.019575504213584116, 'sharpe': 0.24504513584090884, 'max_drawdown': -0.427021561580763, 'positive_day_ratio': 0.5390946502057613}","{'cagr': 2.121192070154806, 'sharpe': 2.354653984249524, 'max_drawdown': -0.18589593964922646, 'positive_day_ratio': 0.6132075471698113}","{'cagr': 0.3602192749207942, 'sharpe': 0.9818508710033195, 'max_drawdown': -0.5574009852294324, 'positive_day_ratio': 0.5602409638554217}",10,830
optuna_tpe_0001,optuna_tpe,ok,"['l1_sectorRsMomentum', 'tech_trix_12', 'vol_money_flow_5d']","[0.481198, 0.396377, 0.122425]",weighted_sum,3,1.0,0.48445783132530124,-2.5436747826196053,-2.126006915630182,"{'probability': 0.005716520355285723, 'z_score': -2.52917683581559, 'minimum_annualized_sharpe': 0.5303744774733183, 'daily_sharpe': -0.12916784852342908, 'skew': -0.23817361272025608, 'kurtosis': 8.365767851450858}","[-0.08068698810067643, -2.36655262150134, -1.975291161820479, -1.0070585536216692, -3.1974448403443265, -2.229003706219602, -1.6826877740607835, -2.358217351369197]","{'cagr': -0.3799437715967343, 'sharpe': -1.5804660136180781, 'max_drawdown': -0.6440273478632925, 'positive_day_ratio': 0.4698544698544699}","{'cagr': -0.46124443022462136, 'sharpe': -2.0504760274695295, 'max_drawdown': -0.4549676797169433, 'positive_day_ratio': 0.4403292181069959}","{'cagr': -0.5994279533338379, 'sharpe': -2.285341617512512, 'max_drawdown': -0.37770602006733, 'positive_day_ratio': 0.5}","{'cagr': -0.4372346575813798, 'sharpe': -1.8177948730197935, 'max_drawdown': -0.8573851719755143, 'positive_day_ratio': 0.4650602409638554}",10,830
deap_gp_0000,deap_gp,ok,"['mom_reversal_1m', 'l1_smcNetScore', 'tech_williams_r_14']","[0.357965, 0.231537, 0.410498]",weighted_sum,3,1.0,0.8612048192771087,-3.9807403375939345,-3.9957644777040597,"{'probability': 4.576909640667308e-06, 'z_score': -4.436253151709179, 'minimum_annualized_sharpe': 0.5202511169874146, 'daily_sharpe': -0.2469515037908075, 'skew': -0.8552063288627407, 'kurtosis': 12.369661860418109}","[-2.5780615350168907, -4.427025987826445, -3.2376961654965615, -2.838516747367157, -5.672640121784437, -4.128075762979427, -4.924367120669112, -3.3685219129419313]","{'cagr': -0.563973458417024, 'sharpe': -3.684636467197716, 'max_drawdown': -0.80444886000237, 'positive_day_ratio': 0.3970893970893971}","{'cagr': -0.6993895579000946, 'sharpe': -3.920233589543407, 'max_drawdown': -0.6995547815694838, 'positive_day_ratio': 0.37037037037037035}","{'cagr': -0.6453222107191257, 'sharpe': -3.3795219208990437, 'max_drawdown': -0.3908990275626206, 'positive_day_ratio': 0.3490566037735849}","{'cagr': -0.6191316988342404, 'sharpe': -3.6764503305514316, 'max_drawdown': -0.9624110326332675, 'positive_day_ratio': 0.38313253012048193}",10,830
deap_gp_0001,deap_gp,ok,"['l1_smcBiasBearish', 'tech_keltner_pos_20', 'tech_granville_score']","[0.247722, 0.3892, 0.363078]",weighted_sum,3,1.0,0.3031325301204819,2.5998155332110597,2.0131889377929433,"{'probability': 0.9245183154753863, 'z_score': 1.436136973386787, 'minimum_annualized_sharpe': 0.5550526899859907, 'daily_sharpe': 0.13157698138007928, 'skew': -0.5778040978126265, 'kurtosis': 5.425430909056887}","[4.826424065697248, 1.441915864723555, 2.610914677177285, 2.246189741100191, 1.2181163017356738, 0.6302047048012681, 3.9278872414419217, 4.558142184001907]","{'cagr': 1.139133251571427, 'sharpe': 2.31669203474089, 'max_drawdown': -0.24395319396251902, 'positive_day_ratio': 0.553014553014553}","{'cagr': 0.9789942019827227, 'sharpe': 2.088719825953596, 'max_drawdown': -0.2872622635092582, 'positive_day_ratio': 0.5967078189300411}","{'cagr': 8.89213422885354, 'sharpe': 4.718200960455794, 'max_drawdown': -0.16573870043584416, 'positive_day_ratio': 0.6698113207547169}","{'cagr': 1.5426027076299178, 'sharpe': 2.636096848230859, 'max_drawdown': -0.287262263509258, 'positive_day_ratio': 0.5807228915662651}",10,830
pymoo_nsga3_novelty_0000,pymoo_nsga3_novelty,ok,"['vol_cv_volprice_20d', 'l1_brokerNetAmount5d', 'l1_bosBullish']","[0.155709, 0.467655, 0.376636]",weighted_sum,3,0.96875,0.7486746987951808,-0.09980961729500981,-1.2713258638586626,"{'probability': 0.001954854035801485, 'z_score': -2.8853563770770005, 'minimum_annualized_sharpe': 1.7823748048714094, 'daily_sharpe': -0.07068140997787016, 'skew': -0.5734499272178922, 'kurtosis': 11.867293439840275}","[-0.28621002131103546, -0.7191937681608856, -0.6048065050593148, -2.556266247410526, -4.881243475323804, -2.0049921085906495, 1.8601397765256922, 3.2633300182354636]","{'cagr': -0.32156191425734393, 'sharpe': -1.5465843119923521, 'max_drawdown': -0.567603813358736, 'positive_day_ratio': 0.4407484407484408}","{'cagr': -0.2614529307495034, 'sharpe': -1.1220325987010629, 'max_drawdown': -0.33752900501127336, 'positive_day_ratio': 0.43621399176954734}","{'cagr': 2.662585995544241, 'sharpe': 3.6853000294522964, 'max_drawdown': -0.12092973991954725, 'positive_day_ratio': 0.6226415094339622}","{'cagr': -0.13737133887291542, 'sharpe': -0.437202499575532, 'max_drawdown': -0.7148811583717167, 'positive_day_ratio': 0.46265060240963857}",10,830
pymoo_nsga3_novelty_0001,pymoo_nsga3_novelty,ok,"['tech_gap_up', 'l1_diTrend', 'l1_bosBullish']","[0.433105, 0.415071, 0.151824]",weighted_sum,3,0.9500000000000001,0.8293975903614459,3.592311386667306,2.165090196828444,"{'probability': 0.634920676668406, 'z_score': 0.3449145035929307, 'minimum_annualized_sharpe': 1.9370601756071437, 'daily_sharpe': 0.14579245425847095, 'skew': -0.8505278213255416, 'kurtosis': 5.7539221899316955}","[4.1668912425067886, 0.1666220595089658, 2.2207637998463494, 5.146515651601591, 1.2363653595498532, 1.3823296325270562, 4.16615796207129, 7.830640568326844]","{'cagr': 1.1455074213433285, 'sharpe': 2.762071793692223, 'max_drawdown': -0.21445580551734433, 'positive_day_ratio': 0.5717255717255717}","{'cagr': 0.9324804974830836, 'sharpe': 2.3143834619860435, 'max_drawdown': -0.2127455300947384, 'positive_day_ratio': 0.6090534979423868}","{'cagr': 40.23208054133038, 'sharpe': 8.141583430284744, 'max_drawdown': -0.1277562969457804, 'positive_day_ratio': 0.7264150943396226}","{'cagr': 2.0351274221507083, 'sharpe': 3.5250096739811916, 'max_drawdown': -0.21445580551734433, 'positive_day_ratio': 0.6024096385542169}",10,830
pymoo_nsga3_novelty_0002,pymoo_nsga3_novelty,ok,"['tech_kdj_j_9', 'vol_cv_volprice_20d', 'l1_brokerCount', 'tech_bbi']","[0.308879, 0.073312, 0.244207, 0.373601]",weighted_sum,4,0.9833333333333334,0.5365060240963856,1.5892901998228264,0.35994972441338324,"{'probability': 0.10065980041613054, 'z_score': -1.2778010025298348, 'minimum_annualized_sharpe': 1.829458447782253, 'daily_sharpe': 0.03207929303113999, 'skew': -0.7268335091962668, 'kurtosis': 8.041141032267067}","[0.8260782053549882, 0.5549094004220659, 3.63034132006935, -0.1028627407270698, -2.5163366768345687, -2.191539177041611, 4.876986662204328, 5.721117985454833]","{'cagr': 0.17119588333124658, 'sharpe': 0.7114643504666979, 'max_drawdown': -0.31856865986391025, 'positive_day_ratio': 0.5197505197505198}","{'cagr': 0.10373773452575441, 'sharpe': 0.5092429895709829, 'max_drawdown': -0.36437560988261264, 'positive_day_ratio': 0.5308641975308642}","{'cagr': 8.957911010286349, 'sharpe': 5.704646635154831, 'max_drawdown': -0.1274247789911822, 'positive_day_ratio': 0.6415094339622641}","{'cagr': 0.5128604107211239, 'sharpe': 1.5397500103059267, 'max_drawdown': -0.5575441029436571, 'positive_day_ratio': 0.5385542168674698}",10,830
pymoo_nsga3_novelty_0003,pymoo_nsga3_novelty,ok,"['tech_slow_kd_14', 'vol_money_flow_5d', 'tech_donchian_pos_20', 'l1_roe', 'tech_keltner_pos_20']","[0.016524, 0.188371, 0.283133, 0.182431, 0.329542]",weighted_sum,5,0.9428571428571428,0.5387951807228917,-1.7005301098618317,-1.7953439661325699,"{'probability': 0.00034641191453426947, 'z_score': -3.3924032962651967, 'minimum_annualized_sharpe': 1.7972495069335184, 'daily_sharpe': -0.10369144762341227, 'skew': -0.37055150516324875, 'kurtosis': 11.332044527113691}","[0.7572999230603533, -0.18880518765886914, -1.5527421219715336, -1.8460949454167999, -2.468818563362919, -2.2138157665164697, -1.3944111789509623, -0.374377864853041]","{'cagr': -0.2714500023375339, 'sharpe': -1.150907015313821, 'max_drawdown': -0.514909783707068, 'positive_day_ratio': 0.4760914760914761}","{'cagr': -0.3782947633302619, 'sharpe': -1.64605070097497, 'max_drawdown': -0.4019791806201227, 'positive_day_ratio': 0.448559670781893}","{'cagr': -0.2367511216030561, 'sharpe': -0.5226575176881894, 'max_drawdown': -0.26292794692456967, 'positive_day_ratio': 0.4811320754716981}","{'cagr': -0.3003587129634586, 'sharpe': -1.167223885877669, 'max_drawdown': -0.7641747445544667, 'positive_day_ratio': 0.4686746987951807}",10,830
