id,kind,factor_id,factor_name,factor_name_zh,category,direction,tags,mapping,status,elapsed_s,cagr,benchmark_alpha,benchmark_beta,total_return,max_drawdown,monthly_sharpe,monthly_sortino,calmar,win_ratio,avg_n_stock,max_n_stock,trade_count,avg_turnover_proxy,match_days,avg_daily_matches,max_daily_matches,latest_matches
mom_rsi_14,single_factor,mom_rsi_14,14-Day RSI,14 日 RSI,momentum,1,"['short_term', 'oscillator']","{'status': 'mapped', 'source': 'finlab_ohlcv_or_finlab_dataset'}",ok,0.669,0.25128846984140374,0.34924114594935807,2.1924510209270838,1.109235070791804,-0.26615605575060464,0.8975416619857337,2.5407085493785657,0.9441041200116776,0.4524421593830334,10.0,10.0,410,,830,10.0,10,10
mom_macd_trend_10,single_factor,mom_macd_trend_10,10-Day MACD Trend,10 日 MACD 趨勢,momentum,1,"['medium_term', 'trend']","{'status': 'mapped', 'source': 'finlab_ohlcv_or_finlab_dataset'}",ok,0.102,0.505871526589152,0.5798937504545802,1.6568215053786735,2.9074755587371173,-0.24251694478596542,1.4511224098652704,4.0507241612947125,2.085836388346842,0.5666666666666667,10.0,10.0,403,,830,10.0,10,10
mom_12m_1m,single_factor,mom_12m_1m,12-Month Minus 1-Month Momentum,12-1 月動能（Jegadeesh-Titman）,momentum,1,"['medium_term', 'academic', 'classic_momentum']","{'status': 'mapped', 'source': 'finlab_ohlcv_or_finlab_dataset'}",ok,0.1,0.29879493958237147,0.4365659695397906,3.0836955894029887,1.3878241505522761,-0.25733987660329893,0.9160370129142429,1.9873390727541285,1.161045591029987,0.4754521963824289,10.0,10.0,403,,830,10.0,10,10
mom_reversal_1m,single_factor,mom_reversal_1m,1-Month Price Reversal,1 個月反轉,momentum,1,"['short_term', 'reversal']","{'status': 'mapped', 'source': 'finlab_ohlcv_or_finlab_dataset'}",ok,0.101,0.038710758885595054,0.1739123611793539,3.0261847124343877,0.13478702203960768,-0.2546752471322862,0.18720355310136708,0.3481481308546354,0.15199450820756916,0.45454545454545453,10.0,10.0,407,,830,10.0,10,10
mom_reversal_6m,single_factor,mom_reversal_6m,6-Month Price Reversal,6 個月反轉,momentum,1,"['medium_term', 'reversal']","{'status': 'mapped', 'source': 'finlab_ohlcv_or_finlab_dataset'}",ok,0.1,-0.03851454521764952,0.041343373051803134,1.787440439565033,-0.12257006697914907,-0.31017476608985595,-0.16519821020117298,-0.2749835412863933,-0.12416646279299359,0.43717277486910994,10.0,10.0,404,,830,10.0,10,10
mom_9m,single_factor,mom_9m,9-Month Price Momentum,9 個月動能,momentum,1,"['medium_term', 'trend']","{'status': 'mapped', 'source': 'finlab_ohlcv_or_finlab_dataset'}",ok,0.099,0.4147093054117248,0.5787302603812883,3.6712413020766026,2.1739879772530033,-0.34427272296801537,1.1693406421677548,2.9091223149101686,1.204560315535358,0.5090439276485789,10.0,10.0,401,,830,10.0,10,10
mom_hl52,single_factor,mom_hl52,52-Week High-Low Position,52 週高低位置,momentum,-1,"['medium_term', 'anchor_effect']","{'status': 'mapped', 'source': 'finlab_ohlcv_or_finlab_dataset'}",ok,0.167,0.4028287727256945,0.46253036390504526,1.336286253046127,2.0861130740525393,-0.26652248227267306,1.5289672019025116,4.279099795341095,1.5113684054222893,0.5205128205128206,10.0,10.0,410,,830,10.0,10,10
mom_close_to_52w_high,single_factor,mom_close_to_52w_high,Closing Price to 52-Week High,收盤價 / 52 週高點,momentum,1,"['medium_term', 'anchor_effect']","{'status': 'mapped', 'source': 'finlab_ohlcv_or_finlab_dataset'}",ok,0.104,0.2675524819928632,0.3280768650934911,1.3547026053040834,1.2018968755075838,-0.23903821719133767,1.197084833838478,3.3810852067715005,1.1192406500095764,0.5128205128205128,10.0,10.0,410,,830,10.0,10,10
mom_ma50_200_ratio,single_factor,mom_ma50_200_ratio,50-Day to 200-Day MA Ratio,MA50/MA200 比,momentum,1,"['long_term', 'trend']","{'status': 'mapped', 'source': 'finlab_ohlcv_or_finlab_dataset'}",ok,0.099,0.33822672840206036,0.527740294514097,4.241836241859711,1.637825345312629,-0.40857744267535434,1.152921352619967,2.267133026415569,0.827795211197424,0.5025641025641026,10.0,10.0,403,,830,10.0,10,10
mom_vol_adj_12m,single_factor,mom_vol_adj_12m,Volatility-Adjusted 12-Month Return,波動調整 12 月報酬,momentum,1,"['medium_term', 'risk_adjusted']","{'status': 'mapped', 'source': 'finlab_ohlcv_or_finlab_dataset'}",ok,0.099,0.3785676808036287,0.533786857370198,3.474233228255827,1.9119754476440378,-0.3517698750706202,1.1214955568904736,2.3991235121520087,1.0761493411970506,0.5307692307692308,10.0,10.0,403,,830,10.0,10,10
vol_share_turnover_21d,single_factor,vol_share_turnover_21d,Share Turnover (21-Day Avg),21 日平均周轉率,volume,-1,"['liquidity', 'attention']","{'status': 'mapped', 'source': 'finlab_ohlcv_or_finlab_dataset'}",ok,0.1,0.12077008049251092,0.1401736015782455,0.43430431208550463,0.4616781080320136,-0.08225307191350406,0.7882013908924753,1.789734841309423,1.468095923034521,0.48429319371727747,10.0,10.0,403,,830,10.0,10,10
vol_chg_turnover_1y,single_factor,vol_chg_turnover_1y,1-Year Change in Share Turnover,1 年周轉率變化,volume,1,"['liquidity', 'change_of_attention']","{'status': 'mapped', 'source': 'finlab_ohlcv_or_finlab_dataset'}",ok,0.099,0.009012614300180966,0.10659290202513241,2.1841159419589835,0.03032123260180919,-0.43468574848050856,0.08340600618476303,0.1681798285690282,0.020733154928901,0.4025641025641026,10.0,10.0,410,,830,10.0,10,10
vol_signal_5d,single_factor,vol_signal_5d,5-Day Volume Signal,5 日量能訊號,volume,1,['volume_surge'],"{'status': 'mapped', 'source': 'finlab_ohlcv_or_finlab_dataset'}",ok,0.102,0.042742312506867775,0.13439792713012827,2.051505419137273,0.14951684631966256,-0.28164314821984926,0.20766448599252746,0.4542490310240035,0.15175513846379773,0.40310077519379844,10.0,10.0,410,,830,10.0,10,10
vol_money_flow_5d,single_factor,vol_money_flow_5d,5-Day Money Flow Premium,5 日資金溢價,volume,1,['volume_price'],"{'status': 'mapped', 'source': 'finlab_ohlcv_or_finlab_dataset'}",ok,0.102,0.12963569224946858,0.2660194351010013,3.0526442781732004,0.5005274587131929,-0.3585890746741285,0.4988170220041379,1.038480206834492,0.3615059307313413,0.42118863049095606,10.0,10.0,410,,830,10.0,10,10
vol_cv_volprice_20d,single_factor,vol_cv_volprice_20d,20-Day CV of Volume-to-Price,20 日量價變異係數,volume,-1,"['volatility', 'volume']","{'status': 'mapped', 'source': 'finlab_ohlcv_or_finlab_dataset'}",ok,0.098,0.09970890251396014,0.17542025916346254,1.6946289553032035,0.372217491682568,-0.20360167261761086,0.570571423399832,1.285000992601167,0.48970130853557003,0.5076923076923077,10.0,10.0,407,,830,10.0,10,10
vola_realized_1m,single_factor,vola_realized_1m,1-Month Realized Volatility (annualized),1 月實現波動率,volatility,-1,"['risk', 'low_vol']","{'status': 'mapped', 'source': 'finlab_ohlcv_or_finlab_dataset'}",ok,0.096,0.0014554661178258765,0.02223199618585739,0.4650360395337763,0.004853795269286421,-0.10953273443592015,-0.3652974864331864,-0.7376498788106443,0.013286742615296764,0.4536082474226804,10.0,10.0,403,,830,10.0,10,10
vola_realized_12m,single_factor,vola_realized_12m,12-Month Realized Volatility (annualized),12 月實現波動率,volatility,-1,"['risk', 'low_vol']","{'status': 'mapped', 'source': 'finlab_ohlcv_or_finlab_dataset'}",ok,0.099,0.028715904846702722,0.04052581457892066,0.26433834866258676,0.09883972998410107,-0.038856746034228395,0.24180225413421197,0.4998033023065354,0.7388296622880075,0.5244215938303342,10.0,10.0,402,,830,10.0,10,10
liq_amihud_21d,single_factor,liq_amihud_21d,Amihud Illiquidity (21-day),Amihud 流動性折價,volatility,1,"['liquidity', 'amihud']","{'status': 'mapped', 'source': 'finlab_ohlcv_or_finlab_dataset'}",ok,0.099,0.13413000660068253,0.22446021917002917,2.0218392660345264,0.520494950471982,-0.09594553895195734,0.8180864148752743,1.983466220400527,1.3978349563315802,0.44385026737967914,10.0,10.0,403,,830,10.0,10,10
vola_cv_90d,single_factor,vola_cv_90d,90-Day Price Coefficient of Variation,90 日股價變異係數,volatility,-1,"['volatility', 'stability']","{'status': 'mapped', 'source': 'finlab_ohlcv_or_finlab_dataset'}",ok,0.098,0.034733245188884876,0.05694025355475463,0.49705408875024687,0.1203845533380481,-0.059122098670509216,0.2985840348573276,0.645804057783289,0.5873839415445488,0.5076923076923077,10.0,10.0,403,,830,10.0,10,10
vola_min_130d,single_factor,vola_min_130d,130-Day Minimum Daily Return,130 日最大單日跌幅,volatility,1,['tail_risk'],"{'status': 'mapped', 'source': 'finlab_ohlcv_or_finlab_dataset'}",ok,0.099,0.04472047870094298,0.06837960747788764,0.529556548144633,0.15679303129506117,-0.05754522601735301,0.484704606324487,0.9723220569239226,0.7770011829587754,0.506426735218509,10.0,10.0,404,,830,10.0,10,10
val_ep,single_factor,val_ep,Earnings to Price (= 1/PER),盈餘股價比 (E/P),valuation,1,['value'],"{'status': 'mapped', 'source': 'finlab_ohlcv_or_finlab_dataset'}",ok,0.098,-0.07666440723457457,-0.0012054125282074252,1.6889803990630428,-0.2332139838593037,-0.3554148621154256,-0.6560530773208646,-0.9925933495298356,-0.21569793057886172,0.38320209973753283,10.0,10.0,401,,830,10.0,10,10
val_bp,single_factor,val_bp,Book to Price (= 1/PBR),淨值股價比 (B/P),valuation,1,"['value', 'fama_french']","{'status': 'mapped', 'source': 'finlab_ohlcv_or_finlab_dataset'}",ok,0.097,-0.1187587754632291,-0.07299635017814768,1.0242892795067637,-0.34354015234426294,-0.4014129365522099,-0.8787486104652822,-1.3472654413903096,-0.29584451870946615,0.3798449612403101,10.0,10.0,401,,830,10.0,10,10
val_sp,single_factor,val_sp,Sales to Price (= 1/PSR),營收股價比 (S/P),valuation,1,['value'],"{'status': 'mapped', 'source': 'finlab_ohlcv_or_finlab_dataset'}",ok,0.101,0.3170664797984333,0.3735162532272173,1.2635016040668445,1.5015035334670142,-0.12432960015229066,1.5667947443236199,5.821200672723778,2.5500040165007083,0.49742268041237114,10.0,10.0,402,,830,10.0,10,10
val_dp,single_factor,val_dp,Dividend Yield,股息殖利率 (D/P),valuation,1,"['value', 'income']","{'status': 'mapped', 'source': 'finlab_ohlcv_or_finlab_dataset'}",ok,0.097,-0.023108074953934632,0.04165140694684488,1.4494957958228076,-0.07488278214128907,-0.310270422703245,-0.24462121814906826,-0.5082504132342214,-0.07447480815131995,0.45103092783505155,10.0,10.0,401,,830,10.0,10,10
size_log_mktcap,single_factor,size_log_mktcap,Log Market Capitalization,市值對數 (Size),size,-1,"['size', 'fama_french']","{'status': 'mapped', 'source': 'finlab_ohlcv_or_finlab_dataset'}",ok,0.096,0.27022174825020673,0.35980324222165905,2.0050808790300576,1.2173718899700638,-0.09128895395720704,1.3503703562114766,3.582949666670399,2.9597463775637896,0.4483695652173913,10.0,10.0,402,,830,10.0,10,10
tech_kd9_k,single_factor,tech_kd9_k,9-Day Stochastic K,KD(9) K 值,technical,1,"['oscillator', 'taiwan_retail']","{'status': 'mapped', 'source': 'finlab_ohlcv_or_finlab_dataset'}",ok,0.186,0.24764986099318276,0.33727949809968677,2.0061584551595595,1.088884579403842,-0.29677640641030145,0.8913395764266677,2.835953483387794,0.834438018872103,0.48186528497409326,10.0,10.0,410,,830,10.0,10,10
tech_bbands_pctb_20,single_factor,tech_bbands_pctb_20,Bollinger Bands %B (20-Day),布林通道 %B,technical,1,"['volatility_band', 'taiwan_retail']","{'status': 'mapped', 'source': 'finlab_ohlcv_or_finlab_dataset'}",ok,0.103,0.1483565003945191,0.21022248989807302,1.3847314564253763,0.5849262389549927,-0.2774755313148214,0.7211268094531443,1.5138295921289777,0.5346458955591494,0.4318766066838046,10.0,10.0,410,,830,10.0,10,10
tech_bias_20,single_factor,tech_bias_20,20-Day BIAS,20 日乖離率,technical,-1,"['mean_reversion', 'taiwan_retail']","{'status': 'mapped', 'source': 'finlab_ohlcv_or_finlab_dataset'}",ok,0.1,0.10057153058220614,0.22043122154732475,2.682790427643453,0.37580430561205835,-0.4413025171764722,0.440214585628417,0.9769995047524218,0.22789186045676915,0.48195876288659795,10.0,10.0,408,,830,10.0,10,10
tech_granville_score,single_factor,tech_granville_score,Granville MA60/200 Trend Score,葛蘭碧 MA 趨勢評分,technical,1,"['trend', 'taiwan_retail', 'regime_aware']","{'status': 'mapped', 'source': 'finlab_ohlcv_or_finlab_dataset'}",ok,0.103,0.3510467771211254,0.48890627067758186,3.085675648710515,1.7228976596848264,-0.4565099408510582,1.0747948559140006,2.3624453439790276,0.7689626360388407,0.4896907216494845,10.0,10.0,404,,830,10.0,10,10
tech_limit_up_streak_10,single_factor,tech_limit_up_streak_10,10-Day Limit-Up Count,10 日漲停次數,event,-1,"['taiwan_retail', 'event_factor']","{'status': 'mapped_proxy', 'source': 'OHLCV price-limit proxy', 'caveat': 'No per-symbol AlphaBuilders limit_fg/limo_fg; reconstructed with +/-9.5% and narrow range.'}",ok,0.098,-0.007155641127608803,0.022322975739044848,0.6598127403235325,-0.02362485134238801,-0.18051310455056135,-0.2304396192707522,-0.4652696707886763,-0.039638367318265526,0.4329896907216495,10.0,10.0,401,,830,10.0,10,10
tech_sma_20_pos,single_factor,tech_sma_20_pos,20-Day SMA Position,20 日均線位置,technical,1,"['trend', 'ma']","{'status': 'mapped', 'source': 'finlab_ohlcv_or_finlab_dataset'}",ok,0.136,0.22407244983492536,0.3456227481381352,2.720630882153327,0.9603328025962059,-0.34984646541159825,0.7552470944805161,1.749859476937298,0.6404696553808407,0.47164948453608246,10.0,10.0,408,,830,10.0,10,10
