api_key,namespace,field,group,dataset_lane,market,adoption_priority,stockvision_use,raw_rows,raw_cols,overlap_cols,coverage,avg_rank_std,status,error
fundamental_features:營業利益,fundamental_features,營業利益,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9356022095024616,0.2888032700884463,backtestable,
fundamental_features:EBITDA,fundamental_features,EBITDA,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9364327742865148,0.28880315674216095,backtestable,
fundamental_features:營運現金流,fundamental_features,營運現金流,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9364327742865148,0.2888031566787699,backtestable,
fundamental_features:歸屬母公司淨利,fundamental_features,歸屬母公司淨利,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9364327742865148,0.28880315644813487,backtestable,
fundamental_features:折舊,fundamental_features,折舊,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9362906776608093,0.2888031751560344,backtestable,
fundamental_features:流動資產,fundamental_features,流動資產,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9065324420606012,0.28880738065587724,backtestable,
fundamental_features:流動負債,fundamental_features,流動負債,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9065324420606012,0.288807380731452,backtestable,
fundamental_features:取得不動產廠房及設備,fundamental_features,取得不動產廠房及設備,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.934629548092703,0.28879731498010947,backtestable,
fundamental_features:經常稅後淨利,fundamental_features,經常稅後淨利,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9356022095024616,0.28880327012897106,backtestable,
fundamental_features:ROA稅後息前,fundamental_features,ROA稅後息前,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9347716447184086,0.2888033845154838,backtestable,
fundamental_features:ROA綜合損益,fundamental_features,ROA綜合損益,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9356022095024616,0.28880327063352124,backtestable,
fundamental_features:ROE稅後,fundamental_features,ROE稅後,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9356022095024616,0.28880327063352124,backtestable,
fundamental_features:ROE綜合損益,fundamental_features,ROE綜合損益,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9347716447184086,0.2888033845154838,backtestable,
fundamental_features:稅前息前折舊前淨利率,fundamental_features,稅前息前折舊前淨利率,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9354160829363968,0.28880329525102577,backtestable,
fundamental_features:營業毛利率,fundamental_features,營業毛利率,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9354160829363968,0.2888032932273381,backtestable,
fundamental_features:營業利益率,fundamental_features,營業利益率,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9345855181523436,0.28880340917599717,backtestable,
fundamental_features:稅前淨利率,fundamental_features,稅前淨利率,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9354160829363968,0.28880329525102577,backtestable,
fundamental_features:稅後淨利率,fundamental_features,稅後淨利率,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9345855181523436,0.28880340917599717,backtestable,
fundamental_features:業外收支營收率,fundamental_features,業外收支營收率,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9063463154945363,0.28880740692406565,backtestable,
fundamental_features:貝里比率,fundamental_features,貝里比率,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.9364327742865148,0.2888031568628935,backtestable,
fundamental_features:營業費用率,fundamental_features,營業費用率,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106.0,2832.0,1150.0,0.934738622263139,0.28880338877553186,backtestable,
