id,kind,api_key,namespace,field,group,dataset_lane,market,adoption_priority,stockvision_use,raw_rows,raw_cols,overlap_cols,coverage,avg_rank_std,status,direction_mode,direction,elapsed_s,cagr,benchmark_alpha,benchmark_beta,total_return,max_drawdown,monthly_sharpe,monthly_sortino,calmar,win_ratio,avg_n_stock,max_n_stock,trade_count,match_days,avg_daily_matches,max_daily_matches,latest_matches,selection_note
finlab701_financial_statement_財務成本_high,finlab701_single,financial_statement:財務成本,financial_statement,財務成本,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9347716447184086,0.2887889599385823,ok,high,1,0.083,0.4499744219426136,0.5165968134616554,1.4911928505306637,2.445126182578246,-0.14908222061398868,1.919450434494452,6.3690542574938735,3.0180945732080295,0.6076923076923076,10.0,10.0,400,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_營業費用_high,finlab701_single,financial_statement:營業費用,financial_statement,營業費用,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.2888031563852366,ok,high,1,0.077,0.44280343298657154,0.510264251361256,1.5099591557370673,2.388728135473577,-0.085244827606064,1.9121527812762096,7.56532817680451,5.193881043694421,0.6358974358974359,10.0,10.0,402,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_營業毛利_high,finlab701_single,financial_statement:營業毛利,financial_statement,營業毛利,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.28880315631230496,ok,high,1,0.09,0.4522389516344878,0.5158176481657434,1.4230665629343053,2.463071696950128,-0.0681530908041984,1.8932542998309072,7.521476938973373,6.634660287538382,0.6307692307692307,10.0,10.0,401,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_研究發展費_high,finlab701_single,financial_statement:研究發展費,financial_statement,研究發展費,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9339410799343554,0.28683450332172167,ok,high,1,0.076,0.6212965835511346,0.713632520894739,2.066732917782988,3.9966588680152295,-0.10006986248427974,1.8875440231205975,7.303862174293917,6.208007966125314,0.6410256410256411,10.0,10.0,400,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_繼續營業單位損益_high,finlab701_single,financial_statement:繼續營業單位損益,financial_statement,繼續營業單位損益,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.28880315645046606,ok,high,1,0.07,0.4711358100708778,0.5423311762153016,1.5935486337972948,2.6153807778988756,-0.07428056062840815,1.849302078702925,6.879364946517167,6.341799093796568,0.6358974358974359,10.0,10.0,401,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_現金及約當現金_high,finlab701_single,financial_statement:現金及約當現金,financial_statement,現金及約當現金,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.28880315685507896,ok,high,1,0.063,0.45120108924726665,0.518466962874217,1.505595754672629,2.454838945139766,-0.09220602615032614,1.8460564628397778,6.791494516488968,4.892870665579759,0.6205128205128205,10.0,10.0,401,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_資產負債表帳列之現金及約當現金_high,finlab701_single,financial_statement:資產負債表帳列之現金及約當現金,financial_statement,資產負債表帳列之現金及約當現金,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.2888031568344883,ok,high,1,0.077,0.45120108924726665,0.518466962874217,1.505595754672629,2.454838945139766,-0.09220602615032614,1.8460564628397778,6.791494516488968,4.892870665579759,0.6205128205128205,10.0,10.0,401,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_本期稅前淨利_淨損_high,finlab701_single,financial_statement:本期稅前淨利_淨損,financial_statement,本期稅前淨利_淨損,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.2888031563716889,ok,high,1,0.076,0.5050955897135225,0.5776451632847404,1.6238595305832964,2.900776443416839,-0.06900618485652621,1.8452229641114242,7.365168544838522,7.318509285373233,0.6358974358974359,10.0,10.0,402,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_稅前淨利_high,finlab701_single,financial_statement:稅前淨利,financial_statement,稅前淨利,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.28880315629750186,ok,high,1,0.083,0.5050955897135225,0.5776451632847404,1.6238595305832964,2.900776443416839,-0.06900618485652621,1.8452229641114242,7.365168544838522,7.318509285373233,0.6358974358974359,10.0,10.0,402,830,10.0,10,10,best_of_high_low_in_sample_research_only
finlab701_financial_statement_繼續營業單位稅前淨利_淨損_high,finlab701_single,financial_statement:繼續營業單位稅前淨利_淨損,financial_statement,繼續營業單位稅前淨利_淨損,fundamentals,fundamental_factor_diversity,tw,P0,"quality, value, growth, profitability, balance-sheet factors",106,2832,1150,0.9364327742865148,0.288803156319526,ok,high,1,0.077,0.5050955897135225,0.5776451632847404,1.6238595305832964,2.900776443416839,-0.06900618485652621,1.8452229641114242,7.365168544838522,7.318509285373233,0.6358974358974359,10.0,10.0,402,830,10.0,10,10,best_of_high_low_in_sample_research_only
