id,kind,feature_id,feature_group,direction_mode,direction,coverage,avg_rank_std,status,elapsed_s,cagr,benchmark_alpha,benchmark_beta,total_return,max_drawdown,monthly_sharpe,monthly_sortino,calmar,win_ratio,avg_n_stock,max_n_stock,trade_count,avg_turnover_proxy,match_days,avg_daily_matches,max_daily_matches,latest_matches,selection_note
ml106_atr14_high,ml_feature_single,atr14,other,high,1,0.8490103270223752,0.2888163048479708,ok,0.076,0.6210741648358218,0.737253797631865,2.6004205771151274,3.994377147100727,-0.1482879342068143,1.6696966482004338,5.2657425847224575,4.188016294075142,0.5743589743589743,10.0,10.0,400,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_bb_upper_raw_high,ml_feature_single,bb_upper_raw,price_technical,high,1,0.8490103270223752,0.2888164320424432,ok,0.081,0.5126904764645852,0.6226687641320334,2.4616173713372103,2.9666941495908983,-0.15124244383897734,1.4447914810374534,4.403040954621825,3.389634332192299,0.5717948717948718,10.0,10.0,400,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_vwap_5d_high,ml_feature_single,vwap_5d,price_technical,high,1,0.8490103270223752,0.288816421322183,ok,0.094,0.476211829919148,0.5811685158680095,2.349220076520377,2.6570784937891094,-0.1431756210440316,1.3766248040317033,4.1409591984904575,3.3258355583952537,0.5717948717948718,10.0,10.0,400,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_WVMA_high,ml_feature_single,WVMA,price_technical,high,1,0.8490103270223752,0.28881643095061704,ok,0.076,0.46256891528876976,0.5638449888874896,2.2668378218915137,2.5457629727853313,-0.1496934683311124,1.339321266074035,4.034297558121351,3.0899011255080953,0.5717948717948718,10.0,10.0,400,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_bb_lower_raw_high,ml_feature_single,bb_lower_raw,price_technical,high,1,0.8490103270223752,0.2888164320424432,ok,0.08,0.46163260808756545,0.5755976334861967,2.550851556213065,2.538211507100893,-0.1346403182765623,1.321298763700008,4.084643434906701,3.4283811133621267,0.5666666666666667,10.0,10.0,401,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_margin_balance_high,ml_feature_single,margin_balance,price_technical,high,1,0.8490103270223752,0.288760062531955,ok,0.083,0.5063645703205581,0.6550672367147269,3.3283757596490924,2.9117364723974934,-0.21257522319569955,1.22696275209144,4.166344318125814,2.3819368190723877,0.4910025706940874,10.0,10.0,402,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_macdHist_high,ml_feature_single,macdHist,price_technical,high,1,0.8490103270223752,0.28881643207292346,ok,0.076,0.3413580402574554,0.4356795831277098,2.1111762452859972,1.658430178772483,-0.27697274185416154,1.1633881365923053,2.8414390977521085,1.2324162797016036,0.5564102564102564,10.0,10.0,408,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_VSTD_10_high,ml_feature_single,VSTD_10,price_technical,high,1,0.8490103270223752,0.28881643095061704,ok,0.082,0.45209574121977303,0.5962860535421113,3.2273768315476703,2.461934877549271,-0.2988423208512888,1.1223061933613447,4.3958503799826225,1.5127730644084216,0.4884318766066838,10.0,10.0,406,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_BETA_20_high,ml_feature_single,BETA_20,price_technical,high,1,0.8490103270223752,0.2888164260162793,ok,0.073,0.425641304032494,0.5004384835961332,1.674167151043772,2.256380000759726,-0.301039073183064,1.117169003561477,3.296425104609598,1.4138602040261625,0.5012853470437018,10.0,10.0,409,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_linear_factor_high,ml_feature_single,linear_factor,price_technical,high,1,0.8490103270223752,0.2888164075490153,ok,0.09,0.1855357357240095,0.17890804365908894,-0.14834602597392313,0.7622950203600678,-0.17396684163742504,1.1061957119556522,2.673590697637504,1.0664392684554744,0.4461942257217848,10.0,10.0,409,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_CNTP_20_high,ml_feature_single,CNTP_20,price_technical,high,1,0.8490103270223752,0.2857676999676648,ok,0.071,0.30592841961204087,0.3820106505810754,1.7029301453554009,1.4317664108029704,-0.25390602450591016,1.0992342163780773,2.592876556314202,1.2048409319866302,0.4717948717948718,10.0,10.0,408,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_RSQR_20_high,ml_feature_single,RSQR_20,price_technical,high,1,0.8490103270223752,0.28881642517861356,ok,0.087,0.1997830109927048,0.2522099191412553,1.1734587850122675,0.8337952194969316,-0.1815529209271679,1.0360543005281957,2.628319895575187,1.1003513821681998,0.4909560723514212,10.0,10.0,409,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_VSTD_20_high,ml_feature_single,VSTD_20,price_technical,high,1,0.8490103270223752,0.28881642626678006,ok,0.083,0.37778283174368776,0.5431088204489949,3.7004515560478426,1.9064597413606776,-0.3857193705359393,0.9863925106786208,3.204547364137826,0.9793986680837643,0.4910025706940874,10.0,10.0,403,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_margin_change_5d_ts_high,ml_feature_single,margin_change_5d_ts,price_technical,high,1,0.8490103270223752,0.2886623313096277,ok,0.083,0.1749601967092007,0.22906075121910968,1.2109196060886276,0.7104994773305888,-0.12932851881860463,0.9822929877882141,2.5732116748901235,1.3527307897702137,0.46770025839793283,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_CNTD_20_high,ml_feature_single,CNTD_20,price_technical,high,1,0.8490103270223752,0.28827877250336564,ok,0.083,0.2472665278244479,0.31132462641805303,1.4337969031638553,1.0867486540811244,-0.25629887146885666,0.9807318275518376,2.490226793657978,0.9647209103899181,0.46923076923076923,10.0,10.0,409,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_dealer_5d_high,ml_feature_single,dealer_5d,chip_margin_flow,high,1,0.8490103270223752,0.2886687480042133,ok,0.076,0.2894298532652284,0.45303430173888193,3.6619187380746427,1.3309825604021643,-0.20927158948899727,0.9709308831190746,2.551662587689878,1.382968535225335,0.5025773195876289,10.0,10.0,407,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_RESI_5_high,ml_feature_single,RESI_5,price_technical,high,1,0.8490103270223752,0.28881553112102076,ok,0.08,0.26426723249716555,0.3745533680152505,2.468507855203889,1.1829546342641808,-0.3623048814335177,0.9357175669691824,2.1062495683680917,0.7293855318654825,0.42010309278350516,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_BETA_10_high,ml_feature_single,BETA_10,price_technical,high,1,0.8490103270223752,0.28881642988907735,ok,0.09,0.27129986416789365,0.39329902074439527,2.7306775681514304,1.223643759887688,-0.34176498090250684,0.912285441422384,2.3171166868335407,0.7937967356518802,0.48717948717948717,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_foreign_5d_high,ml_feature_single,foreign_5d,chip_margin_flow,high,1,0.8490103270223752,0.28881626202808025,ok,0.076,0.25113361524038624,0.3582219254601101,2.3969317062030058,1.1083661655644579,-0.3264120588582371,0.9002877246825243,2.5461565922300364,0.769352463858614,0.4461538461538462,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_BETA_60_high,ml_feature_single,BETA_60,price_technical,high,1,0.8490103270223752,0.288816344624535,ok,0.084,0.3087620950703849,0.4911971326620377,4.083399252715347,1.4493777787314288,-0.36712903584776246,0.8968900829719888,2.3285450278797044,0.840995004405949,0.45384615384615384,10.0,10.0,405,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_KMID_high,ml_feature_single,KMID,price_technical,high,1,0.8490103270223752,0.28853128641534825,ok,0.085,0.2482570719195467,0.39851387922957004,3.3631617192881547,1.0922710771442166,-0.3352650538468207,0.8947735732653767,2.206000356977668,0.7404579287099885,0.43523316062176165,10.0,10.0,409,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_rsi5_dulling_high,ml_feature_single,rsi5_dulling,price_technical,high,1,0.8490103270223752,0.14827629365426026,ok,0.09,0.20600276746850787,0.2908458043334051,1.8990211414743852,0.8656360941742214,-0.2742616335979161,0.88805152574192,2.0156700143158317,0.7510903142484986,0.4794871794871795,10.0,10.0,409,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_dealer_ratio_5d_high,ml_feature_single,dealer_ratio_5d,chip_margin_flow,high,1,0.8490103270223752,0.2885727734899081,ok,0.073,0.18074375127123044,0.202349949273685,0.4836062959283234,0.7386914793275525,-0.11700189622202894,0.8832378493725097,2.6380045188166807,1.5446613302315084,0.43444730077120824,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_rsi14_high,ml_feature_single,rsi14,price_technical,high,1,0.8490103270223752,0.2888145601511429,ok,0.076,0.23750208742165713,0.3283687835464584,2.033847247496623,1.0328549977201718,-0.24000349075938632,0.8591419048345269,2.5414076721741954,0.9895364076003258,0.4524421593830334,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
ml106_chip_5d_high,ml_feature_single,chip_5d,chip_margin_flow,high,1,0.8490103270223752,0.2888162874095662,ok,0.076,0.2439313920824555,0.36831319620398384,2.784007790970933,1.0682297710297384,-0.3426538194333647,0.8587894339174001,2.139627319261692,0.7118679540951391,0.441025641025641,10.0,10.0,410,,830,10.0,10,10,best_of_high_low_in_sample_research_only
