id,kind,feature_id,feature_group,direction_mode,direction,coverage,avg_rank_std,status,elapsed_s,cagr,benchmark_alpha,benchmark_beta,total_return,max_drawdown,monthly_sharpe,monthly_sortino,calmar,win_ratio,avg_n_stock,max_n_stock,trade_count,avg_turnover_proxy,match_days,avg_daily_matches,max_daily_matches,latest_matches
ml106_return_1d_high,ml_feature_single,return_1d,price_technical,high,1,0.8490103270223752,0.288813127282693,ok,5.352,0.2124090819322133,0.3019299195214415,2.003723221920353,0.8988343285902873,-0.2568702205599628,0.8281103637579877,1.850319978461406,0.8268798643554235,0.41494845360824745,10.0,10.0,410,,830,10.0,10,10
ml106_return_1d_low,ml_feature_single,return_1d,price_technical,low,-1,0.8490103270223752,0.288813127282693,ok,0.076,0.009608652331607015,0.09447007235394732,1.899432607234229,0.032348878558401406,-0.4897447986671297,0.05883823757561549,0.13142683133938288,0.019619312271685774,0.39845758354755784,10.0,10.0,410,,830,10.0,10,10
ml106_return_3d_high,ml_feature_single,return_3d,price_technical,high,1,0.8490103270223752,0.288815356089517,ok,0.084,0.07626940108997404,0.13649546885499927,1.3480254854122344,0.2772391391161022,-0.2999571493520742,0.3430426247067957,0.701556767731155,0.2542591788958062,0.38917525773195877,10.0,10.0,410,,830,10.0,10,10
ml106_return_3d_low,ml_feature_single,return_3d,price_technical,low,-1,0.8490103270223752,0.288815356089517,ok,0.077,-0.023275216942698185,0.025941108197879842,1.1015970832876167,-0.07540963897819097,-0.3487967574459159,-0.21277924351591984,-0.3755121873235071,-0.06672811362121364,0.42118863049095606,10.0,10.0,410,,830,10.0,10,10
ml106_return_5d_high,ml_feature_single,return_5d,price_technical,high,1,0.8490103270223752,0.2888163295512891,ok,0.078,-0.011256097664674836,0.07264353823460605,1.8779052261937266,-0.036985299006104255,-0.337748082314519,-0.03920552332232156,-0.074654588361358,-0.03332591654814407,0.3756476683937824,10.0,10.0,410,,830,10.0,10,10
ml106_return_5d_low,ml_feature_single,return_5d,price_technical,low,-1,0.8490103270223752,0.2888163295512891,ok,0.083,-0.00576608675708401,0.08110727088508256,1.944465319600022,-0.01906802810279995,-0.3449421834892563,-0.06454180155887673,-0.1057772961075459,-0.016715611708147362,0.43041237113402064,10.0,10.0,410,,830,10.0,10,10
ml106_return_10d_high,ml_feature_single,return_10d,price_technical,high,1,0.8490103270223752,0.2888164073949652,ok,0.076,-0.014858633306774838,0.09445561561036125,2.446754352848049,-0.0486173674486704,-0.3543467499986809,-0.006058617222609759,-0.013143461175269289,-0.04193128339400943,0.3772609819121447,10.0,10.0,410,,830,10.0,10,10
ml106_return_10d_low,ml_feature_single,return_10d,price_technical,low,-1,0.8490103270223752,0.2888164073949652,ok,0.077,-0.005087557102490647,0.12334966894070276,2.8747793174440304,-0.016837500263488514,-0.4323414483227167,-0.02483323984906773,-0.04241992288948067,-0.01176717950692091,0.42783505154639173,10.0,10.0,410,,830,10.0,10,10
ml106_volatility_5d_high,ml_feature_single,volatility_5d,price_technical,high,1,0.8490103270223752,0.2888144032019893,ok,0.077,-0.05973880112203289,0.014466538590318323,1.6609201430217369,-0.18541155585693703,-0.39442668816177684,-0.4429974976037603,-0.780815016379088,-0.15145345987067824,0.36246786632390743,10.0,10.0,409,,830,10.0,10,10
ml106_volatility_5d_low,ml_feature_single,volatility_5d,price_technical,low,-1,0.8490103270223752,0.2888144032019893,ok,0.082,0.06953433513360352,0.1624028388647208,2.078653222223951,0.25082304652289245,-0.20063089471742568,0.3253250274601661,0.6994171487288614,0.34656112968162744,0.4496124031007752,10.0,10.0,410,,830,10.0,10,10
