scenario_id,period_start,period_end,removed_id,added_id,strategy_count,portfolio_cagr,portfolio_sharpe,portfolio_MOD,portfolio_total_return,worst_month,monthly_hit_rate,avg_daily_turnover,avg_gross_exposure,latest_gross_exposure,avg_unique_positions,latest_unique_positions,avg_effective_positions,baseline_return_corr,baseline_latest_jaccard,baseline_all_period_jaccard,baseline_position_phi_corr,period_label,fee_tax_cost
baseline_active11,2023-01-01,2026-06-15,,,11,0.0001413472468072552,0.08851555650209454,-0.368430779784499,0.00046562394191940193,-0.1020922074460151,0.5,0.25957170560877585,0.9995618838992334,0.9999999999999997,1304.5698795180722,1333,458.4558561630974,1.0,1.0,1.0,1.0,base_2023_2026,0.004425
replace_trend_following_with_s2,2023-01-01,2026-06-15,trend_following_seed_v1,stock_tech_s02_52w_dual_momentum_v1,11,0.018846618831496187,0.19484863837898608,-0.3588165640754437,0.06342675750833182,-0.10298562675061185,0.47619047619047616,0.25012078415686834,0.9829134720700985,0.9999999999999991,1302.301204819277,1328,363.738770669413,0.9902878951207655,0.9932584269662922,0.9959218199697065,0.9950244796902926,base_2023_2026,0.004425
replace_breakout_vol_expansion_with_s2,2023-01-01,2026-06-15,breakout_vol_expansion_seed_v1,stock_tech_s02_52w_dual_momentum_v1,11,0.014130275351094124,0.16876905102986825,-0.3602874896380692,0.047298974670248795,-0.10257905388986654,0.4523809523809524,0.24969863249870713,0.9829134720700988,0.999999999999999,1306.0987951807228,1335,365.818230363472,0.9898351947167385,0.998501872659176,0.9988294027463374,0.9985712959718953,base_2023_2026,0.004425
replace_weakest_trend_breakout_with_s2,2023-01-01,2026-06-15,alpha_miner_pymoo_nsga3_novelty_0187,stock_tech_s02_52w_dual_momentum_v1,11,0.0675371417044186,0.4571517260712467,-0.3434376141544683,0.24017699331261322,-0.0994529701868212,0.5,0.2160588409753058,0.9829134720700989,1.0000000000000002,1256.666265060241,1289,344.9192746338262,0.9892192063720429,0.9640449438202248,0.9609819364575088,0.9536797586190408,base_2023_2026,0.004425
baseline_active11,2020-01-01,2026-06-15,,,11,-0.0737218175438713,-0.3283824529961908,-0.5146983983652818,-0.37848194139205305,-0.21996466731146802,0.47435897435897434,0.26267330580136267,0.9993029334882371,0.9999999999999997,1240.826837060703,1333,458.3220907133747,1.0,1.0,1.0,1.0,robust_2020_2026,0.004425
replace_trend_following_with_s2,2020-01-01,2026-06-15,trend_following_seed_v1,stock_tech_s02_52w_dual_momentum_v1,11,-0.05618746937008923,-0.21372177551378513,-0.4796914056736925,-0.30171539641100475,-0.2014260310529381,0.46153846153846156,0.25238298740565435,0.9782747603833866,0.9999999999999991,1238.7571884984025,1328,370.26274037601536,0.9903540619791226,0.9932584269662922,0.9960244612139358,0.995467538959364,robust_2020_2026,0.004425
replace_breakout_vol_expansion_with_s2,2020-01-01,2026-06-15,breakout_vol_expansion_seed_v1,stock_tech_s02_52w_dual_momentum_v1,11,-0.05875351489768477,-0.23082844698402638,-0.4858971569417432,-0.313422505338525,-0.19956611201274377,0.44871794871794873,0.2519191044575349,0.9782747603833866,0.999999999999999,1242.2600638977635,1335,372.7694400071968,0.9898405361478542,0.998501872659176,0.9988442184432286,0.9986821318517173,robust_2020_2026,0.004425
replace_weakest_trend_breakout_with_s2,2020-01-01,2026-06-15,alpha_miner_pymoo_nsga3_novelty_0187,stock_tech_s02_52w_dual_momentum_v1,11,-0.01986159598038817,-0.014440792309466625,-0.4180638498141269,-0.11713962230845465,-0.19685907797768298,0.5128205128205128,0.21871611437512575,0.9782747603833869,1.0000000000000002,1197.550159744409,1289,349.77773868964863,0.9893675953084079,0.9640449438202248,0.9628534790979452,0.9585782311519314,robust_2020_2026,0.004425
baseline_active11,2023-01-01,2026-06-15,,,11,-0.27911050332117193,-1.7927792105484848,-0.7150463089072219,-0.659694377830113,-0.12647384766248904,0.23809523809523808,0.25957170560877585,0.9995618838992334,0.9999999999999997,1304.5698795180722,1333,458.4558561630974,0.9999999999999999,1.0,1.0,1.0,base_2023_2026_cost_plus_50bps,0.009425
replace_trend_following_with_s2,2023-01-01,2026-06-15,trend_following_seed_v1,stock_tech_s02_52w_dual_momentum_v1,11,-0.2567762843591541,-1.5675803716151264,-0.6895313929843871,-0.6237185284374207,-0.12632452533672034,0.2857142857142857,0.25012078415686834,0.9829134720700985,0.9999999999999991,1302.301204819277,1328,363.738770669413,0.9903023117986851,0.9932584269662922,0.9959218199697065,0.9950244796902926,base_2023_2026_cost_plus_50bps,0.009425
replace_breakout_vol_expansion_with_s2,2023-01-01,2026-06-15,breakout_vol_expansion_seed_v1,stock_tech_s02_52w_dual_momentum_v1,11,-0.25982457881666887,-1.603139956753159,-0.6922832307263292,-0.6287777509932331,-0.12590510860210558,0.2857142857142857,0.24969863249870713,0.9829134720700988,0.999999999999999,1306.0987951807228,1335,365.818230363472,0.9898362099708454,0.998501872659176,0.9988294027463374,0.9985712959718953,base_2023_2026_cost_plus_50bps,0.009425
replace_weakest_trend_breakout_with_s2,2023-01-01,2026-06-15,alpha_miner_pymoo_nsga3_novelty_0187,stock_tech_s02_52w_dual_momentum_v1,11,-0.18703793731847262,-1.0692545701400042,-0.6114647468497068,-0.4944048437456451,-0.11981154611816924,0.30952380952380953,0.2160588409753058,0.9829134720700989,1.0000000000000002,1256.666265060241,1289,344.9192746338262,0.9892478429029345,0.9640449438202248,0.9609819364575088,0.9536797586190408,base_2023_2026_cost_plus_50bps,0.009425
