id,kind,factor_id,source,category,direction_mode,direction,declared_direction,is_declared_direction,coverage,status,elapsed_s,cagr,benchmark_alpha,benchmark_beta,total_return,max_drawdown,monthly_sharpe,monthly_sortino,calmar,win_ratio,avg_n_stock,max_n_stock,trade_count,avg_turnover_proxy,match_days,avg_daily_matches,max_daily_matches,latest_matches
strategy95_l1_bbBandwidthPct_high,strategy95_factor_single,l1_bbBandwidthPct,stockvision_l1,l1_signal,high,1,1.0,1,0.8289877116439178,ok,4.412,0.2581690348360681,0.34365523557324973,1.9134169226254658,1.1480960790780097,-0.37395649218906424,0.8111671035415022,2.233431485089618,0.6903533878793263,0.47164948453608246,10.0,10.0,409,,830,10.0,10,10
strategy95_l1_bbBandwidthPct_low,strategy95_factor_single,l1_bbBandwidthPct,stockvision_l1,l1_signal,low,-1,1.0,0,0.8289877116439178,ok,1.166,0.024147650416054933,0.039790311692226674,0.3501258980118278,0.08267810264336273,-0.1044861210546455,0.10230779566517462,0.20811606216927722,0.23108657213627187,0.480719794344473,10.0,10.0,406,,830,10.0,10,10
strategy95_l1_brokerConcentration_high,strategy95_factor_single,l1_brokerConcentration,stockvision_l1,l1_signal,high,1,-1.0,0,0.8485880398671096,ok,1.643,-0.006893431206677403,0.12049523737930962,2.8513097098855935,-0.022766111551409507,-0.351259248680885,-0.07115019889508023,-0.11470860686956413,-0.01962435149835683,0.4282051282051282,10.0,10.0,410,,830,10.0,10,10
strategy95_l1_brokerConcentration_low,strategy95_factor_single,l1_brokerConcentration,stockvision_l1,l1_signal,low,-1,-1.0,1,0.8485880398671096,ok,1.282,0.2412580376394189,0.2963832162396644,1.2338535188941286,1.0534687997932801,-0.12199953176301293,1.0879448112873897,2.721467638437736,1.9773704083057226,0.4282051282051282,10.0,10.0,410,,830,10.0,10,10
strategy95_l1_brokerCount_high,strategy95_factor_single,l1_brokerCount,stockvision_l1,l1_signal,high,1,1.0,1,1.0,ok,1.08,-0.007382988729009665,0.022051275735841022,0.6588200112580594,-0.024368989286035703,-0.18051310455056135,-0.2328641806973774,-0.4700562557686208,-0.04089774961155634,0.4329896907216495,10.0,10.0,400,,830,10.0,10,10
strategy95_l1_brokerCount_low,strategy95_factor_single,l1_brokerCount,stockvision_l1,l1_signal,low,-1,1.0,0,1.0,ok,1.187,-0.011988595165525306,0.016764752630052133,0.6435792183973408,-0.039358441706255576,-0.1922680049701847,-0.27863530036599377,-0.5641903214309182,-0.06235032013871945,0.43556701030927836,10.0,10.0,400,,830,10.0,10,10
strategy95_l1_brokerNetAmount5d_high,strategy95_factor_single,l1_brokerNetAmount5d,stockvision_l1,l1_signal,high,1,1.0,1,0.8431543449545691,ok,1.894,0.5359888894284226,0.6064151965373744,1.5763349717058495,3.173766286129938,-0.13587906321826781,1.5373269992968763,4.785486535684062,3.944312196541573,0.5666666666666667,10.0,10.0,408,,830,10.0,10,10
strategy95_l1_brokerNetAmount5d_low,strategy95_factor_single,l1_brokerNetAmount5d,stockvision_l1,l1_signal,low,-1,1.0,0,0.8431543449545691,ok,1.199,0.5292105852443425,0.6351554056131281,2.3713372498724157,3.112760495193384,-0.18307149577912307,1.5016958503561888,4.876703351348826,2.8905738561520358,0.5230769230769231,10.0,10.0,410,,830,10.0,10,10
strategy95_l1_closeAboveMa60Pct_high,strategy95_factor_single,l1_closeAboveMa60Pct,stockvision_l1,l1_signal,high,1,1.0,1,0.8053676500020014,ok,1.226,0.3440435366918029,0.4591701724914588,2.576851600426647,1.6761909086150673,-0.401804020127302,1.067961044854322,2.8414446104730273,0.8562258145766134,0.49230769230769234,10.0,10.0,404,,830,10.0,10,10
strategy95_l1_closeAboveMa60Pct_low,strategy95_factor_single,l1_closeAboveMa60Pct,stockvision_l1,l1_signal,low,-1,1.0,0,0.8053676500020014,ok,1.266,-0.09410218231853029,0.049027355430723285,3.203633771244044,-0.280373782001504,-0.4235369335347485,-0.4672355475226747,-0.7780224112623721,-0.2221765166216461,0.4378238341968912,10.0,10.0,407,,830,10.0,10,10
strategy95_l1_diTrend_high,strategy95_factor_single,l1_diTrend,stockvision_l1,l1_signal,high,1,1.0,1,0.9445332826321899,ok,1.324,0.15262365115076904,0.23934673298822146,1.9411017326664493,0.6046183429663898,-0.28865735159885164,0.6174369249706447,1.2223991664627571,0.5287180912750515,0.43410852713178294,10.0,10.0,410,,830,10.0,10,10
strategy95_l1_diTrend_low,strategy95_factor_single,l1_diTrend,stockvision_l1,l1_signal,low,-1,1.0,0,0.9445332826321899,ok,1.297,-0.013101306183445183,0.06490077021594874,1.7459015805530962,-0.04295556596848327,-0.24915805758263987,-0.19906989446255177,-0.3673558261107585,-0.052580199526979746,0.4595300261096606,10.0,10.0,406,,830,10.0,10,10
strategy95_l1_eps_high,strategy95_factor_single,l1_eps,stockvision_l1,l1_signal,high,1,1.0,1,0.9356022095024616,ok,1.213,0.40860573862387484,0.5103661127811048,2.2776778039739822,2.128627076560938,-0.11674979841497535,1.3845698183864072,4.137701528667426,3.499541316195592,0.5846153846153846,10.0,10.0,400,,830,10.0,10,10
strategy95_l1_eps_low,strategy95_factor_single,l1_eps,stockvision_l1,l1_signal,low,-1,1.0,0,0.9356022095024616,ok,1.174,-0.034023121418118474,0.08412697449606509,2.6445249757566205,-0.10884993563542911,-0.3419552981200523,-0.11964432093394747,-0.1993643100539748,-0.09949290645910544,0.43444730077120824,10.0,10.0,400,,830,10.0,10,10
strategy95_l1_foreignTrustNet5d_high,strategy95_factor_single,l1_foreignTrustNet5d,stockvision_l1,l1_signal,high,1,1.0,1,1.0,ok,1.147,0.2778934779102269,0.3816739741248475,2.3228937066231645,1.2622720450866924,-0.1854507422089472,1.1059848574008482,2.84503497462206,1.4983951568420955,0.5,10.0,10.0,409,,830,10.0,10,10
strategy95_l1_foreignTrustNet5d_low,strategy95_factor_single,l1_foreignTrustNet5d,stockvision_l1,l1_signal,low,-1,1.0,0,1.0,ok,1.075,0.27944742948013634,0.39107489618433267,2.4985305462138827,1.2714436628950825,-0.23160255109469852,1.09692606135467,3.614825351005225,1.2065297332089735,0.517948717948718,10.0,10.0,409,,830,10.0,10,10
strategy95_l1_macdHist_high,strategy95_factor_single,l1_macdHist,stockvision_l1,l1_signal,high,1,1.0,1,0.947664411800024,ok,0.99,0.3453814958387902,0.4396113566337919,2.109124147604997,1.6850705082203365,-0.27315797770802974,1.1774862330876956,2.8867414283006934,1.2643557225728135,0.5564102564102564,10.0,10.0,408,,830,10.0,10,10
strategy95_l1_macdHist_low,strategy95_factor_single,l1_macdHist,stockvision_l1,l1_signal,low,-1,1.0,0,0.947664411800024,ok,1.298,0.21572875241068767,0.3343262130858738,2.6545382328309435,0.9161987601624886,-0.4325627289016687,0.6098475382725476,1.8080375667462374,0.49871094037397484,0.5051282051282051,10.0,10.0,406,,830,10.0,10,10
strategy95_l1_monthlyRevenueMoM_high,strategy95_factor_single,l1_monthlyRevenueMoM,stockvision_l1,l1_signal,high,1,1.0,1,0.9602069407196894,ok,1.258,-0.01596949281821003,0.05564248663962426,1.6028735886695031,-0.052184249361292845,-0.4859623154890437,-0.06703126097874908,-0.14376520213334584,-0.03286091060997911,0.422680412371134,10.0,10.0,409,,830,10.0,10,10
strategy95_l1_monthlyRevenueMoM_low,strategy95_factor_single,l1_monthlyRevenueMoM,stockvision_l1,l1_signal,low,-1,1.0,0,0.9602069407196894,ok,1.226,0.1763540220515194,0.3056882536237156,2.894856774905965,0.7172642218424286,-0.26102921807569235,0.8110513446759969,1.5461506205556357,0.6755843943739627,0.46649484536082475,10.0,10.0,405,,830,10.0,10,10
strategy95_l1_monthlyRevenueYoY_high,strategy95_factor_single,l1_monthlyRevenueYoY,stockvision_l1,l1_signal,high,1,1.0,1,0.959682584157227,ok,1.234,-0.023164128898356062,0.09972908363318914,2.7506890060139444,-0.07505949605726825,-0.45427670371758166,-0.11483916230712862,-0.19197108089623838,-0.05099010978925019,0.4564102564102564,10.0,10.0,405,,830,10.0,10,10
strategy95_l1_monthlyRevenueYoY_low,strategy95_factor_single,l1_monthlyRevenueYoY,stockvision_l1,l1_signal,low,-1,1.0,0,0.959682584157227,ok,1.454,0.06930578083942396,0.18622814264617088,2.61704490064045,0.24993338298440282,-0.420342003431565,0.29907959319454097,0.7237163696678887,0.16487558111687986,0.45219638242894056,10.0,10.0,408,,830,10.0,10,10
strategy95_l1_return20d_high,strategy95_factor_single,l1_return20d,stockvision_l1,l1_signal,high,1,1.0,1,0.8445212744666373,ok,1.118,0.3375485600178736,0.40251103613815786,1.4540393662639488,1.633377589932218,-0.35376549742919805,0.9887146507623726,2.6384851859821206,0.9541321048822156,0.4793814432989691,10.0,10.0,406,,830,10.0,10,10
strategy95_l1_return20d_low,strategy95_factor_single,l1_return20d,stockvision_l1,l1_signal,low,-1,1.0,0,0.8445212744666373,ok,1.21,-0.03821325749541993,0.08831324759880044,2.8320121133028637,-0.12165436743933322,-0.2784812624858197,-0.18474034779183843,-0.323051760806793,-0.1372152833605172,0.42857142857142855,10.0,10.0,407,,830,10.0,10,10
strategy95_l1_revenueGrowthYoY_high,strategy95_factor_single,l1_revenueGrowthYoY,stockvision_l1,l1_signal,high,1,1.0,1,0.9201497017972221,ok,1.043,-0.010705305649186703,0.10483546872972622,2.5861211639237904,-0.03519814566657897,-0.44742435056473906,-0.04485154427195585,-0.07855343013992536,-0.023925980729183546,0.42930591259640105,10.0,10.0,400,,830,10.0,10,10
strategy95_l1_revenueGrowthYoY_low,strategy95_factor_single,l1_revenueGrowthYoY,stockvision_l1,l1_signal,low,-1,1.0,0,0.9201497017972221,ok,1.142,0.23100948133828192,0.27243807982897117,0.9272862842091731,0.9975637260962753,-0.23880146019956772,1.0425263126340159,2.7067520058992094,0.9673299645889443,0.4781491002570694,10.0,10.0,400,,830,10.0,10,10
strategy95_l1_roe_high,strategy95_factor_single,l1_roe,stockvision_l1,l1_signal,high,1,1.0,1,0.9356022095024616,ok,1.145,0.2579724372223331,0.3647799080631645,2.390645746416765,1.1469788113144306,-0.2526233467640566,1.1161568721072126,2.595308589036329,1.0211337518449726,0.48195876288659795,10.0,10.0,400,,830,10.0,10,10
strategy95_l1_roe_low,strategy95_factor_single,l1_roe,stockvision_l1,l1_signal,low,-1,1.0,0,0.9356022095024616,ok,1.146,-0.0655900013235935,0.05238522034937895,2.6406108079777395,-0.20216591567776376,-0.3217051176989988,-0.3540250706712629,-0.5105620134040799,-0.20387603104483398,0.4140625,10.0,10.0,400,,830,10.0,10,10
strategy95_l1_squeezeMomentum_high,strategy95_factor_single,l1_squeezeMomentum,stockvision_l1,l1_signal,high,1,1.0,1,0.8289877116439178,ok,1.145,0.3906774443259633,0.482526878509849,2.055843635411221,1.9980106447763522,-0.2912762303621763,1.188171267230388,2.8764207139730864,1.3412149411944636,0.5743589743589743,10.0,10.0,404,,830,10.0,10,10
strategy95_l1_squeezeMomentum_low,strategy95_factor_single,l1_squeezeMomentum,stockvision_l1,l1_signal,low,-1,1.0,0,0.8289877116439178,ok,1.22,0.20698730836546297,0.2905182767155993,1.8696534297485323,0.8707114746155256,-0.2826739174117935,0.6726896743272622,2.127031786525083,0.7322217346519181,0.4897435897435897,10.0,10.0,407,,830,10.0,10,10
strategy95_l1_squeezeRelease_high,strategy95_factor_single,l1_squeezeRelease,stockvision_l1,l1_signal,high,1,1.0,1,1.0,ok,1.18,0.029339244609447812,0.07737934181670911,1.07526985838974,0.10105799551134842,-0.25110551977135387,0.1320163249176404,0.2928602128740278,0.11683564853403657,0.45384615384615384,10.0,10.0,410,,830,10.0,10,10
strategy95_l1_squeezeRelease_low,strategy95_factor_single,l1_squeezeRelease,stockvision_l1,l1_signal,low,-1,1.0,0,1.0,ok,1.102,-0.014890244710166534,0.01335817022353188,0.6322774284665968,-0.048718998767370514,-0.1988556945082619,-0.31276825428917726,-0.6234806904286205,-0.07487588418397581,0.42783505154639173,10.0,10.0,400,,830,10.0,10,10
strategy95_l1_volumeExpansion20_high,strategy95_factor_single,l1_volumeExpansion20,stockvision_l1,l1_signal,high,1,1.0,1,0.8472741464195653,ok,1.256,0.023273676510008556,0.09263544131762583,1.5525075792535212,0.07960521327319081,-0.28760961849879063,0.12001571810137986,0.26377665788745147,0.08091825109665256,0.4134366925064599,10.0,10.0,410,,830,10.0,10,10
