strategy_id,name,family_id,alpha_bucket,status,reason,missing_feature_keys,elapsed_s,match_days,avg_daily_matches,max_daily_matches,latest_matches,recent5_match_counts,recent5_all_positive,cagr,benchmark_alpha,benchmark_beta,total_return,max_drawdown,monthly_sharpe,monthly_sortino,calmar,win_ratio,avg_n_stock,max_n_stock,trade_count,avg_trade_return,median_trade_return
alpha_miner_pymoo_nsga3_novelty_0193,Pymoo NSGA-III novelty 0193 sentiment margin flow,SMART_MONEY_ACCUMULATION,defensive_accumulation,unsupported_feature,missing_feature_key,"['factorSignals.margin_balance', 'factorSignals.us_sentiment_score']",1.063,0,0.0,0,0,"[{'date': '2026-06-09', 'strict_match_count': 0}, {'date': '2026-06-10', 'strict_match_count': 0}, {'date': '2026-06-11', 'strict_match_count': 0}, {'date': '2026-06-12', 'strict_match_count': 0}, {'date': '2026-06-15', 'strict_match_count': 0}]",False,,,,,,,,,,,,,,
defensive_accumulation_seed_v1,Defensive accumulation seed,SMART_MONEY_ACCUMULATION,defensive_accumulation,ok,,,1.497,830,538.7,1050,512,"[{'date': '2026-06-09', 'strict_match_count': 662}, {'date': '2026-06-10', 'strict_match_count': 545}, {'date': '2026-06-11', 'strict_match_count': 479}, {'date': '2026-06-12', 'strict_match_count': 493}, {'date': '2026-06-15', 'strict_match_count': 512}]",True,0.15820406140434295,0.22240236085544082,1.436934984994376,0.6306283699609587,-0.16565324961501293,1.028504014587491,2.5215558805937275,0.954973790336695,0.4476722921782747,507.2857142857143,962.0,20247.0,0.012400938731095476,-0.008603326474477146
stock_tech_s01_55d_trend_volume_breakout_v1,S1 55d trend volume breakout,TREND_RECLAIM_CONTINUATION,breakout_vol_expansion,unsupported_feature,missing_feature_key,['technicalIndicators.stockTechS01Admission'],0.158,0,0.0,0,0,"[{'date': '2026-06-09', 'strict_match_count': 0}, {'date': '2026-06-10', 'strict_match_count': 0}, {'date': '2026-06-11', 'strict_match_count': 0}, {'date': '2026-06-12', 'strict_match_count': 0}, {'date': '2026-06-15', 'strict_match_count': 0}]",False,,,,,,,,,,,,,,
stock_tech_s02_52w_dual_momentum_v1,S2 52w dual momentum,TREND_RECLAIM_CONTINUATION,trend_following,unsupported_feature,missing_feature_key,['technicalIndicators.stockTechS02Admission'],0.16,0,0.0,0,0,"[{'date': '2026-06-09', 'strict_match_count': 0}, {'date': '2026-06-10', 'strict_match_count': 0}, {'date': '2026-06-11', 'strict_match_count': 0}, {'date': '2026-06-12', 'strict_match_count': 0}, {'date': '2026-06-15', 'strict_match_count': 0}]",False,,,,,,,,,,,,,,
stock_tech_s04_ma_deduct_turn_breakout_v1,S4 MA deduct turn breakout,TREND_RECLAIM_CONTINUATION,trend_following,unsupported_feature,missing_feature_key,['technicalIndicators.stockTechS04Admission'],0.146,0,0.0,0,0,"[{'date': '2026-06-09', 'strict_match_count': 0}, {'date': '2026-06-10', 'strict_match_count': 0}, {'date': '2026-06-11', 'strict_match_count': 0}, {'date': '2026-06-12', 'strict_match_count': 0}, {'date': '2026-06-15', 'strict_match_count': 0}]",False,,,,,,,,,,,,,,
stock_tech_s06_nr7_inside_bar_breakout_v1,S6 NR7 inside bar breakout,VOLATILITY_CONTRACTION_BREAKOUT,breakout_vol_expansion,unsupported_feature,missing_feature_key,['technicalIndicators.stockTechS06Admission'],0.153,0,0.0,0,0,"[{'date': '2026-06-09', 'strict_match_count': 0}, {'date': '2026-06-10', 'strict_match_count': 0}, {'date': '2026-06-11', 'strict_match_count': 0}, {'date': '2026-06-12', 'strict_match_count': 0}, {'date': '2026-06-15', 'strict_match_count': 0}]",False,,,,,,,,,,,,,,
trend_quality_breakout_fused_v1,Trend quality breakout fused,TREND_QUALITY_BREAKOUT_FUSED,trend_following,ok,,,2.514,830,511.86626506024095,705,589,"[{'date': '2026-06-09', 'strict_match_count': 580}, {'date': '2026-06-10', 'strict_match_count': 585}, {'date': '2026-06-11', 'strict_match_count': 592}, {'date': '2026-06-12', 'strict_match_count': 585}, {'date': '2026-06-15', 'strict_match_count': 589}]",True,0.24391163304360952,0.316403551607438,1.6225690525194487,1.0681203997009168,-0.17231298142476592,1.3313084144062317,3.882399953344121,1.4154329911596748,0.4501194287747116,514.547619047619,609.0,20784.0,0.01904168606685938,-0.011467092154226144
alpha223_0248,Alpha223 0248 squeeze cash-flow breakout,ALPHA223_BREAKOUT_CASH_FLOW,breakout_vol_expansion,ok,,,2.627,830,320.3120481927711,378,324,"[{'date': '2026-06-09', 'strict_match_count': 316}, {'date': '2026-06-10', 'strict_match_count': 319}, {'date': '2026-06-11', 'strict_match_count': 302}, {'date': '2026-06-12', 'strict_match_count': 318}, {'date': '2026-06-15', 'strict_match_count': 324}]",True,0.31062554670928866,0.39604759151559543,1.9119809359660556,1.461007693978614,-0.1561887588157741,1.5438579048805252,4.402328272661281,1.988655665795978,0.4954578342310475,320.57142857142856,376.0,12841.0,0.023765026538262377,-0.0013073329853862115
alpha223_0109,Alpha223 0109 quality order-block turnover,ALPHA223_QUALITY_TURNOVER,trend_following,ok,,,2.165,830,594.5566265060241,687,666,"[{'date': '2026-06-09', 'strict_match_count': 687}, {'date': '2026-06-10', 'strict_match_count': 616}, {'date': '2026-06-11', 'strict_match_count': 612}, {'date': '2026-06-12', 'strict_match_count': 645}, {'date': '2026-06-15', 'strict_match_count': 666}]",True,0.2582772015639223,0.3455790884541995,1.9540569859520656,1.1487109659700305,-0.16900648484291514,1.306093014241169,3.6440987607504547,1.5281184069350784,0.4779926496324816,590.547619047619,676.0,23710.0,0.01989042291664223,-0.005117203195202702
alpha223_0166,Alpha223 0166 expense profit volume thrust,ALPHA223_EXPENSE_PROFIT_THRUST,trend_following,ok,,,2.015,830,614.5481927710844,684,678,"[{'date': '2026-06-09', 'strict_match_count': 655}, {'date': '2026-06-10', 'strict_match_count': 654}, {'date': '2026-06-11', 'strict_match_count': 643}, {'date': '2026-06-12', 'strict_match_count': 661}, {'date': '2026-06-15', 'strict_match_count': 678}]",True,0.21317975154839197,0.2854423975779114,1.617437300923796,0.9028556700903789,-0.15143435037413588,1.328180668594486,3.463341803000909,1.407644134771233,0.48968444052271104,614.5714285714286,678.0,24664.0,0.01703190016865468,-0.0012552806567306396
