symbol,name,score,signal,confidence,chip_score,tech_score,ml_score,sector,rsi14,macd_hist,foreign_net_5d,trust_net_5d,current_price,date
2851,中再保,77.9,BUY,0.585,40,14,23.9,金融保險業,64.4230769230769,-0.029731046741059863,0.0158,-0.00022,30.4,2026-04-03
4162,智擎,69.4,HOLD,0.639,38,17,14.4,生技醫療,59.57446808510635,0.4770696548834621,0.00443999,0.00275,59,2026-04-03
6683,雍智科技,68.2,HOLD,0.622,36,18,14.2,半導體業,67.97752808988764,17.386709113622913,-0.00429046,0.0020839,1450,2026-04-03
5475,德宏,67.7,HOLD,0.571,36,18,13.7,其他,59.036144578313255,0.37516005992682366,0.01613194,-0.00346145,246.5,2026-04-03
2892,第一金,67.4,HOLD,0.539,40,14,13.4,金融保險業,41.93548387096773,-0.026147964780260546,0.07164044,0.00406882,28.4,2026-04-03
6739,竹陞科技,66.8,HOLD,0.575,38,15,13.8,電子通路業,62.39316239316239,-1.4203862887119811,7.591e-05,0.00013592,1290,2026-04-03
6023,元大期,66.2,HOLD,0.521,36,17,13.2,金融保險業,66.0194174757281,0.379232234330659,0.00643092,0.00452092,97.6,2026-04-03
6664,群翊,66.1,HOLD,0.609,38,14,14.1,其他,88.20754716981132,7.317663105374546,0.0036785,0.0021885,354.5,2026-04-03
6547,高端疫苗,65.4,HOLD,0.537,38,14,13.4,生技醫療,81.87134502923976,1.2370982930880343,0.01312555,0.00751555,58.8,2026-04-03
3176,基亞,64.3,HOLD,0.526,36,15,13.3,生技醫療,61.111111111111114,0.045887290851228835,0.00246,0.00046,32.1,2026-04-03
3162,精確,64,HOLD,0.495,36,15,13,電機機械,63.402061855670105,0.3386562539458461,0.01589599,-0.00282401,58.8,2026-04-03
4130,健亞,63.4,HOLD,0.438,36,15,12.4,生技醫療,56.77655677655675,0.42219469918000013,0.00313862,-0.00165138,34.05,2026-04-03
1808,潤隆,63.3,HOLD,0.532,36,14,13.3,建材營造業,41.80327868852458,0.03534389650655248,0.000455,0,30.4,2026-04-03
8027,鈦昇,63.1,HOLD,0.514,36,14,13.1,電機機械,84.21052631578948,4.823394549663787,0.0400512,0.0383009,154.5,2026-04-03
1218,泰山,63.1,HOLD,0.613,40,9,14.1,食品工業,63.636363636363605,0.025372624846942138,0.00725,0,19.45,2026-04-03
2102,泰豐,62.5,HOLD,0.547,40,9,13.5,橡膠工業,72.05882352941177,0.1389827291617809,0.00446,0,20.2,2026-04-03
1303,南亞,61.4,HOLD,0.542,36,12,13.4,塑膠工業,43.675889328063235,-0.5409099433610376,0.46664273,-0.00586784,77.1,2026-04-03
3163,波若威,61.1,HOLD,0.605,36,11,14.1,電子零組件業,55.228758169934636,-8.070662663610861,0.00717074,0.00377688,952,2026-04-03
3081,聯亞,54,,,36,18,0,電子零組件業,64.91228070175438,9.595676385270394,-0.00012139,0.00034163,1825,2026-04-03
2618,長榮航,43,,,16,27,0,電腦及週邊設備業,56.875,0.21922858147673407,0.19051535,0.00809,35.35,2026-04-02
2438,翔耀,42,NO_SIGNAL,0,12,30,0,CPO共封裝光學,65,0.2243807045371331,0.00055601,0,23.5,2026-04-02
6285,啟碁,39,NO_SIGNAL,0,14,25,0,CPO共封裝光學,56.140350877192986,-0.18598035874488827,0.09152028,-0.00203448,178,2026-04-02
3045,台灣大,39,NO_SIGNAL,0,16,23,0,電信,73.33333333333333,0.02652596834394605,0.07337285,0.0018719,109.5,2026-04-02
4904,遠傳,37,NO_SIGNAL,0,16,21,0,電信,54.60992907801417,-0.1543215428480813,0.04532176,0.00304834,93.5,2026-04-02
4938,和碩,35,NO_SIGNAL,0,12,23,0,蘋果供應鏈,53.0386740331492,0.011708286779962052,0.0415444,-0.00344161,78.2,2026-04-02
7707,益芯科,35,NO_SIGNAL,0,5,30,0,半導體業,63.51931330472103,0.7664423765438837,0,0,143,2026-04-02
2438,翔耀,42,NO_SIGNAL,0,12,30,0,CPO共封裝光學,65,0.2243807045371331,0.00055601,0,23.5,2026-04-01
3045,台灣大,39,NO_SIGNAL,0,16,23,0,電信,73.33333333333333,0.02652596834394605,0.10372507,-0.01090384,109.5,2026-04-01
6285,啟碁,39,NO_SIGNAL,0,14,25,0,CPO共封裝光學,56.140350877192986,-0.18598035874488827,0.09152028,-0.00203448,178,2026-04-01
4904,遠傳,37,NO_SIGNAL,0,16,21,0,電信,54.60992907801417,-0.1543215428480813,0.076152,-0.00848109,93.5,2026-04-01
4938,和碩,35,NO_SIGNAL,0,12,23,0,蘋果供應鏈,53.0386740331492,0.011708286779962052,0.0415444,-0.00344161,78.2,2026-04-01
2438,翔耀,42,NO_SIGNAL,0,12,30,0,CPO共封裝光學,65.40880503144655,0.22589928121340405,0.00072001,0,23.65,2026-03-31
4938,和碩,39,NO_SIGNAL,0,12,27,0,蘋果供應鏈,63.203463203463215,0.08140140082119696,0.01355665,0.00041979,76.2,2026-03-31
3491,昇達科,37,NO_SIGNAL,0,7,30,0,DRAM,65.98984771573603,13.853443575886736,0.00018089,-0.00285464,1580,2026-03-31
3045,台灣大,36,NO_SIGNAL,0,16,20,0,電信,71.42857142857143,0.020790073859613734,0.1253346,-0.01321613,109,2026-03-31
4906,正文,35,NO_SIGNAL,0,5,30,0,CPO共封裝光學,68.97274633123689,0.6201625075849027,-0.0737416,0,36.05,2026-03-31
7866,丹立,34,HOLD,0.647,5,20,9,半導體業,73.64470391993328,0.8108158956522828,0,0,129,2026-03-31
7707,益芯科,34,SELL,0.71,5,27,2,半導體業,63.75,1.291993491891267,0,0,134.5,2026-03-31
3711,日月光投控,34,NO_SIGNAL,0,12,22,0,HBM記憶體,62.93436293436294,-0.791091911376534,0.01646532,0.00890706,353.5,2026-03-31
6980,鐳洋科技,32,NO_SIGNAL,0,5,27,0,光電業,62.34817813765182,2.5327161088571515,0,0,146.5,2026-03-31
7866,丹立,34,HOLD,0.647,5,20,9,半導體業,73.64470391993328,0.8108158956522828,0,0,128,2026-03-30
7707,益芯科,34,SELL,0.71,5,27,2,半導體業,63.75,1.291993491891267,0,0,133.5,2026-03-30
6980,鐳洋科技,32,NO_SIGNAL,0,5,27,0,光電業,62.34817813765182,2.5327161088571515,0,0,148.5,2026-03-30
2838,聯邦銀,64,BUY,0.671,16,30,18,金控,67.92452830188681,0.03119237137731612,0.0276178,0.00253194,20.7,2026-03-27
2308,台達電,62,BUY,0.748,14,30,18,車用電子,63.44827586206897,6.497780839286605,0.06734014,0.0075127,1515,2026-03-27
2891,中信金,60,BUY,0.647,12,30,18,金控,61.428571428571445,0.028264636234432372,-0.13886023,0.32464945,53,2026-03-27
8047,星雲,60,BUY,0.676,12,30,18,動量_其他電子類,58.97435897435897,0.5342779044367558,0.0013,0.0013,59.9,2026-03-27
3023,信邦,59,BUY,0.65,14,27,18,AI_Server,57.66129032258064,0.37713962554629177,0.0147146,0.0013469,247,2026-03-27
